	F29H1	S10H1	530055	530331	S17H1	F32H1	S27H1	S25Hp	S6Hp	S8Hp	s24H1	S31Hp	S13Hp	S30H1	530050	S11Hp	530163	31360	31343	F1H1	530075	31300	F22H1A	S28Hp	S21H1	31428	S23Hp	S15Hp	S19H1	531414	S7Hp
s24H1	0.35815218777724306	0.31889496687594343	0.39295458439945874	0.2483560816901618	0.33099237791379	0.31541819277001737	0.31541819277001737	0.31500234036942676	0.2957243136255797	0.27104216355025373	0.0	0.2775537539668097	0.2613216621651	0.28475446499593016	0.26678719872498535	0.3077763725166054	0.321519963558309	0.33067662325959335	0.29836180500618825	0.2641454112512401	0.21391266485423036	0.633977705016999	0.23827021942827692	0.1827554820333243	0.2784312616528486	1.8530489111152686	0.3397258163972566	0.35660856203840324	0.36843817641720844	0.3325014516035142	0.3309246193712373
S31Hp	0.4525843484625526	0.41332712756125295	0.4873867450847682	0.3427882423754713	0.42542453859909946	0.4098503534553269	0.4098503534553269	0.4094345010547362	0.3901564743108892	0.3654743242355632	0.2775537539668097	0.0	0.061169122308011546	0.08460192513884168	0.16960545926688386	0.21059463305850384	0.22433822410020746	0.23349488380149186	0.20118006554808673	0.3482209945993523	0.29798824820234254	0.7180532883651113	0.33270238011358644	0.27718764271863383	0.37286342233815806	1.9474810718005782	0.4341579770825661	0.45104072272371276	0.4628703371025179	0.4269336122888237	0.4253567800565468
S13Hp	0.4363522566608429	0.39709503575954325	0.4711546532830585	0.3265561505737616	0.40919244679738975	0.3936182616536172	0.3936182616536172	0.3932024092530265	0.3739243825091795	0.3492422324338535	0.2613216621651	0.061169122308011546	0.0	0.04010883245250714	0.15337336746517416	0.19436254125679414	0.20810613229849775	0.21726279199978216	0.18494797374637703	0.3319889027976426	0.28175615640063284	0.7018211965634016	0.31647028831187674	0.26095555091692413	0.35663133053644835	1.9312489799988684	0.4179258852808564	0.43480863092200306	0.4466382453008082	0.410701520487114	0.4091246882548371
S30H1	0.45978505949167303	0.4205278385903734	0.49458745611388866	0.34998895340459174	0.4326252496282199	0.41705106448444734	0.41705106448444734	0.4166352120838567	0.39735718534000963	0.37267503526468365	0.28475446499593016	0.08460192513884168	0.04010883245250714	0.0	0.1768061702960043	0.21779534408762427	0.23153893512932788	0.24069559483061229	0.20838077657720716	0.3554217056284727	0.305188959231463	0.7252539993942317	0.33990309114270684	0.28438835374775423	0.3800641333672785	1.9546817828296985	0.44135868811168655	0.4582414337528332	0.47007104813163836	0.43413432331794416	0.43255749108566727
530050	0.4418177932207282	0.4025605723194286	0.47662018984294385	0.33202168713364694	0.4146579833572751	0.39908379821350254	0.39908379821350254	0.3986679458129119	0.37938991906906483	0.35470776899373885	0.26678719872498535	0.16960545926688386	0.15337336746517416	0.1768061702960043	0.0	0.09527736954832634	0.10902096059002996	0.11817762029131436	0.08586280203790925	0.33745443935752795	0.2872216929605182	0.7072867331232869	0.3219358248717621	0.2664210874768095	0.3620968670963337	1.9367145165587538	0.42339142184074174	0.4402741674818884	0.45210378186069355	0.41616705704699936	0.41459022481472246
S11Hp	0.4828069670123482	0.4435497461110486	0.5176093636345638	0.3730108609252669	0.4556471571488951	0.4400729720051225	0.4400729720051225	0.43965711960453185	0.4203790928606848	0.39569694278535883	0.3077763725166054	0.21059463305850384	0.19436254125679414	0.21779534408762427	0.09527736954832634	0.0	0.025451292264770397	0.035284135100488	0.06380795607760197	0.3784436131491479	0.3282108667521382	0.7482759069149069	0.362924998663382	0.30741026126842946	0.4030860408879537	1.9777036903503737	0.46438059563236167	0.4812633412735084	0.4930929556523136	0.45715623083861934	0.45557939860634244
530163	0.49655055805405185	0.4572933371527522	0.5313529546762674	0.38675445196697056	0.46939074819059873	0.45381656304682616	0.45381656304682616	0.4534007106462355	0.43412268390238845	0.40944053382706247	0.321519963558309	0.22433822410020746	0.20810613229849775	0.23153893512932788	0.10902096059002996	0.025451292264770397	0.0	0.04902772614219162	0.07755154711930558	0.3921872041908515	0.3419544577938418	0.7620194979566105	0.37666858970508565	0.3211538523101331	0.41682963192965733	1.9914472813920774	0.4781241866740653	0.49500693231521203	0.5068365466940172	0.470899821880323	0.4693229896480461
31360	0.5057072177553362	0.4664499968540366	0.5405096143775519	0.39591111166825493	0.4785474078918831	0.46297322274811054	0.46297322274811054	0.46255737034751987	0.4432793436036728	0.41859719352834684	0.33067662325959335	0.23349488380149186	0.21726279199978216	0.24069559483061229	0.11817762029131436	0.035284135100488	0.04902772614219162	0.0	0.08670820682058998	0.40134386389213594	0.3511111174951262	0.7711761576578949	0.3858252494063701	0.3303105120114175	0.4259862916309417	2.000603941093362	0.48728084637534974	0.5041635920164964	0.5159932063953016	0.48005648158160735	0.47847964934933046
31343	0.4733923995019311	0.4341351786006315	0.5081947961241468	0.36359629341484984	0.446232589638478	0.43065840449470544	0.43065840449470544	0.43024255209411477	0.41096452535026773	0.38628237527494175	0.29836180500618825	0.20118006554808673	0.18494797374637703	0.20838077657720716	0.08586280203790925	0.06380795607760197	0.07755154711930558	0.08670820682058998	0.0	0.3690290456387308	0.3187962992417211	0.7388613394044898	0.35351043115296493	0.2979956937580123	0.3936714733775366	1.9682891228399566	0.45496602812194464	0.4718487737630913	0.48367838814189645	0.44774166332820226	0.44616483109592536
F1H1	0.4391760057469829	0.3999187848456833	0.4739784023691985	0.32937989965990166	0.4120161958835298	0.39644201073975727	0.39644201073975727	0.39602615833916655	0.3767481315953195	0.3520659815199936	0.2641454112512401	0.3482209945993523	0.3319889027976426	0.3554217056284727	0.33745443935752795	0.3784436131491479	0.3921872041908515	0.40134386389213594	0.3690290456387308	0.0	0.24779992368393816	0.6678649638467069	0.31929403739801676	0.26377930000306415	0.3594550796225884	1.9340727290850084	0.4207496343669964	0.4376323800081431	0.4494619943869482	0.41352526957325403	0.41194843734097714
530075	0.3889432593499732	0.3496860384486736	0.42374565597218883	0.2791471532628919	0.3617834494865201	0.3462092643427475	0.3462092643427475	0.34579341194215685	0.3265153851983098	0.3018332351229838	0.21391266485423036	0.29798824820234254	0.28175615640063284	0.305188959231463	0.2872216929605182	0.3282108667521382	0.3419544577938418	0.3511111174951262	0.3187962992417211	0.24779992368393816	0.0	0.5647392154708654	0.26906129100100706	0.21354655360605443	0.3092223332255787	1.8838399826879986	0.3705168879699867	0.3873996336111334	0.39922924798993853	0.36329252317624433	0.36171569094396744
31300	0.8090082995127419	0.7697510786114422	0.8438106961349575	0.6992121934256605	0.7818484896492888	0.7662743045055163	0.7662743045055163	0.7658584521049255	0.7465804253610785	0.7218982752857526	0.633977705016999	0.7180532883651113	0.7018211965634016	0.7252539993942317	0.7072867331232869	0.7482759069149069	0.7620194979566105	0.7711761576578949	0.7388613394044898	0.6678649638467069	0.5647392154708654	0.0	0.6891263311637756	0.633611593768823	0.7292873733883474	2.3039050228507674	0.7905819281327554	0.807464673773902	0.8192942881527071	0.783357563339013	0.7817807311067361
F22H1A	0.39673193475664814	0.3574747138553485	0.43153433137886377	0.2869358286695669	0.369572124893195	0.3539979397494225	0.3539979397494225	0.3535820873488318	0.33430406060498474	0.3096219105296588	0.23827021942827692	0.33270238011358644	0.31647028831187674	0.33990309114270684	0.3219358248717621	0.362924998663382	0.37666858970508565	0.3858252494063701	0.35351043115296493	0.31929403739801676	0.26906129100100706	0.6891263311637756	0.0	0.2213352290127294	0.3170110086322537	1.8916286580946737	0.37830556337666166	0.3951883090178083	0.40701792339661347	0.37108119858291927	0.3695043663506424
S28Hp	0.28215919263968964	0.24290197173839004	0.3169615892619053	0.1723630865526084	0.25499938277623657	0.239425197632464	0.239425197632464	0.23900934523187334	0.2197313184880263	0.1950491684127003	0.1827554820333243	0.27718764271863383	0.26095555091692413	0.28438835374775423	0.2664210874768095	0.30741026126842946	0.3211538523101331	0.3303105120114175	0.2979956937580123	0.26377930000306415	0.21354655360605443	0.633611593768823	0.2213352290127294	0.0	0.20243826651529517	1.777055915977715	0.26373282125970315	0.2806155669008498	0.292445181279655	0.25650845646596077	0.2549316242336839
S21H1	0.2662023390877821	0.22694511818648253	0.3644482345956658	0.21984973188636886	0.30248602810999703	0.28691184296622446	0.28691184296622446	0.2864959905656338	0.26721796382178675	0.24253581374646077	0.2784312616528486	0.37286342233815806	0.35663133053644835	0.3800641333672785	0.3620968670963337	0.4030860408879537	0.41682963192965733	0.4259862916309417	0.3936714733775366	0.3594550796225884	0.3092223332255787	0.7292873733883474	0.3170110086322537	0.20243826651529517	0.0	1.7583582376258653	0.24503514290785328	0.2646587133489423	0.27648832772774745	0.24055160291405325	0.2389747706817764
31428	1.840819988550202	1.8015627676489023	1.9390658840580857	1.7944673813487888	1.877103677572417	1.8615294924286445	1.8615294924286445	1.8611136400280537	1.8418356132842066	1.8171534632088808	1.8530489111152686	1.9474810718005782	1.9312489799988684	1.9546817828296985	1.9367145165587538	1.9777036903503737	1.9914472813920774	2.000603941093362	1.9682891228399566	1.9340727290850084	1.8838399826879986	2.3039050228507674	1.8916286580946737	1.777055915977715	1.7583582376258653	0.0	1.5742089749133166	1.8392763628113622	1.8511059771901675	1.8151692523764733	1.8135924201441962
S23Hp	0.3274968938321901	0.2882396729308905	0.4257427893400738	0.28114428663077684	0.36378058285440507	0.34820639771063244	0.34820639771063244	0.34779054531004183	0.3285125185661948	0.30383036849086875	0.3397258163972566	0.4341579770825661	0.4179258852808564	0.44135868811168655	0.42339142184074174	0.46438059563236167	0.4781241866740653	0.48728084637534974	0.45496602812194464	0.4207496343669964	0.3705168879699867	0.7905819281327554	0.37830556337666166	0.26373282125970315	0.24503514290785328	1.5742089749133166	0.0	0.3259532680933503	0.3377828824721555	0.30184615765846123	0.30026932542618434
S15Hp	0.29607516071638984	0.2568179398150902	0.4426255349812205	0.2980270322719235	0.38066332849555173	0.3650891433517791	0.3650891433517791	0.3646732909511885	0.34539526420734146	0.3207131141320154	0.35660856203840324	0.45104072272371276	0.43480863092200306	0.4582414337528332	0.4402741674818884	0.4812633412735084	0.49500693231521203	0.5041635920164964	0.4718487737630913	0.4376323800081431	0.3873996336111334	0.807464673773902	0.3951883090178083	0.2806155669008498	0.2646587133489423	1.8392763628113622	0.3259532680933503	0.0	0.30636114935635517	0.27042442454266097	0.2688475923103841
S19H1	0.24730691898489626	0.20804969808359666	0.4544551493600256	0.3098566466507287	0.3924929428743569	0.3769187577305843	0.3769187577305843	0.37650290532999364	0.3572248785861466	0.3325427285108206	0.36843817641720844	0.4628703371025179	0.4466382453008082	0.47007104813163836	0.45210378186069355	0.4930929556523136	0.5068365466940172	0.5159932063953016	0.48367838814189645	0.4494619943869482	0.39922924798993853	0.8192942881527071	0.40701792339661347	0.292445181279655	0.27648832772774745	1.8511059771901675	0.3377828824721555	0.30636114935635517	0.0	0.2216561828111674	0.22007935057889053
531414	0.07556179104284882	0.03630457014154922	0.4185184245463314	0.2739199218370345	0.3565562180606627	0.3409820329168901	0.3409820329168901	0.34056618051629944	0.3212881537724524	0.2966060036971264	0.3325014516035142	0.4269336122888237	0.410701520487114	0.43413432331794416	0.41616705704699936	0.45715623083861934	0.470899821880323	0.48005648158160735	0.44774166332820226	0.41352526957325403	0.36329252317624433	0.783357563339013	0.37108119858291927	0.25650845646596077	0.24055160291405325	1.8151692523764733	0.30184615765846123	0.27042442454266097	0.2216561828111674	0.0	0.04833422263684309
S7Hp	0.054899804804502496	0.01564258390320288	0.41694159231405453	0.2723430896047576	0.3549793858283858	0.3394052006846132	0.3394052006846132	0.33898934828402255	0.3197113215401755	0.2950291714648495	0.3309246193712373	0.4253567800565468	0.4091246882548371	0.43255749108566727	0.41459022481472246	0.45557939860634244	0.4693229896480461	0.47847964934933046	0.44616483109592536	0.41194843734097714	0.36171569094396744	0.7817807311067361	0.3695043663506424	0.2549316242336839	0.2389747706817764	1.8135924201441962	0.30026932542618434	0.2688475923103841	0.22007935057889053	0.04833422263684309	0.0
