	S13Hp	s6pp	s28pp	S30H1	F23HpA	F22H1A	S29H1	S19H1	F29H1	s21pp	530050	F6H1	s19pp	S25Hp	S4Hp	S6Hp	F16H1	F32H1	S31Hp	s9pp	S10H1	S16H2	S12Hp	S22Hp	S27H1	31009	S17H1	S7Hp	S8Hp	S23Hp	S2Hp	S11Hp	S28Hp	F8H1	s14pp	S21H1	31749	S26Hp	s23pp	31343	s26pp	S15Hp	s32pp
530050	0.3764756060592419	0.3765515419910899	0.512720456975258	0.3847154891495195	0.38621882067935426	0.46482651150799303	0.5203750594172523	0.37763116826587073	0.37396216398929827	0.35541363310302054	0.0	0.21635653034200097	0.2390435699321773	0.2061240236424134	0.3374868364211512	0.7577101814580631	0.668323603452525	0.33974377146963214	0.30038427517403493	0.3705251662963469	0.30564818884621137	0.3394279980379156	0.39387929609021	0.3497292920100197	0.3589846123974242	0.3541007175892369	0.29235057256101005	0.30192225801123673	0.32324405390893396	0.3027253275634725	0.29371696514411993	0.27162854734427416	0.2737841851576581	0.3351512317188861	0.4156062173629189	0.43199382572325795	0.39569185216434233	0.3607732883508718	0.4323102408483017	0.41164925926174434	0.41014200163889963	0.3589911331692972	0.3768800334093352
F6H1	0.3498196607947844	0.3498955967266324	0.4860645117108005	0.35805954388506195	0.35956287541489673	0.43817056624353545	0.4937191141527947	0.35097522300141315	0.34730621872484074	0.32875768783856296	0.21635653034200097	0.0	0.1965355573265498	0.16361601103678586	0.3108308911566936	0.7310542361936055	0.6416676581880674	0.3130878262051746	0.2737283299095774	0.3438692210318893	0.2789922435817538	0.3127720527734581	0.3672233508257524	0.3230733467455621	0.33232866713296666	0.3274447723247793	0.2656946272965525	0.2752663127467792	0.29658810864447643	0.27606938229901495	0.26706101987966235	0.24497260207981664	0.24712823989320057	0.3084952864544286	0.38895027209846134	0.4053378804588004	0.3690359068998848	0.3341173430864143	0.40565429558384414	0.3849933139972868	0.3834860563744421	0.3323351879048397	0.35022408814487765
s19pp	0.3725067003849607	0.3725826363168087	0.5087515513009768	0.38074658347523826	0.38224991500507305	0.4608576058337118	0.5164061537429709	0.3736622625915895	0.36999325831501706	0.35144472742873933	0.2390435699321773	0.1965355573265498	0.0	0.07843030769885684	0.33351793074687	0.7537412757837819	0.6643546977782437	0.33577486579535093	0.2964153694997537	0.3665562606220657	0.30167928317193016	0.3354590923636344	0.3899103904159288	0.34576038633573847	0.355015706723143	0.3501318119149557	0.28838166688672884	0.2979533523369555	0.31927514823465275	0.29875642188919127	0.2897480594698387	0.26765964166999295	0.2698152794833769	0.3311823260446049	0.4116373116886377	0.42802492004897674	0.3917229464900611	0.3568043826765906	0.4283413351740205	0.40768035358746313	0.4061730959646184	0.355022227495016	0.37291112773505397
S25Hp	0.3395871540951968	0.3396630900270448	0.4758320050112129	0.34782703718547436	0.34933036871530915	0.4279380595439479	0.48348660745320704	0.3407427163018256	0.33707371202525316	0.3185251811389754	0.2061240236424134	0.16361601103678586	0.07843030769885684	0.0	0.30059838445710607	0.720821729494018	0.6314351514884798	0.302855319505587	0.26349582320998977	0.3336367143323018	0.26875973688216626	0.30253954607387046	0.35699084412616483	0.31284084004597457	0.3220961604333791	0.3172122656251918	0.25546212059696494	0.2650338060471916	0.28635560194488885	0.26583687559942737	0.25682851318007477	0.23474009538022905	0.23689573319361298	0.29826277975484095	0.37871776539887375	0.39510537375921284	0.3588034002002972	0.32388483638682664	0.3954217888842566	0.3747608072976992	0.3732535496748545	0.3221026812052521	0.33999158144529007
S4Hp	0.35943265406704084	0.35950858999888885	0.49567750498305696	0.3676725371573184	0.3691758686871532	0.44778355951579196	0.5033321074250512	0.36058821627366966	0.3569192119970972	0.33837068111081947	0.3374868364211512	0.3108308911566936	0.33351793074687	0.30059838445710607	0.0	0.4202253450379119	0.33083876703237375	0.2859652132149505	0.2466057169193533	0.31674660804166527	0.2518696305915297	0.285649439783234	0.3401007378355283	0.29595073375533804	0.3052060541427426	0.30032215933455525	0.23857201430632843	0.24814369975655512	0.2694654956542524	0.2856823755712714	0.27667401315191886	0.2545855953520731	0.25674123316545705	0.31810827972668504	0.39856326537071785	0.4149508737310569	0.37864890017214126	0.34373033635867073	0.41526728885610065	0.39460630726954327	0.39309904964669856	0.34194818117709613	0.3598370814171341
S6Hp	0.7796559991039528	0.7797319350358007	0.9159008500199688	0.7878958821942302	0.7893992137240651	0.8680069045527039	0.923555452461963	0.7808115613105815	0.7771425570340091	0.7585940261477313	0.7577101814580631	0.7310542361936055	0.7537412757837819	0.720821729494018	0.4202253450379119	0.0	0.374312715010762	0.7061885582518624	0.6668290619562652	0.7369699530785772	0.6720929756284416	0.7058727848201459	0.7603240828724402	0.7161740787922499	0.7254293991796545	0.7205455043714671	0.6587953593432403	0.6683670447934671	0.6896888406911643	0.7059057206081834	0.6968973581888307	0.674808940388985	0.6769645782023689	0.7383316247635969	0.8187866104076297	0.8351742187679688	0.7988722452090532	0.7639536813955826	0.8354906338930125	0.8148296523064551	0.8133223946836105	0.7621715262140081	0.780060426454046
F16H1	0.6902694210984146	0.6903453570302626	0.8265142720144307	0.6985093041886921	0.7000126357185269	0.7786203265471656	0.8341688744564248	0.6914249833050434	0.687755979028471	0.6692074481421931	0.668323603452525	0.6416676581880674	0.6643546977782437	0.6314351514884798	0.33083876703237375	0.374312715010762	0.0	0.6168019802463243	0.5774424839507271	0.647583375073039	0.5827063976229034	0.6164862068146078	0.6709375048669021	0.6267875007867117	0.6360428211741163	0.631158926365929	0.5694087813377022	0.5789804667879288	0.600302262685626	0.6165191426026451	0.6075107801832925	0.5854223623834468	0.5875780001968307	0.6489450467580588	0.7294000324020915	0.7457876407624306	0.709485667203515	0.6745671033900444	0.7461040558874743	0.725443074300917	0.7239358166780723	0.6727849482084699	0.6906738484485079
F32H1	0.3616895891155218	0.3617655250473698	0.4979344400315379	0.36992947220579936	0.37143280373563414	0.4500404945642729	0.5055890424735321	0.3628451513221506	0.3591761470455782	0.3406276161593004	0.33974377146963214	0.3130878262051746	0.33577486579535093	0.302855319505587	0.2859652132149505	0.7061885582518624	0.6168019802463243	0.0	0.04933553818042992	0.11947642930274188	0.15446422672235172	0.18824403591405597	0.24269533396635032	0.19854532988616003	0.2078006502735646	0.20291675546537724	0.14116661043715042	0.1507382958873771	0.17206009178507434	0.2879393106197524	0.27893094820039976	0.25684253040055405	0.258998168213938	0.320365214775166	0.40082020041919875	0.4172078087795379	0.38090583522062227	0.3459872714071517	0.41752422390458155	0.3968632423180242	0.3953559846951795	0.3442051162255771	0.36209401646561507
S31Hp	0.3223300928199246	0.3224060287517726	0.4585749437359407	0.33056997591020215	0.33207330744003694	0.4106809982686757	0.4662295461779349	0.3234856550265534	0.319816650749981	0.30126811986370317	0.30038427517403493	0.2737283299095774	0.2964153694997537	0.26349582320998977	0.2466057169193533	0.6668290619562652	0.5774424839507271	0.04933553818042992	0.0	0.07014289112331203	0.11510473042675454	0.1488845396184588	0.20333583767075314	0.15918583359056285	0.16844115397796738	0.16355725916978006	0.10180711414155325	0.11137879959177992	0.13270059548947716	0.24857981432415518	0.23957145190480258	0.21748303410495684	0.2196386719183408	0.2810057184795688	0.36146070412360154	0.3778483124839407	0.34154633892502506	0.3066277751115545	0.3781647276089844	0.35750374602242707	0.3559964883995823	0.3048456199299799	0.32273452017001786
s9pp	0.39247098394223656	0.3925469198740846	0.5287158348582527	0.40071086703251413	0.4022141985623489	0.4808218893909877	0.5363704373002469	0.3936265461488654	0.3899575418722929	0.3714090109860152	0.3705251662963469	0.3438692210318893	0.3665562606220657	0.3336367143323018	0.31674660804166527	0.7369699530785772	0.647583375073039	0.11947642930274188	0.07014289112331203	0.0	0.18524562154906649	0.21902543074077074	0.27347672879306506	0.2293267247128748	0.23858204510027936	0.233698150292092	0.1719480052638652	0.18151969071409188	0.2028414866117891	0.31872070544646713	0.3097123430271146	0.2876239252272688	0.2897795630406528	0.35114660960188077	0.43160159524591357	0.4479892036062526	0.411687230047337	0.37676866623386646	0.4483056187312964	0.427644637144739	0.4261373795218943	0.37498651105229186	0.39287541129232983
