	S1Hp	S25Hp	530167	530050	F8H1	S11Hp	530368	S27H1	S26Hp	S15Hp	F22HpB	530295	F22H1A	F29H1	S7Hp	S4Hp	S28Hp	F6H1	s24H1	S10H1	S21H1	S22Hp	S14Hp	S29H1	530451	S12Hp	31232	F7H1	F3H1	S3Hp	S16H2	S2Hp	31219	31360	31519	31700	31452	31071	530177	F14H1B	530331	530394	31328	531414	w32pp	F16H1
F22HpB	0.30848393881192543	0.3003767633256361	0.3162097840788285	0.30421176914197623	0.343821946061528	0.3162695707888238	0.34038135927224034	0.3176952862388271	0.2694762338182839	0.22303525938304103	0.0	0.0973848207571251	0.11049197464184697	0.15419774119604507	0.2808910051830176	0.35252649341037023	0.24669340206456905	0.28038916092700966	0.30193193993787004	0.3054500688758186	0.28843205879452233	0.35670581225469855	0.3082949567143197	0.31834830550147586	0.5784279024740906	0.605022497428898	0.34953150252781556	0.46343843767220466	0.3451384193999812	0.35534563162399435	0.3175064008383321	0.32514914979454956	0.32738572544746775	0.33867063606642517	0.3483787792370823	0.32355350822825707	0.3385442426787046	0.305537036926648	0.3329286922934591	0.35521070057726833	0.37364121350722657	0.31361183930536474	0.3176313140969903	0.3032240724337867	0.5203384977122867	0.3120646960589262
530295	0.32489725044507023	0.316790074958781	0.33262309571197335	0.32062508077512103	0.3602352576946728	0.33268288242196864	0.35679467090538514	0.3341085978719719	0.28588954545142875	0.23944857101618586	0.0973848207571251	0.0	0.04866164711383526	0.1706110528291899	0.29730431681616243	0.3689398050435151	0.2631067136977139	0.29680247256015446	0.3183452515710149	0.3218633805089634	0.30484537042766713	0.37311912388784335	0.3247082683474645	0.3347616171346207	0.5948412141072354	0.6214358090620428	0.36594481416096036	0.47985174930534946	0.361551731033126	0.3717589432571392	0.3339197124714769	0.3415624614276944	0.34379903708061255	0.35508394769956997	0.3647920908702271	0.33996681986140187	0.3549575543118494	0.3219503485597929	0.349342003926604	0.37162401221041313	0.3900545251403714	0.3300251509385096	0.33404462573013516	0.31963738406693154	0.5367518093454314	0.32847800769207103
F22H1A	0.3380044043297922	0.3298972288435028	0.34573024959669524	0.3337322346598429	0.37334241157939474	0.34579003630669053	0.369901824790107	0.34721575175669384	0.29899669933615064	0.2525557249009077	0.11049197464184697	0.04866164711383526	0.0	0.18371820671391179	0.31041147070088426	0.382046958928237	0.27621386758243577	0.3099096264448764	0.33145240545573673	0.3349705343936853	0.3179525243123891	0.38622627777256524	0.3378154222321864	0.3478687710193426	0.6079483679919574	0.6345429629467647	0.3790519680456823	0.4929589031900714	0.37465888491784793	0.38486609714186104	0.34702686635619884	0.35466961531241625	0.3569061909653345	0.3681911015842919	0.37789924475494907	0.3530739737461238	0.36806470819657133	0.3350575024445147	0.36244915781132586	0.384731166095135	0.40316167902509326	0.3431323048232315	0.347151779614857	0.33274453795165343	0.5498589632301534	0.341585161576793
F29H1	0.3249657626343315	0.3168585871480422	0.33269160790123464	0.32069359296438227	0.3603037698839341	0.33275139461122993	0.3568631830946464	0.3341771100612332	0.28595805764069	0.23951708320544712	0.15419774119604507	0.1706110528291899	0.18371820671391179	0.0	0.29737282900542367	0.3690083172327764	0.2631752258869752	0.29687098474941576	0.31841376376027614	0.32193189269822464	0.3049138826169284	0.3731876360771046	0.32477678053672576	0.334830129323882	0.5949097262964967	0.6215043212513041	0.36601332635022166	0.47992026149461076	0.3616202432223873	0.37182745544640045	0.3339882246607382	0.34163097361695566	0.34386754926987384	0.35515245988883126	0.3648606030594884	0.34003533205066316	0.3550260665011107	0.3220188607490541	0.34941051611586527	0.3716925243996744	0.39012303732963266	0.3300936631277709	0.3341131379193964	0.31970589625619283	0.5368203215346927	0.3285465198813323
S7Hp	0.347664774705741	0.33955759921945167	0.3553906199726441	0.3433926050357917	0.38300278195534354	0.3554504066826394	0.3795621951660558	0.35687612213264264	0.30865706971209944	0.3268582896664552	0.2808910051830176	0.29730431681616243	0.31041147070088426	0.29737282900542367	0.0	0.3456094581470194	0.2397763668012182	0.3195699968208252	0.3411127758316856	0.3446309047696341	0.3276128946883379	0.39588664814851404	0.3474757926081352	0.35752914139529146	0.6176087383679062	0.6442033333227135	0.3887123384216311	0.5026192735660202	0.38431925529379674	0.3945264675178099	0.35668723673214764	0.3643299856883651	0.3665665613412833	0.3778514719602407	0.38755961513089787	0.3627343441220726	0.37772507857252013	0.34471787282046357	0.3721095281872747	0.3943915364710838	0.4128220494010421	0.35279267519918034	0.35681214999080585	0.3424049083276023	0.5595193336061022	0.3512455319527418
S4Hp	0.4193002629330937	0.4111930874468044	0.42702610819999676	0.4150280932631445	0.45463827018269626	0.42708589490999205	0.4511976833934086	0.42851161035999535	0.38029255793945216	0.3984937778938079	0.35252649341037023	0.3689398050435151	0.382046958928237	0.3690083172327764	0.3456094581470194	0.0	0.2186126132471864	0.39120548504817787	0.4127482640590383	0.4162663929969868	0.39924838291569054	0.46752213637586676	0.41911128083548793	0.4291646296226441	0.689244226595259	0.7158388215500662	0.4603478266489838	0.5742547617933729	0.45595474352114945	0.4661619557451626	0.42832272495950036	0.4359654739157178	0.438202049568636	0.44948696018759343	0.4591951033582506	0.43436983234942533	0.44936056679987285	0.4163533610478163	0.4437450164146274	0.4660270246984366	0.48445753762839483	0.424428163426533	0.42844763821815857	0.41404039655495495	0.6311548218334548	0.4228810201800945
S28Hp	0.3134671715872924	0.3053599961010032	0.32119301685419555	0.3091950019173432	0.348805178836895	0.32125280356419084	0.34536459204760733	0.3226785190141941	0.27445946659365095	0.2926606865480067	0.24669340206456905	0.2631067136977139	0.27621386758243577	0.2631752258869752	0.2397763668012182	0.2186126132471864	0.0	0.28537239370237666	0.3069151727132371	0.3104333016511856	0.2934152915698893	0.36168904503006555	0.3132781894896867	0.3233315382768429	0.5834111352494576	0.610005730204265	0.35451473530318256	0.46842167044757166	0.3501216521753482	0.3603288643993614	0.3224896336136991	0.3301323825699166	0.33236895822283474	0.34365386884179216	0.3533620120124493	0.32853674100362407	0.3435274754540716	0.3105202697020151	0.33791192506882617	0.36019393335263533	0.3786244462825936	0.3185950720807318	0.32261454687235736	0.30820730520915374	0.5253217304876536	0.3170479288342932
F6H1	0.31576791679820326	0.30766074131191395	0.3234937620651064	0.311495747128254	0.35110592404780583	0.3235535487751017	0.3476653372585181	0.3249792642251049	0.27676021180456173	0.3263564454104473	0.28038916092700966	0.29680247256015446	0.3099096264448764	0.29687098474941576	0.3195699968208252	0.39120548504817787	0.28537239370237666	0.0	0.2706864542757616	0.2742045832137101	0.29571603678080016	0.36398979024097633	0.3155789347005975	0.32563228348775375	0.5857118804603685	0.6123064754151758	0.3568154805140934	0.4707224156584825	0.352422397386259	0.3626296096102722	0.3247903788246099	0.3324331277808274	0.3346697034337456	0.345954614052703	0.35566275722336016	0.3308374862145349	0.3458282206649824	0.31282101491292585	0.340212670279737	0.3624946785635461	0.3809251914935044	0.3208958172916426	0.32491529208326814	0.3105080504200646	0.5276224756985645	0.31934867404520406
s24H1	0.33731069580906364	0.32920352032277433	0.3450365410759667	0.33303852613911444	0.3726487030586662	0.345096327785962	0.36920811626937855	0.3465220432359653	0.2983029908154221	0.34789922442130766	0.30193193993787004	0.3183452515710149	0.33145240545573673	0.31841376376027614	0.3411127758316856	0.4127482640590383	0.3069151727132371	0.2706864542757616	0.0	0.21340101975749132	0.31725881579166054	0.38553256925183677	0.33712171371145794	0.3471750624986141	0.6072546594712289	0.6338492544260361	0.3783582595249538	0.4922651946693429	0.3739651763971194	0.38417238862113257	0.3463331578354703	0.3539759067916878	0.35621248244460596	0.3674973930635634	0.37720553623422054	0.3523802652253953	0.3673709996758428	0.33436379392378623	0.36175544929059733	0.38403745757440655	0.4024679705043648	0.34243859630250295	0.3464580710941285	0.3320508294309249	0.5491652547094248	0.34089145305606444
S10H1	0.34082882474701215	0.3327216492607229	0.34855467001391527	0.33655665507706295	0.3761668319966147	0.34861445672391056	0.37272624520732706	0.3500401721739138	0.30182111975337067	0.35141735335925617	0.3054500688758186	0.3218633805089634	0.3349705343936853	0.32193189269822464	0.3446309047696341	0.4162663929969868	0.3104333016511856	0.2742045832137101	0.21340101975749132	0.0	0.32077694472960905	0.38905069818978527	0.34063984264940644	0.35069319143656263	0.6107727884091774	0.6373673833639847	0.3818763884629023	0.4957833236072914	0.3774833053350679	0.3876905175590811	0.3498512867734188	0.35749403572963634	0.35973061138255447	0.3710155220015119	0.38072366517216905	0.3558983941633438	0.3708891286137913	0.3378819228617348	0.3652735782285459	0.38755558651235505	0.40598609944231334	0.3459567252404515	0.3499762000320771	0.33556895836887346	0.5526833836473733	0.34440958199401295
