	s30pp	S9H1	w1pp	w8pp	S3Hp	f4pp	s2pp	w23pp	s24pp	w16pp	w14pp	w26pp	w11pp	w27pp	F6H1	S11Hp	w6pp	f20ppA	F32H1	S20H1	f10pp	F8H1	f12ppB	w12pp	w29pp	w2pp	f24pp	w24pp	w28pp	w17pp
w14pp	0.43905858436235035	0.5520689071442411	0.43708662780784313	0.5134954029622817	0.4953088873789422	0.4284633545485144	0.40419085032420454	0.37661585511249107	0.34218918340959853	0.3363372900347047	0.0	0.24868472952608364	0.26640380765958793	0.39830963772588657	0.43606111190337915	0.412598978197676	0.3976810350180985	0.35382488081385816	0.49944037511045725	0.515353379177676	0.3816498243912175	0.3940947952061248	0.3910100840199436	0.4364128012474295	0.37943710272285996	0.32095589500330357	0.34746160498242773	0.28797345251888434	0.4179465536014968	0.4459702837834386
w26pp	0.4279774238472476	0.5409877466291383	0.42600546729274036	0.5024142424471789	0.4842277268638394	0.4173821940334116	0.3931096898091017	0.3655346945973883	0.3311080228944957	0.3252561295196019	0.24868472952608364	0.0	0.25532264714448516	0.3872284772107838	0.4249799513882764	0.4015178176825732	0.3865998745029957	0.3427437202987553	0.4883592145953545	0.5042722186625732	0.37056866387611465	0.383013634691022	0.37992892350484075	0.42533164073232665	0.36835594220775714	0.3098747344882008	0.33638044446732496	0.2768922920037815	0.40686539308639397	0.4348891232683358
w11pp	0.36998345182395354	0.48299377460584425	0.3680114952694463	0.4444202704238849	0.4262337548405454	0.3593882220101176	0.33511571778580773	0.30754072257409426	0.2731140508712017	0.2672621574963079	0.26640380765958793	0.25532264714448516	0.0	0.2814334958090573	0.3191849699865499	0.2957228362808467	0.3286059024797017	0.28474974827546135	0.43036524257206044	0.4462782466392792	0.31257469185282066	0.32501966266772797	0.32193495148154677	0.36733766870903267	0.31036197018446315	0.25188076246490676	0.2783864724440309	0.21889831998048753	0.3488714210631	0.3768951512450418
w27pp	0.5018892818902522	0.6148996046721429	0.49991732533574496	0.5763261004901835	0.558139584906844	0.4912940520764162	0.4670215478521063	0.4394465526403929	0.40501988093750035	0.3991679875626065	0.39830963772588657	0.3872284772107838	0.2814334958090573	0.0	0.3937399063592217	0.37027777265351847	0.4605117325460003	0.41665557834176004	0.5622710726383591	0.5781840767055778	0.44448052191911935	0.4569254927340266	0.45384078154784546	0.49924349877533136	0.44226780025076184	0.3837865925312054	0.41029230251032955	0.35080415004678617	0.48077725112939856	0.5088009813113403
F6H1	0.5396407560677448	0.6526510788496355	0.5376687995132375	0.6140775746676761	0.5958910590843366	0.5290455262539088	0.504773022029599	0.4771980268178855	0.44277135511499294	0.4369194617400991	0.43606111190337915	0.4249799513882764	0.3191849699865499	0.3937399063592217	0.0	0.3476148606204942	0.4982632067234929	0.45440705251925256	0.6000225468158517	0.6159355508830704	0.4822319960966119	0.4946769669115192	0.491592255725338	0.5369949729528238	0.48001927442825437	0.421538066708698	0.44804377668782214	0.38855562422427875	0.5185287253068911	0.546552455488833
S11Hp	0.5161786223620416	0.6291889451439323	0.5142066658075344	0.590615440961973	0.5724289253786334	0.5055833925482057	0.4813108883238958	0.45373589311218243	0.41930922140928983	0.413457328034396	0.412598978197676	0.4015178176825732	0.2957228362808467	0.37027777265351847	0.3476148606204942	0.0	0.4748010730177898	0.43094491881354946	0.5765604131101485	0.5924734171773673	0.4587698623909088	0.4712148332058161	0.4681301220196349	0.5135328392471208	0.45655714072255127	0.3980759330029949	0.42458164298211903	0.36509349051857565	0.49506659160118804	0.5230903217831299
w6pp	0.46419650700556636	0.5772068297874571	0.46222455045105915	0.5386333256054977	0.5204468100221582	0.4536012771917304	0.4293287729674205	0.4017537777557071	0.36732710605281454	0.3614752126779207	0.3976810350180985	0.3865998745029957	0.3286059024797017	0.4605117325460003	0.4982632067234929	0.4748010730177898	0.0	0.15174666326459818	0.36053010202232516	0.3764431060895439	0.3356055738070025	0.34805054462190976	0.3449658334357286	0.3903685506632145	0.3754586969492981	0.3169774892297417	0.3434831992088659	0.2839950467453225	0.4430844762447128	0.4711082064266546
f20ppA	0.42034035280132603	0.5333506755832168	0.4183683962468188	0.49477717140125743	0.47659065581791793	0.4097451229874901	0.3854726187631802	0.3578976235514668	0.3234709518485742	0.3176190584736804	0.35382488081385816	0.3427437202987553	0.28474974827546135	0.41665557834176004	0.45440705251925256	0.43094491881354946	0.15174666326459818	0.0	0.31667394781808483	0.33258695188530357	0.29174941960276213	0.30419439041766944	0.30110967923148824	0.34651239645897414	0.33160254274505774	0.2731213350255014	0.29962704500462556	0.24013889254108212	0.3992283220404724	0.42725205222241425
F32H1	0.5659558470979251	0.6789661698798158	0.5639838905434179	0.6403926656978565	0.622206150114517	0.5553606172840891	0.5310881130597793	0.5035131178480658	0.4690864461451733	0.4632345527702795	0.49944037511045725	0.4883592145953545	0.43036524257206044	0.5622710726383591	0.6000225468158517	0.5765604131101485	0.36053010202232516	0.31667394781808483	0.0	0.20615403774092517	0.4373649138993612	0.4498098847142685	0.4467251735280873	0.4921278907555732	0.47721803704165683	0.41873682932210043	0.4452425393012246	0.3857543868376812	0.5448438163370715	0.5728675465190134
S20H1	0.5818688511651439	0.6948791739470346	0.5798968946106366	0.6563056697650752	0.6381191541817357	0.5712736213513079	0.547001117126998	0.5194261219152846	0.48499945021239205	0.4791475568374982	0.515353379177676	0.5042722186625732	0.4462782466392792	0.5781840767055778	0.6159355508830704	0.5924734171773673	0.3764431060895439	0.33258695188530357	0.20615403774092517	0.0	0.45327791796657996	0.46572288878148727	0.46263817759530607	0.5080408948227919	0.49313104110887557	0.4346498333893192	0.46115554336844333	0.40166739090489995	0.5607568204042903	0.588780550586232
