	w19pp	w32pp	w18pp	w17pp	w2pp	f32pp	f26pp	f6ppA	f19pp	f29pp	s3pp	f28pp	w1pp	s32pp	w16pp	f16ppB	s30pp	s1pp	s18pp	s12pp	f15pp	f9pp	f7pp	f13pp	f20ppB	f17ppA	w6pp	f31pp	f16ppA	w21pp	f8pp	s29pp	S1Hp	s31pp	f14ppB	f18pp	w9pp	f12ppA	s2pp	f21pp	31071	F7H1	F14H1B	S6Hp	w10pp
s3pp	0.29160333697626445	0.3016463027837852	0.31078183501265266	0.33275248977332633	0.34938895609248355	0.24133708089876346	0.23091987931511737	0.26968334914450853	0.1912857848739756	0.19636945616393325	0.0	0.1651217764749829	0.23244337420104602	0.23234634300366178	0.2016780537276734	0.18341188721258783	0.29917509156756306	0.26275642865388726	0.2777717539253651	0.2627691104814522	0.24462536682918626	0.25672605855938546	0.2722243082242849	0.3162738410503959	0.3164035523277062	0.31122683070204993	0.3157751599739576	0.3235548988612692	0.3512684918570127	0.37414428306716063	0.36802650599290443	0.46844992611810987	0.42337093971039264	0.40180288743313897	0.33228720284652313	0.3483635179986561	0.3329849781392077	0.29091975935160086	0.3415343864333572	0.33020084534744026	0.6468407477739575	0.686690531769672	0.6430859848872406	0.6927071524010536	0.2798563803649933
f28pp	0.2048059847666624	0.21484895057418307	0.22398448280305056	0.24595513756372425	0.2625916038828815	0.15453972868916138	0.14412252710551532	0.18288599693490645	0.10448843266437352	0.10957210395433115	0.1651217764749829	0.0	0.14564602199144394	0.1455489907940597	0.11488070151807132	0.09661453500298575	0.21237773935796098	0.17595907644428516	0.19097440171576302	0.1759717582718501	0.15782801461958418	0.16992870634978335	0.18542695601468284	0.22947648884079386	0.2296062001181041	0.22442947849244785	0.2289778077643555	0.2367575466516671	0.2644711396474106	0.2873469308575586	0.2812291537833023	0.38165257390850776	0.3365735875007905	0.31500553522353686	0.24548985063692103	0.261566165789054	0.24618762592960558	0.20412240714199875	0.25473703422375515	0.24340349313783816	0.5600433955643553	0.5998931795600698	0.5562886326776384	0.6059098001914515	0.19305902815539117
w1pp	0.25813624990026046	0.26817921570778114	0.2773147479366486	0.2992854026973223	0.31592186901647956	0.20786999382275945	0.19745279223911336	0.2362162620685045	0.15781869779797159	0.1629023690879292	0.23244337420104602	0.14564602199144394	0.0	0.14290839870581049	0.1682109666516694	0.14994480013658384	0.26570800449155907	0.22928934157788322	0.24430466684936109	0.22930202340544817	0.21115827975318224	0.22325897148338142	0.2387572211482809	0.2828067539743919	0.2829364652517022	0.27775974362604594	0.28230807289795357	0.2900878117852652	0.3178014047810087	0.34067719599115664	0.3345594189169004	0.43498283904210583	0.3899038526343886	0.3683358003571349	0.2988201157705191	0.31489643092265207	0.29951789106320365	0.2574526722755968	0.3080672993573532	0.2967337582714362	0.6133736606979534	0.653223444693668	0.6096188978112365	0.6592400653250496	0.24638929328898926
s32pp	0.2580392187028762	0.2680821845103969	0.2772177167392644	0.29918837149993804	0.3158248378190953	0.2077729626253752	0.1973557610417291	0.23611923087112024	0.15772166660058734	0.16280533789054497	0.23234634300366178	0.1455489907940597	0.14290839870581049	0.0	0.16811393545428516	0.1498477689391996	0.2656109732941748	0.22919231038049898	0.24420763565197684	0.22920499220806392	0.211061248555798	0.22316194028599717	0.23866018995089666	0.2827097227770077	0.28283943405431794	0.2776627124286617	0.2822110417005693	0.28999078058788097	0.31770437358362447	0.3405801647937724	0.33446238771951614	0.4348858078447216	0.38980682143700435	0.3682387691597507	0.29872308457313484	0.3147993997252678	0.2994208598658194	0.25735564107821257	0.307970268159969	0.296636727074052	0.6132766295005692	0.6531264134962838	0.6095218666138522	0.6591430341276654	0.246292262091605
w16pp	0.19245125227692417	0.2024942180844449	0.21162975031331235	0.23360040507398605	0.2502368713931433	0.14218499619942318	0.1317677946157771	0.17053126444516825	0.10463773834552231	0.12050818610292725	0.2016780537276734	0.11488070151807132	0.1682109666516694	0.16811393545428516	0.0	0.07678215414350034	0.20002300686822277	0.16360434395454698	0.17861966922602482	0.1636170257821119	0.14547328212984598	0.15757397386004518	0.1730722235249446	0.21712175635105563	0.2172514676283659	0.21207474600270965	0.21662307527461733	0.22440281416192892	0.2521164071576724	0.27499219836782035	0.2688744212935641	0.36929784141876953	0.3242188550110523	0.30265080273379863	0.2331351181471828	0.24921143329931583	0.23383289343986735	0.19176767465226052	0.24238230173401693	0.23104876064809998	0.5476886630746172	0.5875384470703316	0.5439339001879002	0.5935550677017133	0.180704295665653
f16ppB	0.1741850857618386	0.18422805156935934	0.1933635837982268	0.2153342385589005	0.23197070487805774	0.12391882968433762	0.11350162810069155	0.1522650979300827	0.08637157183043676	0.10224201958784168	0.18341188721258783	0.09661453500298575	0.14994480013658384	0.1498477689391996	0.07678215414350034	0.0	0.18175684035313722	0.14533817743946142	0.16035350271093923	0.14535085926702634	0.12720711561476042	0.13930780734495962	0.15480605700985905	0.19885558983597007	0.19898530111328033	0.1938085794876241	0.19835690875953177	0.20613664764684336	0.23385024064258686	0.2567260318527348	0.25060825477847853	0.351031674903684	0.30595268849596674	0.28438463621871307	0.21486895163209724	0.23094526678423027	0.2155667269247818	0.17350150813717496	0.22411613521893137	0.21278259413301442	0.5294224965595317	0.5692722805552461	0.5256677336728147	0.5752889011866278	0.16243812915056743
s30pp	0.2691471107406016	0.27919007654812233	0.28832560877698976	0.3102962635376635	0.32693272985682076	0.21888085466310062	0.20846365307945453	0.2472271229088457	0.20213477618541195	0.2180052239428169	0.29917509156756306	0.21237773935796098	0.26570800449155907	0.2656109732941748	0.20002300686822277	0.18175684035313722	0.0	0.16017249823240715	0.17518782350388498	0.19675724671922878	0.2221691405935234	0.23426983232372262	0.24976808198862208	0.2938176148147331	0.2939473260920433	0.2887706044663871	0.29331893373829476	0.30109867262560636	0.32881226562134985	0.35168805683149784	0.3455702797572415	0.44599369988244697	0.40091471347472973	0.37934666119747606	0.30983097661086023	0.32590729176299327	0.3105287519035448	0.26846353311593796	0.3190781601976944	0.3077446191117774	0.6243845215382946	0.6642343055340091	0.6206297586515777	0.6702509261653907	0.2574001541293304
s1pp	0.2327284478269258	0.24277141363444651	0.25190694586331397	0.2738776006239877	0.2905140669431449	0.18246219174942482	0.17204499016577873	0.2108084599951699	0.16571611327173613	0.1815865610291411	0.26275642865388726	0.17595907644428516	0.22928934157788322	0.22919231038049898	0.16360434395454698	0.14533817743946142	0.16017249823240715	0.0	0.12388923131967661	0.160338583805553	0.1857504776798476	0.19785116941004682	0.21334941907494628	0.2573989519010573	0.25752866317836753	0.2523519415527113	0.25690027082461897	0.26468000971193056	0.29239360270767406	0.31526939391782205	0.30915161684356574	0.4095750369687712	0.36449605056105394	0.3429279982838003	0.27341231369718444	0.2894886288493175	0.274110088989869	0.2320448702022622	0.2826594972840186	0.2713259561981016	0.5879658586246188	0.6278156426203333	0.5842110957379019	0.6338322632517149	0.22098149121565464
s18pp	0.24774377309840367	0.25778673890592435	0.26692227113479183	0.28889292589546556	0.3055293922146228	0.19747751702090266	0.18706031543725657	0.2258237852666477	0.180731438543214	0.19660188630061892	0.2777717539253651	0.19097440171576302	0.24430466684936109	0.24420763565197684	0.17861966922602482	0.16035350271093923	0.17518782350388498	0.12388923131967661	0.0	0.17535390907703086	0.20076580295132546	0.21286649468152463	0.22836474434642412	0.27241427717253514	0.2725439884498454	0.26736726682418915	0.27191559609609683	0.2796953349834084	0.30740892797915187	0.33028471918929986	0.3241669421150436	0.42459036224024904	0.3795113758325318	0.35794332355527814	0.2884276389686623	0.30450395412079534	0.28912541426134686	0.24706019547374003	0.29767482255549643	0.2863412814695795	0.6029811838960967	0.6428309678918112	0.5992264210093797	0.6488475885231928	0.23599681648713247
s12pp	0.23274112965449073	0.24278409546201146	0.25191962769087894	0.2738902824515526	0.29052674877070983	0.18247487357698974	0.17205767199334365	0.21082114182273481	0.16572879509930108	0.18159924285670603	0.2627691104814522	0.1759717582718501	0.22930202340544817	0.22920499220806392	0.1636170257821119	0.14535085926702634	0.19675724671922878	0.160338583805553	0.17535390907703086	0.0	0.18576315950741254	0.19786385123761174	0.2133621009025112	0.2574116337286222	0.25754134500593245	0.2523646233802762	0.2569129526521839	0.2646926915394955	0.292406284535239	0.3152820757453869	0.3091642986711307	0.40958771879633615	0.3645087323886189	0.34294068011136525	0.2734249955247494	0.2895013106768824	0.27412277081743397	0.2320575520298271	0.2826721791115835	0.27133863802566655	0.5879785404521838	0.6278283244478983	0.5842237775654668	0.6338449450792799	0.22099417304321956
