	w20pp	f16ppA	w11pp	f22ppB	f19pp	f6ppA	w24pp	f2pp	f24pp	w3pp	f16ppB	w9pp	f15pp	f20ppA	w14pp	S7Hp	F14H1A	S18H1	31267	S9H1	S16H2	S21H1	S1Hp	S22Hp	S26Hp	S27H1	F23HpA	530331	S15Hp	S4Hp	S17H1	S6Hp	31750	S31Hp	F14H1B	31452	S19H1	S28Hp	F7H1	31749	31219	S3Hp	S29H1	530055	31300	S13Hp	S14Hp	31160	F1H1	F6H1	S25Hp	31328	f22ppA	f6ppB	w25pp	f8pp	w4pp	F29H1	s22pp	s24pp	s32pp	s2pp	s25pp	s23pp	w10pp	f14ppB	f4pp	f1pp	f7pp	f25pp	w18pp
f16ppB	0.15488364724227613	0.1263341056004565	0.13813919344000905	0.15606923167071968	0.1483682655433717	0.10518794161971194	0.10373811684886351	0.10736910473448574	0.09569346792443777	0.07520763276328112	0.0	0.08298808097420905	0.13619050118665516	0.131888473349905	0.1486078587473352	0.27219650662093253	0.4245732470227925	0.4785122230544388	0.5048943916616973	0.46516395103230657	0.39193731633250556	0.48024955854838797	0.46244532338031624	0.5081897174576263	0.49502406022641593	0.5584987161458824	0.5127586561761136	0.5344685533205362	0.5350879255095744	0.5719721497809768	0.5618675836350782	0.6156884367495464	0.5309106131040248	0.5719947918324452	0.5220263730147732	0.5559084046386559	0.54265255691843	0.557371880299748	0.5444424904585962	0.5178364833465599	0.5751993168584952	0.5450834010782623	0.5411425236547097	0.5424375787408144	0.533366651859534	0.5390123623069987	0.5691029337331543	0.5421327900360752	0.6156909391732968	0.5791901355011736	0.4707171517922338	0.4953761673992031	0.11547521325387329	0.11553930356512811	0.11136423882416914	0.119350697679419	0.1440725732722265	0.17018766820098952	0.16654091685701933	0.16285998293009657	0.19712047621732365	0.20927389111926872	0.16019885505637999	0.16406412817651433	0.15408500886854484	0.10567124331439179	0.14108713735379275	0.12920634358399963	0.10665183943847167	0.1373638721638456	0.1343303344600659
w9pp	0.13721526699677417	0.10866572535495451	0.12047081319450709	0.1384008514252177	0.13069988529786974	0.08751956137420999	0.08606973660336156	0.0897007244889838	0.07802508767893582	0.05974065516985262	0.08298808097420905	0.0	0.1185221209411532	0.11422009310440305	0.13093947850183324	0.2545281263754306	0.40690486677729054	0.46084384280893687	0.48722601141619537	0.4474955707868046	0.3742689360870036	0.46258117830288603	0.4447769431348143	0.49052133721212443	0.477355679980914	0.5408303359003805	0.4950902759306117	0.5168001730750343	0.5174195452640725	0.5543037695354749	0.5441992033895763	0.5980200565040446	0.5132422328585229	0.5543264115869433	0.5043579927692713	0.538240024393154	0.5249841766729281	0.5397035000542462	0.5267741102130943	0.500168103101058	0.5575309366129934	0.5274150208327604	0.5234741434092078	0.5247691984953126	0.5156982716140321	0.5213439820614968	0.5514345534876525	0.5244644097905733	0.5980225589277949	0.5615217552556717	0.45304877154673184	0.4777077871537011	0.09780683300837134	0.09787092331962616	0.09369585857866719	0.10168231743391704	0.12640419302672454	0.15251928795548758	0.14887253661151736	0.1451916026845946	0.17945209597182168	0.19160551087376676	0.14253047481087802	0.1463957479310124	0.13641662862304288	0.08800286306888983	0.12341875710829078	0.11153796333849769	0.08898345919296971	0.11969549191834364	0.11666195421456392
f15pp	0.16132008524650088	0.1327705436046812	0.1445756314442338	0.16250566967494443	0.15480470354759646	0.13458706371377877	0.13313723894293034	0.13676822682855255	0.1250925900185046	0.11294307538229872	0.13619050118665516	0.1185221209411532	0.0	0.08512097133680918	0.10184035673423937	0.22542900460783674	0.37780574500969666	0.431744721041343	0.4581268896486015	0.41839644901921075	0.34516981431940974	0.43348205653529215	0.4156778213672204	0.46142221544453055	0.4482565582133201	0.5117312141327867	0.46599115416301784	0.48770105130744046	0.48832042349647864	0.525204647767881	0.5151000816219824	0.5689209347364507	0.484143111090929	0.5252272898193494	0.4752588710016774	0.5091409026255601	0.4958850549053342	0.5106043782866523	0.4976749884455004	0.4710689813334641	0.5284318148453995	0.4983158990651665	0.49437502164161395	0.4956700767277187	0.48659914984643826	0.4922448602939029	0.5223354317200586	0.4953652880229794	0.568923437160201	0.5324226334880778	0.42394964977913796	0.4486086653861073	0.10722792278072225	0.10729201309197707	0.1031169483510181	0.12578713568364375	0.15050901127645125	0.1766241062052143	0.17297735486124408	0.16929642093432132	0.20355691422154837	0.21571032912349347	0.16663529306060473	0.1705005661807391	0.1605214468727696	0.11210768131861654	0.14752357535801747	0.1356427815882244	0.11308827744269642	0.14380031016807035	0.14076677246429065
f20ppA	0.15701805740975072	0.12846851576793106	0.14027360360748364	0.15820364183819427	0.1505026757108463	0.1302850358770286	0.12883521110618018	0.1324661989918024	0.12079056218175444	0.10864104754554857	0.131888473349905	0.11422009310440305	0.08512097133680918	0.0	0.09471790711579617	0.21830655498939353	0.37068329539125344	0.42462227142289977	0.45100444003015827	0.41127399940076753	0.3380473647009665	0.42635960691684893	0.4085553717487772	0.45429976582608733	0.4411341085948769	0.5046087645143434	0.4588687045445746	0.48057860168899724	0.4811979738780354	0.5180821981494378	0.5079776320035392	0.5617984851180076	0.4770206614724858	0.5181048402009062	0.4681364213832342	0.5020184530071169	0.48876260528689097	0.5034819286682091	0.4905525388270572	0.46394653171502087	0.5213093652269563	0.4911934494467233	0.48725257202317074	0.48854762710927546	0.47947670022799505	0.4851224106754597	0.5152129821016154	0.4882428384045362	0.5618009875417579	0.5253001838696346	0.41682720016069474	0.44148621576766406	0.1029258949439721	0.10298998525522692	0.09881492051426795	0.12148510784689359	0.1462069834397011	0.17232207836846414	0.16867532702449392	0.16499439309757116	0.1992548863847982	0.21140830128674332	0.16233326522385458	0.16619853834398896	0.15621941903601944	0.10780565348186638	0.1432215475212673	0.13134075375147425	0.10878624960594627	0.1394982823313202	0.1364647446275405
w14pp	0.17373744280718093	0.1451879011653613	0.15699298900491385	0.17492302723562447	0.1672220611082765	0.1470044212744588	0.14555459650361038	0.14918558438923263	0.13750994757918464	0.12536043294297877	0.1486078587473352	0.13093947850183324	0.10184035673423937	0.09471790711579617	0.0	0.2171646450541514	0.36954138545601134	0.42348036148765766	0.44986253009491617	0.41013208946552543	0.3369054547657244	0.42521769698160683	0.4074134618135351	0.45315785589084523	0.4399921986596348	0.5034668545791013	0.4577267946093325	0.47943669175375514	0.4800560639427933	0.5169402882141957	0.5068357220682971	0.5606565751827655	0.4758787515372437	0.5169629302656641	0.4669945114479921	0.5008765430718748	0.48762069535164887	0.502340018732967	0.4894106288918151	0.46280462177977877	0.5201674552917142	0.49005153951148117	0.48611066208792864	0.48740571717403336	0.47833479029275294	0.4839805007402176	0.5140710721663733	0.4871009284692941	0.5606590776065158	0.5241582739343925	0.41568529022545264	0.44034430583242196	0.1196452803414023	0.11970937065265712	0.11553430591169815	0.1382044932443238	0.1629263688371313	0.1890414637658943	0.18539471242192412	0.18171377849500137	0.21597427178222844	0.22812768668417352	0.17905265062128478	0.18291792374141913	0.17293880443344964	0.12452503887929658	0.15994093291869754	0.14806013914890442	0.12550563500337647	0.1562176677287504	0.1531841300249707
S7Hp	0.29732609068077825	0.2687765490389586	0.2805816368785112	0.29851167510922183	0.29081070898187383	0.27059306914805614	0.2691432443772077	0.27277423226282993	0.26109859545278197	0.24894908081657613	0.27219650662093253	0.2545281263754306	0.22542900460783674	0.21830655498939353	0.2171646450541514	0.0	0.20357623637178515	0.25751521240343145	0.28389738101069	0.24416694038129924	0.1709403056814982	0.2592525478973806	0.24144831272930894	0.287192706806619	0.2740270495754086	0.3375017054948752	0.29176164552510636	0.313471542669529	0.31409091485856716	0.3509751391299695	0.34087057298407086	0.39469142609853924	0.30991360245301747	0.35099778118143793	0.3010293623637659	0.33491139398764863	0.3216555462674227	0.3363748696487408	0.32344547980758886	0.2968394726955526	0.354202306207488	0.324086390427255	0.3201455130037025	0.3214405680898072	0.3123696412085267	0.31801535165599143	0.3481059230821471	0.32113577938506793	0.3946939285222896	0.3581931248501663	0.24972014114122645	0.27437915674819574	0.24323392821499967	0.2432980185262545	0.23912295378529552	0.2617931411179211	0.28651501671072865	0.31263011163949167	0.3089833602955214	0.3053024263685987	0.33956291965582575	0.35171633455777085	0.3026412984948821	0.3065065716150165	0.29652745230704697	0.2481136867528939	0.28352958079229484	0.2716487870225018	0.2490942828769738	0.2798063156023477	0.276772777898568
F14H1A	0.4497028310826382	0.42115328944081853	0.4329583772803711	0.4508884155110817	0.4431874493837338	0.4229698095499161	0.42151998477906766	0.4251509726646899	0.4134753358546419	0.401325821218436	0.4245732470227925	0.40690486677729054	0.37780574500969666	0.37068329539125344	0.36954138545601134	0.20357623637178515	0.0	0.15685279630462112	0.1832349649118797	0.14350452428248894	0.09497896949063947	0.1832912117065219	0.16548697653845024	0.21123137061576028	0.19806571338454984	0.2615403693040164	0.2158003093342476	0.23751020647867024	0.2381295786677084	0.2750138029391108	0.2649092367932121	0.3187300899076805	0.23395226626215873	0.27503644499057917	0.22506802617290714	0.2589500577967899	0.24569421007656397	0.2604135334578821	0.24748414361673013	0.2208781365046939	0.2782409700166293	0.2481250542363963	0.24418417681284377	0.24547923189894844	0.236408305017668	0.24205401546513272	0.2721445868912884	0.2451744431942092	0.3187325923314309	0.28223178865930754	0.17375880495036772	0.19841782055733703	0.39561066861685956	0.3956747589281144	0.3914996941871554	0.41416988151978107	0.43889175711258854	0.4650068520413516	0.4613601006973814	0.4576791667704586	0.4919396600576857	0.5040930749596308	0.4550180388967421	0.45888331201687643	0.4489041927089069	0.40049042715475386	0.4359063211941548	0.4240255274243617	0.4014710232788337	0.43218305600420764	0.42914951830042797
S18H1	0.5036418071142845	0.47509226547246486	0.48689735331201744	0.504827391542728	0.4971264254153801	0.4769087855815624	0.475458960810714	0.4790899486963362	0.46741431188628824	0.45526479725008234	0.4785122230544388	0.46084384280893687	0.431744721041343	0.42462227142289977	0.42348036148765766	0.25751521240343145	0.15685279630462112	0.0	0.21915963457786797	0.17942919394847717	0.14891794552228574	0.23723018773816817	0.2194259525700965	0.2651703466474066	0.25200468941619614	0.3154793453356627	0.26973928536589387	0.29144918251031654	0.29206855469935467	0.3289527789707571	0.3188482128248584	0.3726690659393268	0.287891242293805	0.32897542102222543	0.27900700220455343	0.3128890338284362	0.29963318610821027	0.31435250948952836	0.3014231196483764	0.27481711253634017	0.33217994604827555	0.30206403026804257	0.29812315284449004	0.2994182079305947	0.2903472810493143	0.295992991496779	0.32608356292293467	0.2991134192258555	0.3726715683630772	0.33617076469095386	0.227697780982014	0.2523567965889833	0.4495496446485059	0.4496137349597607	0.44543867021880174	0.4681088575514274	0.49283073314423487	0.5189458280729979	0.5152990767290277	0.5116181428021049	0.5458786360893321	0.5580320509912771	0.5089570149283884	0.5128222880485227	0.5028431687405532	0.4544294031864002	0.4898452972258011	0.47796450345600805	0.45540999931048004	0.48612203203585397	0.4830884943320743
31267	0.530023975721543	0.5014744340797234	0.513279521919276	0.5312095601499865	0.5235085940226386	0.5032909541888209	0.5018411294179724	0.5054721173035948	0.49379648049354674	0.48164696585734085	0.5048943916616973	0.48722601141619537	0.4581268896486015	0.45100444003015827	0.44986253009491617	0.28389738101069	0.1832349649118797	0.21915963457786797	0.0	0.19294417629944557	0.17530011412954433	0.26361235634542673	0.24580812117735507	0.29155251525466513	0.2783868580234547	0.3418615139429213	0.2961214539731525	0.3178313511175751	0.3184507233066133	0.35533494757801565	0.345230381432117	0.39905123454658536	0.3142734109010636	0.35535758962948405	0.305389170811812	0.33927120243569475	0.32601535471546883	0.3407346780967869	0.327805288255635	0.30119928114359873	0.3585621146555341	0.32844619887530113	0.3245053214517486	0.3258003765378533	0.31672944965657285	0.32237516010403755	0.3524657315301932	0.32549558783311405	0.39905373697033575	0.3625529332982124	0.2540799495892726	0.27873896519624186	0.4759318132557644	0.4759959035670192	0.47182083882606024	0.4944910261586859	0.5192129017514934	0.5453279966802564	0.5416812453362863	0.5380003114093634	0.5722608046965906	0.5844142195985356	0.5353391835356469	0.5392044566557812	0.5292253373478117	0.4808115717936587	0.5162274658330597	0.5043466720632666	0.48179216791773855	0.5125042006431124	0.5094706629393327
S9H1	0.4902935350921523	0.46174399345033257	0.4735490812898852	0.4914791195205958	0.4837781533932478	0.4635605135594302	0.46211068878858175	0.46574167667420396	0.454066039864156	0.4419165252279501	0.46516395103230657	0.4474955707868046	0.41839644901921075	0.41127399940076753	0.41013208946552543	0.24416694038129924	0.14350452428248894	0.17942919394847717	0.19294417629944557	0.0	0.13556967350015356	0.223881915716036	0.20607768054796433	0.2518220746252744	0.23865641739406393	0.3021310733135305	0.2563910133437617	0.2781009104881843	0.2787202826772225	0.31560450694862485	0.30549994080272624	0.3593207939171946	0.27454297027167285	0.31562714900009325	0.26565873018242125	0.299540761806304	0.28628491408607804	0.30100423746739613	0.28807484762624425	0.261468840514208	0.3188316740261433	0.2887157582459104	0.28477488082235786	0.2860699359084625	0.2769990090271821	0.2826447194746468	0.3127352909008025	0.28576514720372326	0.35932329634094495	0.3228224926688217	0.2143495089598818	0.23900852456685112	0.43620137262637365	0.43626546293762847	0.4320903981966695	0.45476058552929516	0.4794824611221027	0.5055975560508656	0.5019508047068955	0.49826987077997276	0.5325303640671998	0.5446837789691449	0.4956087429062561	0.4994740160263905	0.489494896718421	0.44108113116426795	0.4764970252036689	0.4646162314338758	0.4420617272883478	0.47277376001372173	0.46974022230994206
