	f30pp	w20pp	f13pp	f25pp	f21pp	w12pp	f16ppB	w28pp	f2pp	f10pp	s15pp	530295	s31pp	s23pp	w11pp	w31pp	f32pp	w19pp	f26pp	f11pp	f19pp	f14ppA	w10pp	f20ppB	w17pp	f20ppA	f6ppA	f6ppB	w25pp	f15pp	s25pp	s12pp	w4pp	f14ppB	f24pp	w18pp	w9pp	w3pp	f1pp	w16pp	f12ppB	w27pp	f7pp	f8pp	f22ppA	f4pp	w15pp	w14pp	f16ppA
s15pp	0.3723384941465362	0.38850942726415305	0.3442467028308911	0.3396666717785852	0.36651666518428877	0.36577999621738283	0.3212204795586497	0.4157913368985262	0.3533751617942035	0.3226924024212125	0.0	0.4989171272646421	0.5989799336257599	0.5925518200514007	0.49280905319508905	0.4582267762350545	0.4216770486214992	0.4262382619003119	0.4448948128482494	0.5237467754253822	0.41408400533588674	0.4067603489996131	0.49649987119705	0.46886839373313727	0.4496162004410633	0.46148141944018684	0.45352449584045695	0.4862255320976676	0.4960418730877761	0.44185102398809933	0.5804757625960879	0.5944079720477908	0.5312877677088046	0.3429568141077375	0.4084259015671998	0.4442479720598196	0.38321763223987015	0.4137190640821867	0.4037277448206288	0.41491585832557865	0.4314759893373372	0.45185555365935204	0.39296678561539355	0.3615774425180207	0.36525645580565513	0.4174444791941415	0.386467611840956	0.37557863082944615	0.41474564323894514
530295	0.4114101349315773	0.42758106804919416	0.3833183436159322	0.3787383125636263	0.4055883059693298	0.4048516370024239	0.36029212034369074	0.4548629776835672	0.3924468025792446	0.3737736365535815	0.4989171272646421	0.0	0.638051574410801	0.6316234608364418	0.5318806939801302	0.4972984170200956	0.4607486894065403	0.465309902685353	0.4839664536332905	0.5628184162104233	0.45315564612092785	0.4458319897846542	0.5355715119820912	0.5079400345181784	0.4886878412261044	0.5005530602252279	0.49259613662549806	0.5252971728827087	0.5351135138728171	0.48092266477314044	0.619547403381129	0.6334796128328319	0.5703594084938457	0.3820284548927786	0.44749754235224093	0.4833196128448607	0.42228927302491126	0.45279070486722783	0.4427993856056699	0.45398749911061975	0.4705476301223783	0.49092719444439314	0.43203842640043466	0.4006490833030618	0.40432809659069624	0.4565161199791826	0.4255392526259971	0.41465027161448725	0.45381728402398624
s31pp	0.40941996399086233	0.4255908971084792	0.4166772674006301	0.4120972363483242	0.4514835814423273	0.45074691247542137	0.4061873958166882	0.5007582531565647	0.46945523959701296	0.4738364429146992	0.5989799336257599	0.638051574410801	0.0	0.15143967092529187	0.13254304686579674	0.2971805953655526	0.38933486671946677	0.39389607999827947	0.4526333153939528	0.5314852779710857	0.4218225078815902	0.4144988515453165	0.5042383737427535	0.47660689627884073	0.4573547029867668	0.46921992198589024	0.4612629983861604	0.493964034643371	0.5037803756334795	0.4495895265338028	0.5882142651417914	0.6021464745934944	0.5390262702545081	0.3506953166534409	0.41616440411290323	0.451986474605523	0.39095613478557356	0.4214575666278902	0.4114662473663322	0.42265436087128205	0.4392144918830406	0.45959405620505545	0.40070528816109696	0.36931594506372417	0.37299495835135854	0.425182981739845	0.3942061143866595	0.4126601006737723	0.4518271130832713
s23pp	0.4029918504165032	0.41916278353412006	0.410249153826271	0.40566912277396505	0.4450554678679682	0.44431879890106224	0.3997592822423291	0.4943301395822056	0.46302712602265383	0.46740832934034005	0.5925518200514007	0.6316234608364418	0.15143967092529187	0.0	0.1261149332914376	0.29075248179119345	0.38290675314510764	0.38746796642392034	0.44620520181959367	0.5250571643967266	0.4153943943072311	0.4080707379709574	0.49781026016839436	0.4701787827044816	0.45092658941240765	0.4627918084115311	0.4548348848118013	0.4875359210690119	0.4973522620591204	0.44316141295944367	0.5817861515674323	0.5957183610191352	0.532598156680149	0.34426720307908176	0.4097362905385441	0.44555836103116386	0.38452802121121443	0.41502945305353106	0.40503813379197307	0.4162262472969229	0.4327863783086815	0.4531659426306963	0.39427717458673783	0.36288783148936504	0.3665668447769994	0.41875486816548585	0.38777800081230035	0.40623198709941316	0.44539899950891215
w11pp	0.30324908356019153	0.3194200166778084	0.3105063869699593	0.3059263559176534	0.3453127010116565	0.34457603204475057	0.3000165153860174	0.39458737272589395	0.36328435916634216	0.3676655624840284	0.49280905319508905	0.5318806939801302	0.13254304686579674	0.1261149332914376	0.0	0.19100971493488178	0.28316398628879597	0.28772519956760867	0.346462434963282	0.4253143975404149	0.3156516274509194	0.30832797111464577	0.3980674933120827	0.37043601584817	0.35118382255609604	0.3630490415552195	0.3550921179554897	0.3877931542127003	0.39760949520280875	0.343418646103132	0.4820433847111206	0.49597559416282355	0.4328553898238373	0.24452443622277012	0.30999352368223243	0.34581559417485225	0.28478525435490276	0.31528668619721945	0.30529536693566145	0.31648348044061125	0.3330436114523698	0.35342317577438465	0.29453440773042616	0.26314506463305337	0.26682407792068774	0.31901210130917423	0.28803523395598873	0.3064892202431015	0.3456562326526005
w31pp	0.268666806600157	0.28483773971777393	0.2759241100099248	0.27134407895761886	0.310730424051622	0.30999375508471605	0.26543423842598285	0.3600050957658594	0.32870208220630764	0.33308328552399386	0.4582267762350545	0.4972984170200956	0.2971805953655526	0.29075248179119345	0.19100971493488178	0.0	0.24858170932876145	0.2531429226075741	0.3118801580032475	0.3907321205803803	0.2810693504908849	0.2737456941546112	0.3634852163520481	0.3358537388881354	0.31660154559606146	0.328466764595185	0.3205098409954551	0.35321087725266576	0.3630272182427742	0.3088363691430974	0.44746110775108605	0.461393317202789	0.39827311286380274	0.20994215926273557	0.2754112467221979	0.31123331721481773	0.25020297739486824	0.28070440923718487	0.2707130899756269	0.28190120348057673	0.2984613344923353	0.3188408988143501	0.25995213077039164	0.22856278767301885	0.23224180096065322	0.28442982434913966	0.25345295699595416	0.27190694328306697	0.31107395569256596
f32pp	0.23211707898660167	0.24828801210421855	0.23937438239636943	0.23479435134406354	0.27418069643806664	0.2734440274711607	0.22888451081242756	0.323455368152304	0.29215235459275235	0.29653355791043856	0.4216770486214992	0.4607486894065403	0.38933486671946677	0.38290675314510764	0.28316398628879597	0.24858170932876145	0.0	0.18022654606569544	0.2753304303896922	0.354182392966825	0.24451962287732953	0.2371959665410559	0.3269354887384928	0.29930401127458006	0.2800518179825061	0.29191703698162963	0.28396011338189975	0.3166611496391104	0.3264774906292189	0.27228664152954213	0.4109113801375307	0.42484358958923363	0.36172338525024744	0.17339243164918025	0.2388615191086426	0.2746835896012624	0.21365324978131292	0.24415468162362955	0.23416336236207158	0.24535147586702138	0.26191160687878	0.28229117120079483	0.22340240315683632	0.1920130600594635	0.19569207334709787	0.24788009673558434	0.21690322938239884	0.23535721566951162	0.2745242280790106
w19pp	0.23667829226541437	0.25284922538303123	0.24393559567518214	0.23935556462287624	0.27874190971687934	0.2780052407499734	0.23344572409124026	0.3280165814311168	0.296713567871565	0.3010947711892512	0.4262382619003119	0.465309902685353	0.39389607999827947	0.38746796642392034	0.28772519956760867	0.2531429226075741	0.18022654606569544	0.0	0.27989164366850483	0.3587436062456377	0.24908083615614224	0.2417571798198686	0.3314967020173055	0.3038652245533928	0.28461303126131887	0.29647825026044233	0.2885213266607125	0.3212223629179231	0.3310387039080316	0.27684785480835483	0.41547259341634346	0.4294048028680464	0.36628459852906015	0.17795364492799295	0.2434227323874553	0.2792448028800751	0.21821446306012562	0.24871589490244225	0.23872457564088428	0.2499126891458341	0.26647282015759266	0.2868523844796075	0.22796361643564902	0.1965742733382762	0.20025328662591058	0.25244131001439707	0.22146444266121154	0.23991842894832432	0.2790854413578233
f26pp	0.25533484321335187	0.27150577633096873	0.2625921466231196	0.2580121155708137	0.2973984606648168	0.29666179169791085	0.2521022750391777	0.3466731323790542	0.3153701188195025	0.3197513221371887	0.4448948128482494	0.4839664536332905	0.4526333153939528	0.44620520181959367	0.346462434963282	0.3118801580032475	0.2753304303896922	0.27989164366850483	0.0	0.3083693807523604	0.1987066106628649	0.19138295432659125	0.2811224765240282	0.25349099906011546	0.2342388057680415	0.246104024767165	0.23814710116743515	0.27084813742464575	0.2806644784147543	0.25308945139726335	0.39171419000525187	0.4056463994569548	0.34252619511796867	0.15419524151690145	0.2196643289763638	0.25548639946898355	0.19445605964903412	0.22495749149135075	0.21496617222979275	0.2261542857347426	0.24271441674650118	0.263093981068516	0.2190402754060345	0.1876509323086617	0.19132994559629607	0.2435179689847825	0.22438608564100043	0.2585749798962618	0.2977419923057608
f11pp	0.3341868057904847	0.3503577389081016	0.3414441092002525	0.3368640781479466	0.3762504232419497	0.37551375427504374	0.3309542376163106	0.42552509495618707	0.3942220813966354	0.3986032847143216	0.5237467754253822	0.5628184162104233	0.5314852779710857	0.5250571643967266	0.4253143975404149	0.3907321205803803	0.354182392966825	0.3587436062456377	0.3083693807523604	0.0	0.2168426657278964	0.2559558350772697	0.3456953572747066	0.31806387981079387	0.2988116865187199	0.31067690551784344	0.30271998191811356	0.3354210181753242	0.3452373591654327	0.3319414139743962	0.47056615258238477	0.4844983620340877	0.4213781576951015	0.23304720409403432	0.2985162915534967	0.33433836204611644	0.273308022226167	0.3038094540684836	0.29381813480692565	0.30500624831187545	0.321566379323634	0.3419459436456489	0.29789223798316733	0.26650289488579454	0.2701819081734289	0.3223699315619154	0.30323804821813327	0.33742694247339466	0.37659395488289366
