	s1pp	f4pp	f14ppB	s27pp	w30pp	s25pp	S26Hp	s2pp	s30pp	s19pp
s1pp	0.0	0.44415438750316494	0.9267414779399584	0.9152013130474648	0.8630041190912089	0.7684144404319406	1.124195434304945	0.5192467650904773	0.7254749695660451	0.5648119862100256
f4pp	0.44415438750316494	0.0	0.8199236892437405	0.8083835243512469	0.756186330394991	0.6615966517357228	1.0173776456087271	0.41242897639425946	0.6186571808698271	0.45799419751380765
f14ppB	0.9267414779399584	0.8199236892437405	0.0	0.7337396492599499	1.074568964304075	0.9799792856448067	1.3357602795178112	0.7308116103033435	0.9370398147789112	0.7763768314228917
s27pp	0.9152013130474648	0.8083835243512469	0.7337396492599499	0.0	1.0630287994115815	0.9684391207523131	1.3242201146253174	0.7192714454108498	0.9254996498864176	0.7648366665303981
w30pp	0.8630041190912089	0.756186330394991	1.074568964304075	1.0630287994115815	0.0	0.7601763303358585	1.1159573242088627	0.6252603207830272	0.8702980764019093	0.7096350930458898
s25pp	0.7684144404319406	0.6615966517357228	0.9799792856448067	0.9684391207523131	0.7601763303358585	0.0	0.3557829938740043	0.5306706421237589	0.775708397742641	0.6150454143866215
S26Hp	1.124195434304945	1.0173776456087271	1.3357602795178112	1.3242201146253174	1.1159573242088627	0.3557829938740043	0.0	0.8864516359967632	1.1314893916156454	0.9708264082596259
s2pp	0.5192467650904773	0.41242897639425946	0.7308116103033435	0.7192714454108498	0.6252603207830272	0.5306706421237589	0.8864516359967632	0.0	0.5265407224011778	0.3658777390451582
s30pp	0.7254749695660451	0.6186571808698271	0.9370398147789112	0.9254996498864176	0.8702980764019093	0.775708397742641	1.1314893916156454	0.5265407224011778	0.0	0.5046965311562563
s19pp	0.5648119862100256	0.45799419751380765	0.7763768314228917	0.7648366665303981	0.7096350930458898	0.6150454143866215	0.9708264082596259	0.3658777390451582	0.5046965311562563	0.0
