	F8H1	S30H1	F14H1A	530119	31267	31333	530177	31300	31071	S16H2	31700	S14Hp	31232	31009	530258	530451	w20pp	31360	S6Hp	31160	f7pp	530444
31700	0.6090800282339568	0.6656086949970705	0.5994456779288482	0.5066910388205775	0.49952863242890927	0.5062952998715204	0.5682560279966191	0.4758553027219442	0.49368618735367364	0.4322034561080086	0.0	0.512277082858837	0.5514530716666448	0.6400815145376657	0.6290297389235437	0.6750467119380439	0.5363823780304137	0.6233015165146553	0.5933688572410876	0.6028859865779334	0.5168382249830321	0.6213094925006915
S14Hp	0.5539117843616945	0.6104404511248084	0.544277434056586	0.48462538791869825	0.47746298152702993	0.48422964896964116	0.580306374949028	0.4879056496743532	0.5057365343060827	0.498360348577047	0.512277082858837	0.0	0.49628482779438265	0.5849132706654036	0.5738614950512817	0.6198784680657817	0.48121413415815145	0.5681332726423931	0.5382006133688254	0.5477177427056712	0.46166998111077	0.5661412486284293
31232	0.32157651576493673	0.3781051825280505	0.31194216545982817	0.5238013767265062	0.5166389703348379	0.5234056377774491	0.619482363756836	0.527081638482161	0.5449125231138905	0.5375363373848548	0.5514530716666448	0.49628482779438265	0.0	0.3525780020686457	0.3415262264545238	0.38754319946902394	0.24887886556139366	0.33579800404563526	0.30586534477206756	0.31538247410891335	0.22933471251401213	0.33380598003167145
31009	0.34101576747505835	0.3975444342381721	0.3313814171699498	0.6124298195975271	0.6052674132058588	0.61203408064847	0.7081108066278569	0.615710081353182	0.6335409659849114	0.6261647802558757	0.6400815145376657	0.5849132706654036	0.3525780020686457	0.0	0.21999946395908443	0.2660164369735845	0.23307964339293696	0.31999878187717856	0.29006612260361087	0.29958325194045665	0.24877396422413375	0.35324523174179306
530258	0.3299639918609365	0.38649265862405024	0.32032964155582794	0.6013780439834051	0.5942156375917369	0.6009823050343481	0.697059031013735	0.60465830573906	0.6224891903707894	0.6151130046417539	0.6290297389235437	0.5738614950512817	0.3415262264545238	0.21999946395908443	0.0	0.21084600702632403	0.22202786777881506	0.3089470062630567	0.279014346989489	0.2885314763263348	0.23772218861001188	0.34219345612767116
530451	0.3759809648754366	0.4325096316385504	0.366346614570328	0.6473950169979052	0.6402326106062369	0.6469992780488482	0.743076004028235	0.6506752787535601	0.6685061633852896	0.6611299776562539	0.6750467119380439	0.6198784680657817	0.38754319946902394	0.2660164369735845	0.21084600702632403	0.0	0.26804484079331514	0.35496397927755674	0.32503132000398904	0.33454844934083483	0.28373916162451196	0.3882104291421713
w20pp	0.2373166309678063	0.29384529773092005	0.22768228066269774	0.508730683090275	0.5015682766986067	0.5083349441412179	0.6044116701206048	0.5120109448459299	0.5298418294776593	0.5224656437486237	0.5363823780304137	0.48121413415815145	0.24887886556139366	0.23307964339293696	0.22202786777881506	0.26804484079331514	0.0	0.18048171888037623	0.15054905960680853	0.16006618894365432	0.1450748277168817	0.24954609523454102
31360	0.3242357694520479	0.38076443621516165	0.31460141914693934	0.5956498215745166	0.5884874151828483	0.5952540826254595	0.6913308086048464	0.5989300833301715	0.6167609679619009	0.6093847822328653	0.6233015165146553	0.5681332726423931	0.33579800404563526	0.31999878187717856	0.3089470062630567	0.35496397927755674	0.18048171888037623	0.0	0.21002627467586182	0.2195434040127076	0.2319939662011233	0.3364652337187826
S6Hp	0.2943031101784802	0.35083177694159395	0.28466875987337165	0.5657171623009489	0.5585547559092806	0.5653214233518918	0.6613981493312787	0.5689974240566038	0.5868283086883332	0.5794521229592976	0.5933688572410876	0.5382006133688254	0.30586534477206756	0.29006612260361087	0.279014346989489	0.32503132000398904	0.15054905960680853	0.21002627467586182	0.0	0.09065136682441768	0.2020613069275556	0.3065325744452149
31160	0.303820239515326	0.36034890627843974	0.29418588921021743	0.5752342916377947	0.5680718852461264	0.5748385526887376	0.6709152786681245	0.5785145533934496	0.596345438025179	0.5889692522961434	0.6028859865779334	0.5477177427056712	0.31538247410891335	0.29958325194045665	0.2885314763263348	0.33454844934083483	0.16006618894365432	0.2195434040127076	0.09065136682441768	0.0	0.2115784362644014	0.3160497037820607
f7pp	0.18286076016786354	0.2393894269309773	0.173226409862755	0.48918653004289353	0.4820241236512252	0.48879079109383644	0.5848675170732233	0.4924667917985484	0.5102976764302778	0.5029214907012421	0.5168382249830321	0.46166998111077	0.22933471251401213	0.24877396422413375	0.23772218861001188	0.28373916162451196	0.1450748277168817	0.2319939662011233	0.2020613069275556	0.2115784362644014	0.0	0.19509022443459823
530444	0.21454310846144148	0.2710717752245552	0.20490875815633292	0.5936577975605528	0.5864953911688845	0.5932620586114957	0.6893387845908826	0.5969380593162077	0.6147689439479371	0.6073927582189015	0.6213094925006915	0.5661412486284293	0.33380598003167145	0.35324523174179306	0.34219345612767116	0.3882104291421713	0.24954609523454102	0.3364652337187826	0.3065325744452149	0.3160497037820607	0.19509022443459823	0.0
