	S27H1	S11Hp	31232	530050	S30H1	S15Hp	S21H1	31379	S23Hp	530055	530163	31452	S12Hp	31750	S3Hp	S7Hp	F22HpB	S16H2	S19H1	S14Hp	31700	F8H1	S1Hp	S6Hp	F1H1	F14H1A	F6H1	F16H1	F14H1B	F7H1	31021	S2Hp	S22Hp	31749	31009	f15pp	w24pp	w32pp	w16pp	w15pp	s23pp	w29pp	f11pp	w3pp	w31pp	w23pp	w10pp	w1pp	w26pp	w19pp	w14pp	f30pp	f26pp	w27pp	w22pp	w7pp	w25pp	f24pp	w11pp	S25Hp	31160	s24H1	F22H1A	S13Hp	530295	F29H1	S10H1	S4Hp	S26Hp
530163	0.2843318275212348	0.3078079414450533	0.3022306728323339	0.3119040594540653	0.3247340994057333	0.2642035651945841	0.27683827318342513	0.30364604275268897	0.1841270503301021	0.19745950101319287	0.0	0.27019224642167006	0.23987547594635938	0.22462702339074392	0.284211956534215	0.27620955171167194	0.23330724484955526	0.3467655431445966	0.3010736712992841	0.3111202964631523	0.2641716410724677	0.28408006232317573	0.22222055975487282	0.30457700342746324	0.3432430380615314	0.3023363911956265	0.29117154726517325	0.32286484050803627	0.2611791730394846	0.3173959653831235	0.3182457489441702	0.30801892651735546	0.3395279614969705	0.3597949780654276	0.22906856017843696	0.5842471845445553	0.5778087147716096	0.5947688236359809	0.5779609906018346	0.596722490935967	0.6373490588387782	0.603373865099663	0.6037446561796885	0.5944172286976862	0.5894375037640928	0.5776108477433183	0.5942730664400878	0.5766347032078499	0.5644215977884504	0.5938104388020855	0.5934423946129274	0.5920689316483796	0.5923354468966247	0.5955826537898954	0.5909680491012238	0.5878781416140301	0.5951451221822728	0.5921027560219928	0.5847752192613762	0.25083811093310054	0.3382350757568117	0.3231800488382163	0.35997811245959	0.326823801466977	0.29042185684084426	0.2899405617727301	0.26489374545862937	0.2825691219553804	0.24067421890553903
31452	0.31469447892610825	0.33817059284992673	0.33259332423720733	0.3422667108589387	0.3550967508106067	0.2945662165994576	0.3072009245882985	0.3340086941575624	0.21448970173497553	0.25370364246047006	0.27019224642167006	0.0	0.21649714105158763	0.23629279472650697	0.3145746079390884	0.3065722031165454	0.2636698962544287	0.37712819454947005	0.3314363227041575	0.3414829478680258	0.29453429247734114	0.31444271372804916	0.25258321115974625	0.3349396548323367	0.3736056894664048	0.33269904260049993	0.3215341986700467	0.3532274919129097	0.29154182444435806	0.3477586167879969	0.3486084003490436	0.3383815779222289	0.36989061290184394	0.390157629470301	0.2594312115833104	0.6146098359494288	0.6081713661764829	0.6251314750408543	0.608323642006708	0.6270851423408403	0.6677117102436516	0.6337365165045363	0.634107307584562	0.6247798801025597	0.6198001551689662	0.6079734991481918	0.6246357178449613	0.6069973546127234	0.5947842491933237	0.6241730902069589	0.6238050460178008	0.622431583053253	0.622698098301498	0.6259453051947688	0.6213307005060973	0.6182407930189036	0.6255077735871462	0.6224654074268663	0.6151378706662496	0.281200762337974	0.36859772716168515	0.35354270024308976	0.39034076386446337	0.35718645287185036	0.3207845082457177	0.3203032131776035	0.2952563968635028	0.31293177336025385	0.27103687031041246
S12Hp	0.2843777084507976	0.30785382237461606	0.30227655376189666	0.31194994038362805	0.32477998033529604	0.2642494461241469	0.27688415411298783	0.30369192368225173	0.18417293125966486	0.22338687198515936	0.23987547594635938	0.21649714105158763	0.0	0.2059760242511963	0.28425783746377775	0.27625543264123475	0.23335312577911801	0.3468114240741594	0.30111955222884684	0.3111661773927151	0.26421752200203047	0.2841259432527385	0.22226644068443557	0.304622884357026	0.34328891899109415	0.30238227212518926	0.291217428194736	0.322910721437599	0.2612250539690474	0.31744184631268624	0.31829162987373294	0.3080648074469182	0.33957384242653327	0.35984085899499035	0.22911444110799972	0.5842930654741181	0.5778545957011723	0.5948147045655436	0.5780068715313973	0.5967683718655297	0.6373949397683409	0.6034197460292257	0.6037905371092513	0.594463109627249	0.5894833846936556	0.5776567286728811	0.5943189473696506	0.5766805841374127	0.5644674787180131	0.5938563197316482	0.5934882755424902	0.5921148125779423	0.5923813278261874	0.5956285347194581	0.5910139300307866	0.5879240225435929	0.5951910031118355	0.5921486369515556	0.5848211001909389	0.2508839918626633	0.3382809566863745	0.3232259297677791	0.3600239933891527	0.3268696823965397	0.290467737770407	0.28998644270229285	0.26493962638819213	0.2826150028849432	0.2407200998351018
31750	0.2691292558951821	0.2926053698190006	0.2870281012062812	0.2967014878280126	0.30953152777968057	0.24900099356853142	0.26163570155737237	0.28844347112663626	0.1689244787040494	0.20813841942954392	0.22462702339074392	0.23629279472650697	0.2059760242511963	0.0	0.2690093849081623	0.2610069800856193	0.21810467322350258	0.33156297151854397	0.28587109967323143	0.29591772483709966	0.24896906944641506	0.2688774906971231	0.20701798812882016	0.28937443180141054	0.3280404664354787	0.28713381956957384	0.2759689756391206	0.30766226888198356	0.24597660141343192	0.30219339375707077	0.3030431773181175	0.29281635489130275	0.32432538987091786	0.34459240643937494	0.21386598855238426	0.5690446129185025	0.5626061431455569	0.5795662520099283	0.5627584189757819	0.5815199193099143	0.6221464872127256	0.5881712934736103	0.5885420845536358	0.5792146570716334	0.57423493213804	0.5624082761172655	0.579070494814035	0.5614321315817972	0.5492190261623977	0.5786078671760329	0.5782398229868746	0.5768663600223269	0.577132875270572	0.5803800821638427	0.575765477475171	0.5726755699879773	0.5799425505562201	0.57690018439594	0.5695726476353236	0.23563553930704784	0.323032504130759	0.3079774772121636	0.34477554083353723	0.3116212298409242	0.27521928521479155	0.2747379901466774	0.24969117383257666	0.2673665503293277	0.22547164727948632
S3Hp	0.31017224147671785	0.33364835540053633	0.32807108678781693	0.33774447340954833	0.3505745133612163	0.2900439791500672	0.3026786871389081	0.329486456708172	0.20996746428558513	0.26772335257301494	0.284211956534215	0.3145746079390884	0.28425783746377775	0.2690093849081623	0.0	0.26784272320468117	0.22494041634256445	0.37260595710007965	0.3269140852547671	0.3369607104186354	0.29001205502795074	0.30992047627865876	0.24806097371035585	0.3304174173829463	0.3690834520170144	0.32817680515110953	0.3170119612206563	0.3487052544635193	0.28701958699496766	0.3432363793386065	0.3440861628996532	0.3338593404728385	0.36536837545245354	0.38563539202091063	0.25490897413392	0.6100875985000382	0.6036491287270926	0.620609237591464	0.6038014045573177	0.62256290489145	0.6631894727942613	0.629214279055146	0.6295850701351715	0.6202576426531692	0.6152779177195757	0.6034512616988013	0.6201134803955708	0.6024751171633329	0.5902620117439334	0.6196508527575686	0.6192828085684103	0.6179093456038627	0.6181758608521077	0.6214230677453785	0.6168084630567068	0.613718555569513	0.6209855361377559	0.6179431699774758	0.6106156332168593	0.2766785248885836	0.36407548971229475	0.34902046279369936	0.38581852641507297	0.35266421542245996	0.3162622707963273	0.3157809757282131	0.2907341594141124	0.30840953591086345	0.26651463286102206
S7Hp	0.3021698366541748	0.3256459505779933	0.3200686819652739	0.3297420685870053	0.34257210853867326	0.2820415743275241	0.2946762823163651	0.32148405188562895	0.20196505946304208	0.25972094775047194	0.27620955171167194	0.3065722031165454	0.27625543264123475	0.2610069800856193	0.26784272320468117	0.0	0.1944425253084558	0.3646035522775366	0.31891168043222407	0.32895830559609235	0.28200965020540775	0.3019180714561157	0.24005856888781285	0.3224150125604033	0.3610810471944714	0.3201744003285665	0.3090095563981132	0.3407028496409763	0.2790171821724246	0.3352339745160635	0.3360837580771102	0.3258569356502955	0.3573659706299105	0.3776329871983676	0.24690656931137694	0.6020851936774952	0.5956467239045495	0.6126068327689209	0.5957989997347746	0.614560500068907	0.6551870679717182	0.6212118742326029	0.6215826653126285	0.6122552378306262	0.6072755128970327	0.5954488568762583	0.6121110755730278	0.5944727123407899	0.5822596069213903	0.6116484479350255	0.6112804037458673	0.6099069407813196	0.6101734560295646	0.6134206629228354	0.6088060582341638	0.60571615074697	0.6129831313152128	0.6099407651549328	0.6026132283943162	0.2686761200660405	0.3560730848897517	0.3410180579711563	0.37781612159253	0.34466181059991696	0.30825986597378424	0.30777857090567007	0.28273175459156935	0.3004071310883204	0.258512228038479
F22HpB	0.2592675297920581	0.2827436437158766	0.2771663751031572	0.28683976172488856	0.29966980167655655	0.23913926746540742	0.2517739754542484	0.2785817450235123	0.1590627526009254	0.21681864088835523	0.23330724484955526	0.2636698962544287	0.23335312577911801	0.21810467322350258	0.22494041634256445	0.1944425253084558	0.0	0.32170124541541995	0.2760093735701074	0.28605599873397564	0.23910734334329103	0.25901576459399905	0.19715626202569614	0.27951270569828657	0.3181787403323547	0.2772720934664498	0.26610724953599657	0.2978005427788596	0.23611487531030792	0.2923316676539468	0.2931814512149935	0.2829546287881788	0.31446366376779383	0.3347306803362509	0.2040042624492603	0.5591828868153785	0.5527444170424328	0.5697045259068042	0.5528966928726579	0.5716581932067902	0.6122847611096015	0.5783095673704862	0.5786803584505118	0.5693529309685095	0.564373206034916	0.5525465500141415	0.5692087687109111	0.5515704054786732	0.5393573000592736	0.5687461410729088	0.5683780968837506	0.5670046339192029	0.5672711491674479	0.5705183560607187	0.5659037513720471	0.5628138438848533	0.570080824453096	0.5670384582928161	0.5597109215321995	0.2257738132039238	0.31317077802763504	0.29811575110903965	0.33491381473041326	0.30175950373780025	0.2653575591116676	0.2648762640435534	0.23982944772945264	0.2575048242262037	0.21560992117636232
S16H2	0.34318008495123375	0.36665619887505224	0.36107893026233284	0.37075231688406424	0.3835823568357322	0.3230518226245831	0.335686530613424	0.3624943001826879	0.24297530776010104	0.3302769391833966	0.3467655431445966	0.37712819454947005	0.3468114240741594	0.33156297151854397	0.37260595710007965	0.3646035522775366	0.32170124541541995	0.0	0.2465853508615392	0.31441409437232093	0.26746543898163627	0.2873738602323443	0.26782211181277876	0.3501785554853692	0.38884459011943734	0.34793794325353244	0.3367730993230792	0.3684663925659422	0.3067807250973905	0.3629975174410294	0.36384730100207613	0.3536204785752614	0.38512951355487646	0.40539653012333354	0.2879168176084359	0.6430954419745543	0.6366569722016084	0.6536170810659798	0.6368092480318335	0.6555707483659658	0.6961973162687771	0.6622221225296618	0.6625929136096875	0.6532654861276852	0.6482857611940918	0.6364591051733173	0.6531213238700868	0.6354829606378489	0.6232698552184492	0.6526586962320844	0.6522906520429264	0.6509171890783785	0.6511837043266235	0.6544309112198943	0.6498163065312228	0.6467263990440291	0.6539933796122717	0.6509510134519918	0.6436234766913751	0.3096863683630995	0.39708333318681066	0.38202830626821527	0.4188263698895889	0.38567205889697587	0.3492701142708432	0.34878881920272903	0.3237420028886283	0.34141737938537936	0.29952247633553797
S19H1	0.2974882131059212	0.3209643270297397	0.3153870584170203	0.3250604450387517	0.3378904849904197	0.27735995077927056	0.2899946587681115	0.3168024283373754	0.1972834359147885	0.2845850673380841	0.3010736712992841	0.3314363227041575	0.30111955222884684	0.28587109967323143	0.3269140852547671	0.31891168043222407	0.2760093735701074	0.2465853508615392	0.0	0.2687222225270084	0.22177356713632373	0.24168198838703175	0.22213023996746623	0.30448668364005665	0.3431527182741248	0.3022460714082199	0.29108122747776666	0.3227745207206297	0.261088853252078	0.3173056455957169	0.3181554291567636	0.3079286067299489	0.3394376417095639	0.359704658278021	0.24222494576312337	0.5974035701292417	0.5909651003562959	0.6079252092206673	0.5911173761865209	0.6098788765206533	0.6505054444234646	0.6165302506843493	0.616901041764375	0.6075736142823727	0.6025938893487792	0.5907672333280047	0.6074294520247743	0.5897910887925364	0.5775779833731367	0.6069668243867719	0.6065987801976138	0.6052253172330659	0.605491832481311	0.6087390393745817	0.6041244346859103	0.6010345271987165	0.6083015077669591	0.6052591416066793	0.5979316048460626	0.26399449651778695	0.3513914613414981	0.33633643442290273	0.37313449804427634	0.33998018705166333	0.30357824242553066	0.3030969473574165	0.2780501310433158	0.2957255075400668	0.25383060449022543
S14Hp	0.30753483826978945	0.33101095219360793	0.32543368358088853	0.3351070702026199	0.3479371101542879	0.2874065759431388	0.3000412839319797	0.3268490535012436	0.20733006107865673	0.2946316925019523	0.3111202964631523	0.3414829478680258	0.3111661773927151	0.29591772483709966	0.3369607104186354	0.32895830559609235	0.28605599873397564	0.31441409437232093	0.2687222225270084	0.0	0.1557745259215429	0.20752422891632127	0.23217686513133448	0.31453330880392494	0.3531993434379931	0.31229269657208814	0.3011278526416349	0.33282114588449796	0.27113547841594626	0.3273522707595852	0.3282020543206319	0.31797523189381716	0.34948426687343215	0.36975128344188923	0.2522715709269916	0.60745019529311	0.6010117255201641	0.6179718343845355	0.6011640013503892	0.6199255016845215	0.6605520695873328	0.6265768758482175	0.6269476669282432	0.6176202394462409	0.6126405145126474	0.600813858491873	0.6174760771886425	0.5998377139564046	0.5876246085370049	0.6170134495506401	0.616645405361482	0.6152719423969342	0.6155384576451792	0.61878566453845	0.6141710598497785	0.6110811523625848	0.6183481329308274	0.6153057667705475	0.6079782300099308	0.2740411216816552	0.36143808650536635	0.34638305958677096	0.38318112320814457	0.35002681221553156	0.3136248675893989	0.3131435725212847	0.288096756207184	0.30577213270393505	0.26387722965409366
