	w26pp	w17pp	w20pp	w32pp	w23pp	S23Hp	w13pp	f6ppA	w3pp	f2pp	w19pp	w22pp	w1pp
w26pp	0.0	0.2102915316930562	0.288974090535717	0.3361935583536934	0.2650456240968107	1.624828382470932	0.29159619670161574	0.3006699590324099	0.2694002027745762	0.2897150175845814	0.3028407667265094	0.25603871321564015	0.24514488959040545
w17pp	0.2102915316930562	0.0	0.24532202873041262	0.29254149654838907	0.22139356229150636	1.5811763206656275	0.24794413489631137	0.25701789722710555	0.22574814096927187	0.24606295577927706	0.25918870492120505	0.2123866514103358	0.2014928277851011
w20pp	0.288974090535717	0.24532202873041262	0.0	0.23009294049616785	0.19187121414547803	1.5705509585380133	0.23731877276869698	0.24639253509949116	0.24357296802992828	0.2638877828399335	0.2770135319818615	0.23021147847099224	0.24408853751433868
w32pp	0.3361935583536934	0.29254149654838907	0.23009294049616785	0.0	0.23909068196345448	1.6177704263559898	0.28453824058667343	0.2936120029174676	0.29079243584790476	0.31110725065790995	0.32423299979983794	0.2774309462889687	0.29130800533231516
w23pp	0.2650456240968107	0.22139356229150636	0.19187121414547803	0.23909068196345448	0.0	1.546622492099107	0.2133903063297907	0.22246406866058488	0.219644501591022	0.23995931640102722	0.2530850655429552	0.20628301203208596	0.2201600710754324
S23Hp	1.624828382470932	1.5811763206656275	1.5705509585380133	1.6177704263559898	1.546622492099107	0.0	1.5432213154906964	1.5522950778214906	1.5794272599651433	1.5997420747751485	1.6128678239170764	1.5660657704062073	1.5799428294495537
w13pp	0.29159619670161574	0.24794413489631137	0.23731877276869698	0.28453824058667343	0.2133903063297907	1.5432213154906964	0.0	0.21432606395211423	0.24619507419582704	0.2665098890058323	0.27963563814776027	0.232833584636891	0.24671064368023743
f6ppA	0.3006699590324099	0.25701789722710555	0.24639253509949116	0.2936120029174676	0.22246406866058488	1.5522950778214906	0.21432606395211423	0.0	0.25526883652662125	0.27558365133662643	0.2887094004785544	0.2419073469676852	0.25578440601103164
w3pp	0.2694002027745762	0.22574814096927187	0.24357296802992828	0.29079243584790476	0.219644501591022	1.5794272599651433	0.24619507419582704	0.25526883652662125	0.0	0.2047423520155431	0.21786810115747113	0.18853046718864525	0.22451464975319793
f2pp	0.2897150175845814	0.24606295577927706	0.2638877828399335	0.31110725065790995	0.23995931640102722	1.5997420747751485	0.2665098890058323	0.27558365133662643	0.2047423520155431	0.0	0.216168947971208	0.20884528199865043	0.24482946456320312
w19pp	0.3028407667265094	0.25918870492120505	0.2770135319818615	0.32423299979983794	0.2530850655429552	1.6128678239170764	0.27963563814776027	0.2887094004785544	0.21786810115747113	0.216168947971208	0.0	0.22197103114057842	0.2579552137051311
w22pp	0.25603871321564015	0.2123866514103358	0.23021147847099224	0.2774309462889687	0.20628301203208596	1.5660657704062073	0.232833584636891	0.2419073469676852	0.18853046718864525	0.20884528199865043	0.22197103114057842	0.0	0.2111531601942619
w1pp	0.24514488959040545	0.2014928277851011	0.24408853751433868	0.29130800533231516	0.2201600710754324	1.5799428294495537	0.24671064368023743	0.25578440601103164	0.22451464975319793	0.24482946456320312	0.2579552137051311	0.2111531601942619	0.0
