	w11pp	s3pp	w3pp	f12ppA	w17pp	f1pp	w31pp	w9pp	f17ppA	f9pp	f20ppB	f17ppB	f19pp	S1Hp	w13pp	f12ppB	f21pp	f20ppA	f22ppB	s22pp	f22ppA	w21pp	f13pp	f14ppA	f14ppB	f23ppB	f28pp	w28pp	w4pp	f4pp	f23ppA	f18pp	f8pp	f2pp	s17pp	w1pp	s16pp	f16ppA	f25pp	f16ppB	w25pp	s25pp	w16pp	f24pp	s29pp	s24pp	w24pp	f26pp	S26Hp	w29pp	w27pp	w10pp	f10pp	w6pp	f6ppA	f6ppB	w15pp	f15pp	f32pp	f30pp	f7pp	w7pp	w23pp	f31pp	s32pp	w32pp	w12pp	S12Hp	s18pp	w18pp	S18H1	f11pp
f20ppB	0.2747574875757723	0.31977171488488254	0.2529536869788321	0.17841488252127155	0.24021769629467507	0.23425598977075734	0.24745915671612145	0.2333436586002427	0.22525706425355185	0.19906819137795212	0.0	0.1664786607529387	0.1474278725894174	0.306212975230992	0.19756256475151796	0.162120653348881	0.18440474003546511	0.35949672935938015	0.37809092410486383	0.2843143058537869	0.31591342533776257	0.20905741480054135	0.21955409163909248	0.19076784654568915	0.18284309424867984	0.2292408200531168	0.3177582426643822	0.2961543924149732	0.2880946566704083	0.22217990755148612	0.26258364143236046	0.21622870661842827	0.21336874622724072	0.18250559401527264	0.38251992779568117	0.3054978179400186	0.32196466692059567	0.2361880059023566	0.25800307228895103	0.25595051394444923	0.27393590983252225	0.28461814659892537	0.24159799891635397	0.2402318369219667	0.3524301640195768	0.30174573091648466	0.33555705455415724	0.3381568911814633	0.44358347446012925	0.4352227363509682	0.24650705886065227	0.2219680821533474	0.22430207059639964	0.31054510837162574	0.31811047118355784	0.32541485806523857	0.24078022902256857	0.21564486798407936	0.26523059320367054	0.28526438047184977	0.3936533140242297	0.3432758074193748	0.34326221985239486	0.21436644071267483	0.2722717203859545	0.2564571475836742	0.18400989832853631	0.32691357082731454	0.22640802486626074	0.2278927477177551	0.3719024171670659	0.2798189650949827
f17ppB	0.2550660356365899	0.3000802629457001	0.23326223503964968	0.15872343058208915	0.2205262443554927	0.21456453783157498	0.22776770477693908	0.21365220666106033	0.20556561231436948	0.17937673943876975	0.1664786607529387	0.0	0.11041434048392336	0.2865215232918096	0.17787111281233559	0.14242920140969864	0.16471328809628275	0.3398052774201978	0.35839947216568147	0.2646228539146045	0.2962219733985802	0.18936596286135898	0.1998626396999101	0.17107639460650678	0.16315164230949747	0.20954936811393443	0.2980667907251998	0.27646294047579084	0.2684032047312259	0.20248845561230375	0.24289218949317806	0.1965372546792459	0.19367729428805835	0.16281414207609027	0.3628284758564988	0.2858063660008362	0.3022732149814133	0.21649655396317424	0.2383116203497687	0.23625906200526686	0.2542444578933398	0.26492669465974306	0.2219065469771716	0.22054038498278433	0.3327387120803944	0.2820542789773023	0.31586560261497487	0.3184654392422809	0.4238920225209469	0.41553128441178583	0.2268156069214699	0.20227663021416503	0.20461061865721727	0.29085365643244343	0.2984190192443754	0.3057234061260562	0.2210887770833862	0.195953416044897	0.24553914126448817	0.2655729285326674	0.37396186208504734	0.32358435548019243	0.3235707679132125	0.19467498877349246	0.2525802684467721	0.23676569564449185	0.16431844638935392	0.30722211888813217	0.20671657292707835	0.20820129577857271	0.35221096522788353	0.26012751315580035
f19pp	0.23601524747306857	0.28102947478217877	0.21421144687612834	0.1396726424185678	0.20147545619197135	0.19551374966805363	0.20871691661341774	0.19460141849753898	0.18651482415084814	0.1603259512752484	0.1474278725894174	0.11041434048392336	0.0	0.26747073512828823	0.15882032464881424	0.1233784132461773	0.1456624999327614	0.32075448925667643	0.3393486840021601	0.24557206575108317	0.27717118523505885	0.17031517469783763	0.18081185153638876	0.15202560644298543	0.14410085414597612	0.19049857995041308	0.27901600256167847	0.2574121523122695	0.24935241656770457	0.1834376674487824	0.22384140132965671	0.17748646651572456	0.174626506124537	0.14376335391256892	0.34377768769297745	0.26675557783731485	0.28322242681789195	0.1974457657996529	0.21926083218624734	0.21720827384174551	0.2351936697298185	0.24587590649622168	0.20285575881365026	0.20148959681926298	0.31368792391687306	0.26300349081378094	0.2968148144514535	0.29941465107875953	0.40484123435742553	0.3964804962482645	0.20776481875794856	0.18322584205064368	0.18555983049369593	0.2718028682689221	0.27936823108085407	0.28667261796253485	0.20203798891986485	0.17690262788137565	0.22648835310096682	0.24652214036914605	0.354911073921526	0.3045335673166711	0.30451997974969114	0.1756242006099711	0.23352948028325077	0.2177149074809705	0.14526765822583257	0.2881713307246108	0.187665784763557	0.18915050761505137	0.3331601770643622	0.241076724992279
S1Hp	0.357116014100216	0.4021302414093262	0.3353122135032758	0.2607734090457152	0.32257622281911874	0.316614516295201	0.3298176832405651	0.3157021851246864	0.3076155907779955	0.28142671790239576	0.306212975230992	0.2865215232918096	0.26747073512828823	0.0	0.20363813880584414	0.23028280228548859	0.2667632665599088	0.4418552558838238	0.46044945062930753	0.36667283237823056	0.3982719518622062	0.29141594132498505	0.30191261816353615	0.2731263730701328	0.2652016207731235	0.3115993465775605	0.4001167691888259	0.37851291893941685	0.370453183194852	0.3045384340759298	0.3449421679568041	0.29858723314287194	0.2957272727516844	0.2648641205397163	0.46487845432012487	0.38785634446446227	0.4043231934450393	0.3185465324268003	0.34036159881339473	0.3383090404688929	0.3562944363569659	0.36697667312336907	0.32395652544079767	0.32259036344641034	0.4347886905440205	0.38410425744092835	0.41791558107860094	0.42051541770590695	0.5259420009845729	0.5175812628754118	0.3288655853850959	0.30432660867779104	0.3066605971208433	0.39290363489606944	0.4004689977080015	0.40777338458968226	0.3231387555470122	0.29800339450852303	0.34758911972811424	0.3676229069962934	0.4760118405486734	0.42563433394381844	0.42562074637683855	0.2967249672371185	0.35463024691039813	0.3388156741081179	0.26636842485297996	0.40927209735175824	0.3087665513907044	0.3102512742421988	0.4542609436915096	0.3621774916194264
w13pp	0.24846560362074194	0.29347983092985214	0.2266618030238017	0.15212299856624117	0.21392581233964475	0.207964105815727	0.2211672727610911	0.20705177464521238	0.1989651802985215	0.17277630742292177	0.19756256475151796	0.17787111281233559	0.15882032464881424	0.20363813880584414	0.0	0.12163239180601461	0.15811285608043477	0.3332048454043498	0.3517990401498335	0.25802242189875657	0.2896215413827322	0.182765530845511	0.19326220768406213	0.1644759625906588	0.1565512102936495	0.20294893609808645	0.29146635870935184	0.26986250845994286	0.26180277271537794	0.19588802359645577	0.23629175747733008	0.18993682266339793	0.18707686227221038	0.1562137100602423	0.3562280438406508	0.2792059339849883	0.2956727829655653	0.20989612194732626	0.2317111883339207	0.22965862998941888	0.24764402587749187	0.258326262643895	0.21530611496132362	0.21393995296693635	0.3261382800645464	0.2754538469614543	0.3092651705991269	0.31186500722643296	0.4172915905050989	0.40893085239593785	0.22021517490562192	0.19567619819831705	0.1980101866413693	0.2842532244165954	0.2918185872285275	0.2991229741102082	0.21448834506753822	0.18935298402904902	0.2389387092486402	0.2589724965168194	0.36736143006919936	0.31698392346434445	0.3169703358973645	0.18807455675764448	0.24597983643092414	0.23016526362864387	0.15771801437350594	0.3006216868722842	0.20011614091123037	0.20160086376272474	0.34561053321203555	0.25352708113995237
f12ppB	0.21302369221810497	0.2580379195272152	0.19121989162116476	0.11668108716360424	0.17848390093700778	0.17252219441309005	0.18572536135845416	0.17160986324257543	0.16352326889588456	0.13733439602028483	0.162120653348881	0.14242920140969864	0.1233784132461773	0.23028280228548859	0.12163239180601461	0.0	0.12267094467779782	0.29776293400171283	0.31635712874719657	0.2225805104961196	0.25417962998009525	0.14732361944287406	0.1578202962814252	0.12903405118802186	0.12110929889101253	0.1675070246954495	0.2560244473067149	0.23442059705730592	0.226360861312741	0.16044611219381882	0.20084984607469314	0.15449491126076098	0.15163495086957343	0.12077179865760534	0.3207861324380139	0.2437640225823513	0.26023087156292835	0.17445421054468935	0.19626927693128376	0.1942167185867819	0.21220211447485493	0.2228843512412581	0.17986420355868668	0.17849804156429938	0.2906963686619095	0.24001193555881736	0.27382325919649	0.276423095823796	0.3818496791024619	0.3734889409933009	0.18477326350298495	0.1602342867956801	0.16256827523873235	0.24881131301395848	0.2563766758258905	0.2636810627075713	0.17904643366490125	0.15391107262641207	0.20349679784600325	0.22353058511418247	0.33191951866656244	0.2815420120617075	0.2815284244947276	0.15263264535500753	0.21053792502828717	0.19472335222600695	0.122276102970869	0.26517977546964727	0.16467422950859342	0.1661589523600878	0.3101686218093986	0.2180851697373154
f21pp	0.19430136978589935	0.23931559709500955	0.17249756918895912	0.09795876473139858	0.1765442458741584	0.17058253935024065	0.18378570629560476	0.16967020817972603	0.16158361383303516	0.13539474095743542	0.18440474003546511	0.16471328809628275	0.1456624999327614	0.2667632665599088	0.15811285608043477	0.12267094467779782	0.0	0.21916201164967666	0.23775620639516035	0.14397958814408338	0.17557870762805908	0.06872269709083785	0.07921937392938898	0.07195235938416016	0.06402760708715083	0.11042533289158782	0.21164274161108967	0.1900388913616807	0.18197915561711578	0.1160644064981936	0.15646814037906795	0.11011320556513576	0.10725324517394821	0.07639009296198013	0.2764044267423887	0.19938231688672609	0.21584916586730316	0.13007250484906413	0.15188757123565857	0.14983501289115672	0.1678204087792297	0.1785026455456329	0.13548249786306146	0.1341163358686742	0.24631466296628426	0.19563022986319215	0.22944155350086473	0.23204139012817077	0.33746797340683676	0.3291072352976757	0.14039155780735976	0.11585258110005489	0.11818656954310713	0.20442960731833326	0.2119949701302653	0.21929935701194606	0.13466472796927606	0.10952936693078685	0.15911509215037803	0.17914887941855726	0.2982106535405463	0.24783314693569142	0.24781955936871147	0.11892378022899143	0.19181560259608152	0.17600102979380128	0.10355378053866335	0.2464574530374416	0.14595190707638778	0.14743662992788215	0.29144629937719296	0.19936284730510978
f20ppA	0.36939335910981436	0.41440758641892456	0.3475895585128741	0.27305075405531365	0.3516362351980734	0.3456745286741557	0.35887769561951977	0.34476219750364107	0.3366756031569502	0.31048673028135043	0.35949672935938015	0.3398052774201978	0.32075448925667643	0.4418552558838238	0.3332048454043498	0.29776293400171283	0.21916201164967666	0.0	0.3547903185008914	0.2610137002498144	0.2926128197337901	0.20515189623797836	0.24060633382118576	0.24704434870807518	0.23911959641106587	0.28551732221550286	0.3867347309350047	0.36513088068559574	0.3570711449410308	0.2911563958221086	0.331560129702983	0.28520519488905083	0.28234523449786325	0.2514820822858952	0.45149641606630375	0.37447430621064115	0.3909411551912182	0.30516449417297914	0.3269795605595736	0.32492700221507176	0.3429123981031448	0.3535946348695479	0.3105744871869765	0.30920832519258923	0.4214066522901993	0.3707222191871072	0.40453354282477977	0.40713337945208583	0.5125599627307518	0.5041992246215907	0.3154835471312748	0.29094457042396993	0.29327855886702214	0.37952159664224827	0.38708695945418037	0.3943913463358611	0.3097567172931911	0.28462135625470186	0.33420708147429307	0.3542408687424723	0.47330264286446133	0.4229251362596064	0.4229115486926265	0.2940157695529064	0.36690759191999656	0.3510930191177163	0.2786457698625784	0.4215494423613566	0.3210438964003028	0.32252861925179716	0.466538288701108	0.3744548366290248
f22ppB	0.38798755385529804	0.43300178116440824	0.36618375325835784	0.2916449488007973	0.37023042994355715	0.36426872341963934	0.3774718903650035	0.36335639224912475	0.35526979790243385	0.32908092502683417	0.37809092410486383	0.35839947216568147	0.3393486840021601	0.46044945062930753	0.3517990401498335	0.31635712874719657	0.23775620639516035	0.3547903185008914	0.0	0.20861583914093676	0.24021495862491243	0.22374609098346204	0.2592005285666695	0.26563854345355886	0.2577137911565496	0.30411151696098654	0.4053289256804884	0.3837250754310794	0.3756653396865145	0.30975059056759235	0.35015432444846667	0.30379938963453446	0.30093942924334693	0.2700762770313788	0.4700906108117874	0.3930685009561248	0.4095353499367019	0.3237586889184628	0.3455737553050573	0.34352119696055544	0.3615065928486284	0.37218882961503164	0.3291686819324602	0.3278025199380729	0.440000847035683	0.38931641393259087	0.42312773757026345	0.42572757419756946	0.5311541574762355	0.5227934193670745	0.3340777418767585	0.3095387651694536	0.3118727536125059	0.398115791387732	0.405681154199664	0.4129855410813448	0.3283509120386748	0.3032155510001856	0.35280127621977675	0.372835063487956	0.49189683760994507	0.4415193310050901	0.44150574343811017	0.31260996429839016	0.3855017866654802	0.36968721386319997	0.297239964608062	0.4401436371068403	0.33963809114578647	0.34112281399728084	0.48513248344659166	0.3930490313745085
s22pp	0.2942109356042211	0.3392251629133313	0.27240713500728087	0.19786833054972036	0.2764538116924802	0.2704921051685624	0.28369527211392653	0.2695797739980478	0.26149317965135693	0.2353043067757572	0.2843143058537869	0.2646228539146045	0.24557206575108317	0.36667283237823056	0.25802242189875657	0.2225805104961196	0.14397958814408338	0.2610137002498144	0.20861583914093676	0.0	0.1371277586779684	0.1299694727323851	0.1654239103155925	0.17186192520248195	0.1639371729054726	0.2103348987099096	0.3115523074294114	0.2899484571800025	0.28188872143543753	0.21597397231651538	0.2563777061973897	0.21002277138345754	0.20716281099227	0.1762996587803019	0.37631399256071046	0.29929188270504786	0.31575873168562496	0.2299820706673859	0.2517971370539803	0.24974457870947847	0.2677299745975515	0.27841221136395466	0.23539206368138324	0.23402590168699594	0.346224228784606	0.2955397956815139	0.3293511193191865	0.33195095594649254	0.43737753922515854	0.4290168011159975	0.2403011236256815	0.21576214691837667	0.2180961353614289	0.30433917313665504	0.3119045359485871	0.3192089228302678	0.2345742937875978	0.20943893274910863	0.2590246579686998	0.27905844523687906	0.3981202193588681	0.34774271275401314	0.34772912518703325	0.2188333460473132	0.2917251684144033	0.27591059561212306	0.20346334635698513	0.3463670188557634	0.24586147289470955	0.24734619574620392	0.39135586519551474	0.29927241312343156
