	31343	31452	F8H1	530331	S31Hp	31021	S4Hp	S21H1	F23HpA	S16H2	S3Hp	S23Hp	F29H1	530394	S6Hp	S13Hp	S15Hp	31328	S22Hp	S17H1	31519	S26Hp	31700	S25Hp	S11Hp	S2Hp	530050	530055	S7Hp	31009	F32H1	F1H1	531414	S29H1	S19H1	530364	31750	F7H1	S30H1
S3Hp	0.3895974461224158	0.40414281171283645	0.4080815994834291	0.39877865951370634	0.3370572890921406	0.3743321137355621	0.40410986194584003	0.37525572932432333	0.22869086394567856	0.37539957071169505	0.0	0.20503259034067178	0.30567752321229524	0.36635887196341665	0.37112920157736085	0.27635235867538366	0.34700798658933046	0.3561024014325542	0.35350013331466623	0.3723300024948097	0.44944128782237414	0.35767715138899087	0.4204067693241966	0.41989578170930775	0.42975233265239743	0.42867234655307074	0.4356065378755142	0.4308216517416631	0.4261333120190447	0.4451296806621852	0.4559191354611214	0.43466698702174345	0.41988717996579117	0.4059194233544664	0.3975176342552913	0.38328977420288857	0.3938531542495577	0.41141358167122066	0.40447133373681804
S23Hp	0.45518331938859485	0.4697286849790155	0.47366747274960813	0.4643645327798854	0.40264316235831965	0.4399179870017411	0.46969573521201907	0.44084160259050237	0.2942767372118576	0.4409854439778741	0.20503259034067178	0.0	0.3009003339854261	0.43194474522959575	0.43671507484353994	0.34193823194156275	0.41259385985550956	0.42168827469873327	0.4190860065808453	0.4379158757609888	0.5150271610885533	0.42326302465516996	0.48599264259037567	0.4854816549754868	0.49533820591857647	0.4942582198192498	0.5011924111416932	0.49640752500784213	0.4917191852852238	0.5107155539283643	0.5215050087273005	0.5002528602879226	0.48547305323197026	0.4715052966206455	0.4631035075214704	0.4488756474690676	0.45943902751573673	0.4769994549373997	0.4700572070029971
F29H1	0.5558282522602183	0.570373617850639	0.5743124056212316	0.5650094656515088	0.5032880952299431	0.5405629198733646	0.5703406680836425	0.5414865354621259	0.39492167008348106	0.5416303768494976	0.30567752321229524	0.3009003339854261	0.0	0.5325896781012192	0.5373600077151635	0.4425831648131862	0.513238792727133	0.5223332075703567	0.5197309394524687	0.5385608086326122	0.6156720939601767	0.5239079575267934	0.5866375754619991	0.5861265878471102	0.5959831387901999	0.5949031526908732	0.6018373440133167	0.5970524578794656	0.5923641181568473	0.6113604867999878	0.622149941598924	0.6008977931595461	0.5861179861035937	0.5721502294922689	0.5637484403930939	0.5495205803406911	0.5600839603873602	0.5776443878090232	0.5707021398746206
530394	0.5102828530517529	0.5248282186421737	0.5287670064127662	0.5194640664430434	0.4577426960214777	0.4950175206648992	0.5247952688751771	0.49594113625366043	0.34937627087501566	0.4960849776410321	0.36635887196341665	0.43194474522959575	0.5325896781012192	0.0	0.4356808604400347	0.3970377656047208	0.46769339351866757	0.47678780836189133	0.4741855402440034	0.4930154094241468	0.5701266947517113	0.47836255831832797	0.5410921762535337	0.5405811886386449	0.5504377395817346	0.5493577534824079	0.5562919448048513	0.5515070586710002	0.5468187189483819	0.5658150875915223	0.5766045423904586	0.5553523939510806	0.5405725868951283	0.5266048302838036	0.5182030411846285	0.5039751811322257	0.5145385611788948	0.5320989886005578	0.5251567406661553
S6Hp	0.5150531826656971	0.5295985482561179	0.5335373360267104	0.5242343960569876	0.4625130256354219	0.49978785027884337	0.5295655984891213	0.5007114658676046	0.35414660048895985	0.5008553072549763	0.37112920157736085	0.43671507484353994	0.5373600077151635	0.4356808604400347	0.0	0.401808095218665	0.47246372313261176	0.4815581379758355	0.4789558698579476	0.497785739038091	0.5748970243656555	0.48313288793227216	0.545862505867478	0.545351518252589	0.5552080691956787	0.554128083096352	0.5610622744187955	0.5562773882849443	0.551589048562326	0.5705854172054665	0.5813748720044027	0.5601227235650248	0.5453429165090725	0.5313751598977478	0.5229733707985726	0.5087455107461699	0.5193088907928389	0.536869318214502	0.5299270702800994
S13Hp	0.33971838387901515	0.3542637494694358	0.3582025372400284	0.3488995972703056	0.2871782268487399	0.32445305149216136	0.3542307997024393	0.3253766670809226	0.17881180170227784	0.3614539272608366	0.27635235867538366	0.34193823194156275	0.4425831648131862	0.3970377656047208	0.401808095218665	0.0	0.14789600466872183	0.1569904195119456	0.15438815139405762	0.17321802057420105	0.3995622255789735	0.30779808914559015	0.37052770708079585	0.370016719465907	0.37987327040899665	0.37879328430966996	0.3857274756321135	0.3809425894982623	0.37625424977564403	0.3952506184187845	0.40604007321772073	0.3847879247783428	0.3700081177223905	0.35604036111106574	0.34763857201189063	0.3334107119594879	0.343974092006157	0.36153451942782	0.3545922714934174
S15Hp	0.4103740117929619	0.42491937738338253	0.4288581651539752	0.4195552251842524	0.3578338547626867	0.39510867940610817	0.4248864276163861	0.3960322949948694	0.24946742961622465	0.43210955517478333	0.34700798658933046	0.41259385985550956	0.513238792727133	0.46769339351866757	0.47246372313261176	0.14789600466872183	0.0	0.030894347196805245	0.028292079078917298	0.04712194825906073	0.4702178534929202	0.37845371705953695	0.4411833349947427	0.44067234737985383	0.4505288983229435	0.4494489122236168	0.45638310354606026	0.4515982174122092	0.4469098776895908	0.4659062463327313	0.4766957011316675	0.45544355269228953	0.44066374563633726	0.4266959890250125	0.4182941999258374	0.40406633987343465	0.4146297199201038	0.43219014734176675	0.4252478994073641
31328	0.4194684266361856	0.43401379222660624	0.4379525799971989	0.42864964002747613	0.3669282696059104	0.4042030942493319	0.43398084245960983	0.4051267098380931	0.25856184445944835	0.4412039700180071	0.3561024014325542	0.42168827469873327	0.5223332075703567	0.47678780836189133	0.4815581379758355	0.1569904195119456	0.030894347196805245	0.0	0.007539333265048208	0.026369202445191642	0.47931226833614393	0.38754813190276066	0.4502777498379664	0.44976676222307754	0.4596233131661672	0.45854332706684053	0.465477518389284	0.4606926322554329	0.4560042925328145	0.475000661175955	0.4857901159748912	0.46453796753551324	0.44975816047956096	0.4357904038682362	0.4273886147690611	0.41316075471665836	0.4237241347633275	0.44128456218499046	0.43434231425058784
S22Hp	0.4168661585182977	0.43141152410871836	0.43535031187931095	0.4260473719095882	0.36432600148802247	0.40160082613144393	0.4313785743417219	0.4025244417202052	0.2559595763415604	0.43860170190011916	0.35350013331466623	0.4190860065808453	0.5197309394524687	0.4741855402440034	0.4789558698579476	0.15438815139405762	0.028292079078917298	0.007539333265048208	0.0	0.02180954829773052	0.47671000021825605	0.3849458637848727	0.4476754817200784	0.44716449410518955	0.45702104504827923	0.45594105894895254	0.4628752502713961	0.4580903641375449	0.4534020244149266	0.4723983930580671	0.4831878478570033	0.46193569941762536	0.4471558923616731	0.4331881357503483	0.4247863466511732	0.4105584865987705	0.42112186664543955	0.4386822940671026	0.43174004613269995
S17H1	0.4356960276984411	0.45024139328886176	0.4541801810594544	0.44487724108973165	0.3831558706681659	0.4204306953115874	0.45020844352186534	0.42135431090034864	0.27478944552170387	0.45743157108026256	0.3723300024948097	0.4379158757609888	0.5385608086326122	0.4930154094241468	0.497785739038091	0.17321802057420105	0.04712194825906073	0.026369202445191642	0.02180954829773052	0.0	0.49553986939839945	0.4037757329650162	0.46650535090022194	0.46599436328533306	0.47585091422842274	0.47477092812909605	0.4817051194515395	0.4769202333176884	0.47223189359507	0.49122826223821053	0.5020177170371467	0.48076556859776876	0.4659857615418165	0.4520180049304917	0.4436162158313166	0.4293883557789139	0.439951735825583	0.457512163247246	0.45056991531284335
