	f23ppA	w24pp	s24pp	s24H1	f12ppB	f32pp	f8pp	f26pp	f14ppB	f12ppA	f6ppB	f20ppB	f24pp	w18pp	f23ppB	w20pp	S13Hp	f6ppA	S18H1	F1H1	S8Hp	F23HpA	f10pp	w13pp	f7pp	f3pp	f4pp	f13pp	s17pp	w10pp	w17pp	f17ppA	w3pp	w1pp	f1pp	S14Hp	f29pp	w8pp	f2pp	w2pp	s2pp	f15pp	w14pp	w25pp	f16ppB	f16ppA	f25pp	f22ppB	S22Hp	s27pp	F7H1	f11pp	w11pp	S17H1	F22HpB	S27H1	s30pp	S9H1	S4Hp	w19pp	w16pp	S12Hp	S3Hp	f20ppA	F16H1	f31pp	530451	S15Hp	S26Hp	f30pp	f18pp	f21pp
f23ppA	0.0	0.3086804935142551	0.36638359738358817	0.37604125487737017	0.24509304162552825	0.2701803690852757	0.21561975634381464	0.37485223227460585	0.3193139638634169	0.3342660338672404	0.31671936074380996	0.2513639210197404	0.2625044639999593	0.3462607461054358	0.33872406057594645	0.335408714067072	0.39543560034513825	0.38637352641376366	0.46786569025295005	0.48200931343086023	0.465327001035906	0.5145826542712305	0.35004726037027833	0.3614625100018811	0.31418849433896723	0.3671598426316511	0.2984017720665272	0.4109566544701508	0.4273938093214006	0.4100079151729019	0.3983560983471872	0.38312211796835177	0.3229606621767107	0.3897602026952919	0.38670680104543925	0.5025950130905972	0.35628603374351486	0.37118691380124597	0.3620151158374138	0.37951303957582394	0.4340187700966381	0.3677095703531085	0.3698546928272594	0.38304226397022734	0.35974535346222053	0.27822491596254784	0.3392219141699222	0.3685426080546218	0.45478687924612277	0.3885374036741952	0.4871138073138776	0.3808038247075918	0.45215647444003565	0.5290279845893575	0.5446442702686356	0.5261111492524873	0.47589624474992037	0.4950143255356875	0.49336685543062214	0.43942344382507353	0.3501648986724377	0.3178231107424031	0.40182331753654227	0.373430742222163	0.450975841888148	0.29691445203350303	0.5909212461039534	0.5474560695444721	0.5028783066807457	0.30771586984389726	0.2971892185837523	0.2730529313845328
w24pp	0.3086804935142551	0.0	0.0750092857857574	0.0846669432795394	0.2421544877877329	0.2672418152474803	0.22613060480073316	0.3853630807315244	0.3298248123203355	0.34477688232415893	0.32723020920072854	0.261874769476659	0.2730153124568778	0.3567715945623543	0.349234909032865	0.3459195625239906	0.4059464488020568	0.3968843748706822	0.4783765387098686	0.4925201618877788	0.4758378494928246	0.525093502728149	0.36055810882719685	0.37197335845879964	0.32469934279588575	0.37767069108856965	0.3089126205234457	0.42146750292706936	0.4379046577783191	0.42051876362982044	0.40886694680410574	0.39363296642527035	0.3334715106336293	0.4002710511522104	0.39721764950235783	0.5131058615475157	0.3667968822004334	0.38169776225816454	0.3725259642943324	0.39002388803274246	0.44452961855355666	0.37822041881002705	0.380365541284178	0.3935531124271459	0.3702562019191391	0.28873576441946636	0.3497327626268407	0.3790534565115403	0.46529772770304134	0.3990482521311138	0.4976246557707962	0.3913146731645103	0.4626673228969542	0.539538833046276	0.5551551187255541	0.5366219977094058	0.48640709320683895	0.5055251739926061	0.5038777038875407	0.4499342922819921	0.36067574712935624	0.3283339591993216	0.41233416599346084	0.3839415906790815	0.4614866903450665	0.30742530049042155	0.6014320945608719	0.5579669180013906	0.5133891551376644	0.3182267183008158	0.3077000670406709	0.28356377984145137
s24pp	0.36638359738358817	0.0750092857857574	0.0	0.00965965749478206	0.29985759165706594	0.3249449191168134	0.28383370867006624	0.44306618460085745	0.38752791618966853	0.402479986193492	0.38493331307006157	0.319577873345992	0.3307184163262109	0.4144746984316874	0.40693801290219805	0.4036226663933236	0.46364955267138985	0.45458747874001526	0.5360796425792016	0.5502232657571118	0.5335409533621576	0.5827966065974821	0.41826121269652994	0.4296764623281327	0.38240244666521883	0.4353737949579027	0.3666157243927788	0.4791706067964024	0.4956077616476522	0.4782218674991535	0.4665700506734388	0.4513360702946034	0.3911746145029623	0.4579741550215435	0.45492075337169086	0.5708089654168488	0.42449998606976647	0.43940086612749757	0.4302290681636654	0.44772699190207554	0.5022327224228897	0.4359235226793601	0.438068645153511	0.45125621629647894	0.42795930578847213	0.34643886828879944	0.4074358664961738	0.4367565603808734	0.5230008315723744	0.4567513560004468	0.5553277596401291	0.4490177770338434	0.5203704267662872	0.597241936915609	0.6128582225948871	0.5943251015787387	0.5441101970761719	0.5632282778619391	0.5615808077568738	0.5076373961513252	0.4183788509986893	0.3860370630686547	0.47003726986279387	0.4416446945484146	0.5191897942143996	0.36512840435975463	0.659135198430205	0.6156700218707237	0.5710922590069973	0.37592982217014886	0.36540317091000396	0.3412668837107845
s24H1	0.37604125487737017	0.0846669432795394	0.00965965749478206	0.0	0.30951524915084794	0.3346025766105954	0.29349136616384824	0.45272384209463945	0.39718557368345053	0.412137643687274	0.39459097056384357	0.329235530839774	0.3403760738199929	0.4241323559254694	0.41659567039598006	0.4132803238871056	0.47330721016517185	0.46424513623379726	0.5457373000729837	0.5598809232508939	0.5431986108559397	0.5924542640912641	0.42791887019031194	0.4393341198219147	0.39206010415900083	0.4450314524516847	0.3762733818865608	0.4888282642901844	0.5052654191414342	0.4878795249929355	0.4762277081672208	0.4609937277883854	0.4008322719967443	0.4676318125153255	0.46457841086547286	0.5804666229106308	0.43415764356354847	0.44905852362127957	0.4398867256574474	0.45738464939585755	0.5118903799166716	0.4455811801731421	0.447726302647293	0.46091387379026094	0.43761696328225413	0.35609652578258144	0.4170935239899558	0.4464142178746554	0.5326584890661563	0.4664090134942288	0.5649854171339113	0.4586754345276254	0.5300280842600693	0.6068995944093911	0.6225158800886692	0.6039827590725209	0.553767854569954	0.5728859353557212	0.5712384652506557	0.5172950536451071	0.4280365084924713	0.3956947205624367	0.4796949273565759	0.4513023520421966	0.5288474517081816	0.37478606185353663	0.668792855923987	0.6253276793645057	0.5807499165007795	0.38558747966393087	0.37506082840378596	0.3509245412045665
f12ppB	0.24509304162552825	0.2421544877877329	0.29985759165706594	0.30951524915084794	0.0	0.17128483209337106	0.16254315291200633	0.3217756288427976	0.26623736043160867	0.2811894304354321	0.2636427573120017	0.19828731758793217	0.209427860568151	0.29318414267362747	0.2856474571441382	0.28233211063526376	0.34235899691333	0.33329692298195535	0.4147890868211418	0.428932709999052	0.41225039760409776	0.46150605083942225	0.29697065693847	0.30838590657007287	0.26111189090715897	0.3140832391998428	0.24532516863471893	0.35788005103834253	0.37431720588959233	0.3569313117410936	0.34527949491537896	0.3300455145365435	0.26988405874490246	0.3366835992634836	0.333630197613631	0.4495184096587889	0.3032094303117066	0.3181103103694377	0.30893851240560555	0.3264364361440157	0.38094216666482983	0.3146329669213002	0.31677808939545116	0.3299656605384191	0.3066687500304123	0.22514831253073952	0.2861453107381139	0.31546600462281355	0.4017102758143145	0.33546080024238695	0.43403720388206934	0.3277272212757835	0.3990798710082274	0.4759513811575492	0.4915676668368273	0.47303454582067894	0.4228196413181121	0.44193772210387927	0.4402902519988139	0.3863468403932653	0.2970882952406294	0.26474650731059485	0.348746714104734	0.3203541387903547	0.3978992384563397	0.24383784860169477	0.537844642672145	0.4943794661126638	0.44980170324893753	0.254639266412089	0.24411261515194405	0.21997632795272457
f32pp	0.2701803690852757	0.2672418152474803	0.3249449191168134	0.3346025766105954	0.17128483209337106	0.0	0.18763048037175378	0.34686295630254504	0.2913246878913561	0.3062767578951795	0.2887300847717491	0.22337464504767957	0.23451518802789842	0.31827147013337487	0.3107347846038856	0.30741943809501115	0.36744632437307745	0.35838425044170275	0.4398764142808892	0.4540200374587994	0.43733772506384516	0.48659337829916965	0.3220579843982174	0.33347323402982026	0.28619921836690637	0.3391705666595902	0.2704124960944663	0.3829673784980899	0.39940453334933973	0.382018639200841	0.37036682237512636	0.3551328419962909	0.2949713862046499	0.361770926723231	0.3587175250733784	0.4746057371185363	0.328296757771454	0.3431976378291851	0.33402583986535295	0.3515237636037631	0.40602949412457723	0.33972029438104767	0.34186541685519856	0.35505298799816654	0.3317560774901597	0.2502356399904869	0.3112326381978613	0.34055333208256094	0.4267976032740619	0.3605481277021344	0.45912453134181674	0.3528145487355309	0.4241671984679748	0.5010387086172966	0.5166549942965747	0.49812187328042634	0.4479069687778595	0.46702504956362667	0.4653775794585613	0.4114341678530127	0.3221756227003768	0.28983383477034225	0.3738340415644814	0.3454414662501021	0.4229865659160871	0.2689251760614422	0.5629319701318924	0.5194667935724112	0.47488903070868493	0.2797265938718364	0.26919994261169145	0.24506365541247196
f8pp	0.21561975634381464	0.22613060480073316	0.28383370867006624	0.29349136616384824	0.16254315291200633	0.18763048037175378	0.0	0.2633918639219599	0.20785359551077096	0.22280566551459438	0.20525899239116396	0.13990355266709442	0.15104409564731328	0.23480037775278975	0.22726369222330045	0.223948345714426	0.2839752319924923	0.2749131580611176	0.35640532190030405	0.37054894507821423	0.35386663268326	0.4031222859185845	0.2385868920176323	0.2500021416492351	0.20272812598632123	0.2556994742790051	0.18694140371388118	0.2994962861175048	0.3159334409687546	0.29854754682025586	0.2868957299945412	0.27166174961570577	0.21150029382406474	0.2782998343426459	0.27524643269279325	0.3911346447379512	0.24482566539086886	0.25972654544859997	0.2505547474847678	0.26805267122317794	0.3225584017439921	0.25624920200046253	0.2583943244746134	0.2715818956175814	0.24828498510957453	0.1667645476099018	0.22776154581727617	0.2570822397019758	0.34332651089347677	0.27707703532154926	0.3756534389612316	0.2693434563549458	0.34069610608738965	0.41756761623671146	0.43318390191598954	0.4146507808998412	0.36443587639727437	0.3835539571830415	0.38190648707797614	0.32796307547242753	0.2387045303197917	0.2063627423897571	0.29036294918389627	0.26197037386951694	0.33951547353550193	0.18545408368085703	0.4794608777513073	0.43599570119182607	0.3914179383280998	0.19625550149125126	0.1857288502311063	0.16159256303188685
f26pp	0.37485223227460585	0.3853630807315244	0.44306618460085745	0.45272384209463945	0.3217756288427976	0.34686295630254504	0.2633918639219599	0.0	0.1935922078973587	0.24192618080827027	0.22437950768483986	0.23505628637991385	0.2461968293601327	0.3299531114656092	0.32241642593611985	0.3191010794272454	0.3791279657053117	0.37006589177393706	0.4686919365164897	0.4828355596943999	0.4661532472994457	0.5154089005347702	0.35087350663381794	0.3622887562654208	0.3150147406025069	0.3679860888951907	0.29922801833006685	0.4117829007336904	0.42822005558494025	0.4108341614364415	0.3991823446107269	0.3839483642318914	0.3237869084402504	0.39058644895883154	0.38753304730897886	0.5034212593541368	0.35711228000705453	0.3720131600647856	0.3628413621009534	0.3803392858393636	0.43484501636017775	0.36853581661664814	0.370680939090799	0.383868510233767	0.36057159972576014	0.27905116222608745	0.3400481604334618	0.36936885431816147	0.45561312550966243	0.38936364993773487	0.48794005357741727	0.38163007097113144	0.4529827207035753	0.5298542308528971	0.5454705165321752	0.5269373955160268	0.47672249101346004	0.4958405717992272	0.4941931016941618	0.4402496900886132	0.35099114493597733	0.31864935700594277	0.4026495638000819	0.3996803879109253	0.4772254875769103	0.32316409772226534	0.6171708917927157	0.5737057152332344	0.529127952369508	0.3339655155326596	0.32343886427251467	0.29930257707329516
f14ppB	0.3193139638634169	0.3298248123203355	0.38752791618966853	0.39718557368345053	0.26623736043160867	0.2913246878913561	0.20785359551077096	0.1935922078973587	0.0	0.18638791239708136	0.1688412392736509	0.1795180179687249	0.19065856094894376	0.27441484305442027	0.26687815752493094	0.2635628110160565	0.3235896972941228	0.31452762336274814	0.4131536681053008	0.427297291283211	0.41061497888825677	0.45987063212358126	0.295335238222629	0.30675048785423187	0.259476472191318	0.31244782048400177	0.2436897499188779	0.3562446323225015	0.37268178717375133	0.3552958930252526	0.34364407619953796	0.32841009582070246	0.26824864002906146	0.3350481805476426	0.33199477889778994	0.4478829909429479	0.3015740115958656	0.31647489165359666	0.3073030936897645	0.3248010174281747	0.37930674794898883	0.3129975482054592	0.3151426706796101	0.3283302418225781	0.3050333313145712	0.22351289381489853	0.2845098920222729	0.31383058590697255	0.4000748570984735	0.33382538152654595	0.43240178516622835	0.3260918025599425	0.3974444522923864	0.4743159624417082	0.4899322481209863	0.47139912710483795	0.4211842226022711	0.4403023033880383	0.4386548332829729	0.3847114216774243	0.2954528765247884	0.26311108859475385	0.34711129538889296	0.3441421194997364	0.4216872191657214	0.2676258293110764	0.5616326233815268	0.5181674468220455	0.4735896839583192	0.27842724712147066	0.26790059586132575	0.24376430866210624
f12ppA	0.3342660338672404	0.34477688232415893	0.402479986193492	0.412137643687274	0.2811894304354321	0.3062767578951795	0.22280566551459438	0.24192618080827027	0.18638791239708136	0.0	0.1697666539107711	0.19447008797254836	0.20561063095276721	0.2893669130582437	0.2818302275287544	0.27851488101988	0.3385417672979462	0.32947969336657157	0.4281057381091242	0.4422493612870344	0.4255670488920802	0.4748227021274047	0.31028730822645245	0.32170255785805524	0.27442854219514135	0.32739989048782525	0.2586418199227013	0.37119670232632496	0.3876338571775747	0.37024796302907603	0.35859614620336133	0.34336216582452594	0.2832007100328849	0.350000250551466	0.3469468489016134	0.46283506094677135	0.316526081599689	0.33142696165742014	0.322255163693588	0.33975308743199806	0.39425881795281226	0.32794961820928265	0.3300947406834336	0.3432823118264015	0.3199854013183947	0.23846496381872195	0.2994619620260963	0.3287826559107959	0.41502692710229694	0.3487774515303694	0.4473538551700518	0.3410438725637659	0.4123965222962098	0.48926803244553163	0.5048843181248097	0.48635119710866137	0.43613629260609454	0.4552543733918617	0.4536069032867963	0.3996634916812477	0.31040494652861184	0.2780631585985772	0.36206336539271644	0.3590941895035598	0.4366392891695448	0.28257789931489985	0.5765846933853502	0.5331195168258689	0.4885417539621426	0.2933793171252941	0.2828526658651491	0.25871637866592967
