	w20pp	f11pp	w12pp	S17H1	S18H1	f8pp	w13pp	w27pp	f21pp	f14ppB	f16ppA	w18pp	w23pp	f22ppB	w2pp	w4pp	f19pp	w22pp	w21pp	w14pp	f4pp	f1pp	w1pp	w19pp	f18pp	f2pp	w17pp	w31pp	f7pp	w11pp	f20ppB	f25pp	F7H1	f20ppA	S13Hp	31700	S25Hp	31360	f12ppB	f10pp
f16ppA	0.12272998096063271	0.18632174091899867	0.25066379753617724	0.23570759324569873	0.2589381440076284	0.13493510603286976	0.17878347408373807	0.23904636931190892	0.18585658508768355	0.07570848153774543	0.0	0.10858785458522432	0.13688932297239695	0.15268218688890683	0.17486429921624042	0.17886104900794236	0.21296367181751996	0.22664574822860512	0.2153075106975863	0.21649013760128694	0.1883094873586048	0.18691020499697858	0.22047216531043723	0.1663419333644101	0.2168523268779129	0.13665343109689743	0.14408415183387652	0.16289393622999035	0.09549305200489136	0.137247899152251	0.16216554037567008	0.21875700440831022	0.24438398905897954	0.13482107810181798	0.8988661120065533	1.169189992452067	2.631402592704706	0.44823962554921837	0.17442132733751498	0.18732530451687635
w18pp	0.13882715033337162	0.20241891029173756	0.26676096690891615	0.25180476261843765	0.27503531338036724	0.15103227540560865	0.194880643456477	0.2551435386846478	0.20195375446042246	0.09180565091048434	0.10858785458522432	0.0	0.12557638337134716	0.14136924728785705	0.16355135961519066	0.16754810940689258	0.2016507322164702	0.21533280862755533	0.20399457109653654	0.20517719800023718	0.17699654775755505	0.1755972653959288	0.20915922570938744	0.15502899376336035	0.2055393872768631	0.12534049149584764	0.13277121223282676	0.17899110560272927	0.11159022137763028	0.1533450685249899	0.178262709748409	0.23485417378104914	0.2604811584317185	0.1509182474745569	0.9149632813792922	1.185287161824806	2.647499762077445	0.46433679492195723	0.1905184967102539	0.20342247388961526
w23pp	0.16712861872054424	0.23072037867891018	0.2950624352960888	0.2801062310056103	0.30333678176753986	0.17933374379278127	0.2231821118436496	0.2834450070718204	0.2302552228475951	0.12010711929765697	0.13688932297239695	0.12557638337134716	0.0	0.15184313274598865	0.1740252450733223	0.17802199486502418	0.21212461767460183	0.22580669408568696	0.21446845655466817	0.2156510834583688	0.18747043321568668	0.1860711508540604	0.21963311116751907	0.16550287922149198	0.21601327273499474	0.13581437695397924	0.1432450976909584	0.2072925739899019	0.1398916897648029	0.18164653691216254	0.20656417813558162	0.26315564216822174	0.2887826268188911	0.17921971586172952	0.9432647497664648	1.2135886302119785	2.6758012304646175	0.49263826330912985	0.21881996509742652	0.2317239422767879
f22ppB	0.18292148263705413	0.24651324259542007	0.31085529921259863	0.2958990949221202	0.3191296456840498	0.1951266077092912	0.23897497576015947	0.2992378709883303	0.24604808676410495	0.13589998321416683	0.15268218688890683	0.14136924728785705	0.15184313274598865	0.0	0.13493068909970127	0.1389274388914032	0.17303006170098084	0.18671213811206597	0.17537390058104718	0.17655652748474782	0.14837587724206566	0.1469765948804394	0.18053855519389805	0.12640832324787096	0.17691871676137375	0.12330835107910623	0.13073907181608535	0.22308543790641178	0.1556845536813128	0.1974394008286724	0.2223570420520915	0.27894850608473165	0.30457549073540097	0.19501257977823944	0.9590576136829747	1.2293814941284884	2.691594094381127	0.5084311272256398	0.2346128290139364	0.24751680619329777
w2pp	0.20510359496438774	0.26869535492275365	0.33303741153993227	0.31808120724945377	0.34131175801138336	0.21730872003662477	0.2611570880874931	0.3214199833156639	0.2682301990914386	0.15808209554150043	0.17486429921624042	0.16355135961519066	0.1740252450733223	0.13493068909970127	0.0	0.1071145648258297	0.1684451095987709	0.182127186009856	0.17078894847883724	0.17197157538253788	0.14379092513985572	0.14239164277822947	0.17595360309168812	0.12182337114566102	0.1723337646591638	0.14549046340643984	0.15292118414341896	0.24526755023374539	0.1778666660086464	0.21962151315600603	0.2445391543794251	0.30113061841206523	0.3267576030627346	0.21719469210557302	0.9812397260103083	1.251563606455822	2.713776206708461	0.5306132395529733	0.25679494134127	0.2696989185206314
w4pp	0.20910034475608966	0.2726921047144556	0.33703416133163416	0.3220779570411557	0.3453085078030853	0.22130546982832672	0.265153837879195	0.32541673310736585	0.2722269488831405	0.16207884533320235	0.17886104900794236	0.16754810940689258	0.17802199486502418	0.1389274388914032	0.1071145648258297	0.0	0.1724418593904728	0.18612393580155795	0.17478569827053914	0.17596832517423977	0.14778767493155764	0.14638839256993139	0.17995035288339006	0.12582012093736294	0.17633051445086573	0.14948721319814176	0.15691793393512088	0.2492643000254473	0.18186341580034832	0.22361826294770792	0.24853590417112703	0.3051273682037672	0.3307543528544365	0.22119144189727497	0.9852364758020102	1.255560356247524	2.7177729565001627	0.5346099893446753	0.26079169113297196	0.2736956683123333
f19pp	0.24320296756566728	0.30679472752403325	0.37113678414121176	0.3561805798507333	0.37941113061266296	0.2554080926379043	0.29925646068877265	0.3595193559169435	0.30632957169271813	0.19618146814277998	0.21296367181751996	0.2016507322164702	0.21212461767460183	0.17303006170098084	0.1684451095987709	0.1724418593904728	0.0	0.13026253896564033	0.11892430143462154	0.12010692833832218	0.09192627809564002	0.11072005942664231	0.144282019740101	0.1172698967871555	0.1904853293547084	0.1835898360077194	0.1910205567446985	0.28336692283502496	0.21596603860992594	0.2577208857572856	0.2826385269807047	0.33922999101334483	0.3648569756640141	0.25529406470685256	1.0193390986115878	1.2896629790571015	2.7518755793097407	0.568712612154253	0.29489431394254956	0.3077982911219109
w22pp	0.2568850439767524	0.32047680393511835	0.3848188605522969	0.36986265626181847	0.39309320702374806	0.26909016904898947	0.31293853709985775	0.3732014323280286	0.3200116481038032	0.2098635445538651	0.22664574822860512	0.21533280862755533	0.22580669408568696	0.18671213811206597	0.182127186009856	0.18612393580155795	0.13026253896564033	0.0	0.11421643707585533	0.11539906397955596	0.09245142848301757	0.12440213583772744	0.15796409615118612	0.13095197319824065	0.2041674057657935	0.1972719124188045	0.20470263315578363	0.29704899924611006	0.22964811502101107	0.2714029621683707	0.2963206033917898	0.35291206742442993	0.37853905207509925	0.2689761411179377	1.033021175022673	1.3033450554681867	2.7655576557208255	0.582394688565338	0.3085763903536347	0.321480367532996
w21pp	0.24554680644573362	0.30913856640409954	0.37348062302127816	0.35852441873079965	0.38175496949272925	0.25775193151797066	0.301600299568839	0.3618631947970098	0.30867341057278447	0.19852530702284632	0.2153075106975863	0.20399457109653654	0.21446845655466817	0.17537390058104718	0.17078894847883724	0.17478569827053914	0.11892430143462154	0.11421643707585533	0.0	0.04955299381973538	0.08111319095199877	0.11306389830670865	0.14662585862016733	0.11961373566722185	0.19282916823477475	0.18593367488778573	0.19336439562476485	0.28571076171509124	0.21830987748999228	0.2600647246373519	0.28498236586077097	0.3415738298934111	0.3672008145440805	0.2576379035869189	1.0216829374916543	1.292006817937168	2.7542194181898068	0.5710564510343192	0.2972381528226159	0.31014213000197727
w14pp	0.24672943334943426	0.31032119330780017	0.3746632499249788	0.3597070456345003	0.3829375963964299	0.2589345584216713	0.3027829264725396	0.3630458217007104	0.3098560374764851	0.19970793392654695	0.21649013760128694	0.20517719800023718	0.2156510834583688	0.17655652748474782	0.17197157538253788	0.17596832517423977	0.12010692833832218	0.11539906397955596	0.04955299381973538	0.0	0.08229581785569941	0.11424652521040929	0.14780848552386797	0.12079636257092248	0.19401179513847538	0.18711630179148636	0.19454702252846548	0.2868933886187919	0.21949250439369292	0.26124735154105255	0.2861649927644716	0.34275645679711175	0.3683834414477811	0.25882053049061954	1.0228655643953548	1.2931894448408685	2.7554020450935077	0.5722390779380199	0.29842077972631653	0.3113247569056779
