	S4Hp	F22HpB	S18H1	F6H1	S31Hp	S19H1	s24H1	w11pp	w17pp	w14pp	w10pp	w26pp	w8pp	f20ppA	w24pp	w19pp	w1pp	f24pp	w32pp	w23pp	w3pp	S10H1	S11Hp	S25Hp	F7H1	F14H1A	S16H2	S27H1	S1Hp	S14Hp	S13Hp	S8Hp
w10pp	0.42767858485114707	0.4387964215334108	0.523926710925606	0.5299839986102992	0.45029318058393175	0.47239318995132557	0.1796067291475725	0.11663216127913377	0.16139795249923772	0.11173302905842228	0.0	0.06999635109120092	0.10890723116160425	0.1589892462380042	0.16226128924674704	0.18618698318392707	0.16359290238156624	0.16244577495525417	0.2243923729436641	0.17209846158085096	0.15095844620628185	0.19309731817331532	0.4405146647557532	0.4393193169378041	0.4635289941482513	0.4774366934270663	0.4410677627792258	0.4202464348690974	0.5194007368640924	0.4405041919474807	0.5013062925415109	0.5005513128645636
w26pp	0.39328206994085735	0.4043999066231211	0.4895301960153164	0.49558748370000943	0.41589666567364203	0.43799667504103584	0.1452102142372828	0.08223564636884406	0.12700143758894802	0.07733651414813257	0.06999635109120092	0.0	0.07451071625131454	0.1245927313277145	0.12786477433645732	0.15179046827363735	0.12919638747127654	0.12804926004496447	0.1899958580333744	0.13770194667056124	0.11656193129599215	0.1587008032630256	0.40611814984546346	0.4049228020275144	0.4291324792379616	0.4430401785167766	0.4066712478689361	0.3858499199588077	0.48500422195380266	0.406107677037191	0.4669097776312212	0.46615479795427384
w8pp	0.37467943293332545	0.38579726961558924	0.4709275590077845	0.47698484669247754	0.3972940286661101	0.41939403803350395	0.12660757722975088	0.0892304574652971	0.1530497567828027	0.10338483334198728	0.10890723116160425	0.07451071625131454	0.0	0.09390049353805334	0.09717253654679615	0.12109823048397618	0.09850414968161536	0.0973570222553033	0.15930362024371322	0.10700970888090008	0.08586969350633099	0.1400981662554937	0.38751551283793156	0.38632016501998256	0.41052984223042965	0.4244375415092446	0.3880686108614042	0.36724728295127573	0.4664015849462707	0.38750504002965913	0.44830714062368937	0.447552160946742
f20ppA	0.42476144800972543	0.4358792846919892	0.5210095740841845	0.5270668617688775	0.44737604374251005	0.4694760531099039	0.17668959230615083	0.13931247254169707	0.20313177185920267	0.15346684841838726	0.1589892462380042	0.1245927313277145	0.09390049353805334	0.0	0.1004028315003598	0.1372382498760797	0.11464416907371888	0.11349704164740682	0.17544363963581674	0.1332188899243833	0.1120788745498142	0.19018018133189363	0.4375975279143315	0.4364021800963825	0.46061185730682963	0.4745195565856446	0.4381506259378042	0.4173292980276757	0.5164836000226707	0.4375870551060591	0.49838915570008935	0.49763417602314197
w24pp	0.4280334910184682	0.43915132770073195	0.5242816170929272	0.5303389047776204	0.4506480867512529	0.4727480961186467	0.17996163531489368	0.14258451555043988	0.20640381486794548	0.15673889142713004	0.16226128924674704	0.12786477433645732	0.09717253654679615	0.1004028315003598	0.0	0.1405102928848225	0.1179162120824617	0.11676908465614963	0.17871568264455956	0.13649093293312614	0.11535091755855703	0.19345222434063647	0.4408695709230743	0.4396742231051253	0.4638839003155725	0.47779159959438744	0.44142266894654697	0.42060134103641855	0.5197556430314135	0.44085909811480184	0.5016611987088321	0.5009062190318847
w19pp	0.45195918495564824	0.463077021637912	0.5482073110301073	0.5542645987148003	0.4745737806884329	0.49667379005582674	0.2038873292520737	0.1665102094876199	0.2303295088051255	0.18066458536431007	0.18618698318392707	0.15179046827363735	0.12109823048397618	0.1372382498760797	0.1405102928848225	0.0	0.08401956715666091	0.11402876284801212	0.17597536083642207	0.16041662687030617	0.13927661149573706	0.2173779182778165	0.46479526486025435	0.4635999170423053	0.4878095942527525	0.5017172935315675	0.465348362883727	0.4445270349735986	0.5436813369685936	0.46478479205198187	0.5255868926460121	0.5248319129690647
w1pp	0.42936510415328744	0.4404829408355512	0.5256132302277465	0.5316705179124395	0.4519796998860721	0.47407970925346593	0.18129324844971287	0.1439161286852591	0.20773542800276468	0.15807050456194927	0.16359290238156624	0.12919638747127654	0.09850414968161536	0.11464416907371888	0.1179162120824617	0.08401956715666091	0.0	0.0914346820456513	0.15338128003406126	0.13782254606794533	0.11668253069337622	0.1947838374754557	0.44220118405789355	0.4410058362399445	0.4652155134503917	0.47912321272920666	0.4427542820813662	0.4219329541712378	0.5210872561662327	0.44219071124962106	0.5029928118436513	0.5022378321667039
f24pp	0.42821797672697537	0.4393358134092391	0.5244661028014344	0.5305233904861275	0.45083257245976005	0.47293258182715386	0.1801461210234008	0.14276900125894704	0.2065883005764526	0.1569233771356372	0.16244577495525417	0.12804926004496447	0.0973570222553033	0.11349704164740682	0.11676908465614963	0.11402876284801212	0.0914346820456513	0.0	0.12222890185113243	0.13667541864163327	0.11553540326706416	0.19363671004914362	0.4410540566315815	0.4398587088136324	0.4640683860240796	0.4779760853028946	0.4416071546550541	0.4207858267449257	0.5199401287399207	0.441043583823309	0.5018456844173392	0.5010907047403919
w32pp	0.4901645747153853	0.5012824113976491	0.5864127007898443	0.5924699884745375	0.51277917044817	0.5348791798155639	0.24209271901181076	0.20471559924735697	0.26853489856486257	0.21886997512404716	0.2243923729436641	0.1899958580333744	0.15930362024371322	0.17544363963581674	0.17871568264455956	0.17597536083642207	0.15338128003406126	0.12222890185113243	0.0	0.1986220166300432	0.1774820012554741	0.2555833080375536	0.5030006546199914	0.5018053068020424	0.5260149840124896	0.5399226832913046	0.5035537526434641	0.48273242473333566	0.5818867267283306	0.502990181811719	0.5637922824057492	0.5630373027288018
w23pp	0.4378706633525722	0.4489885000348359	0.5341187894270312	0.5401760771117243	0.46048525908535687	0.4825852684527507	0.1897988076489976	0.1524216878845438	0.21624098720204943	0.166576063761234	0.17209846158085096	0.13770194667056124	0.10700970888090008	0.1332188899243833	0.13649093293312614	0.16041662687030617	0.13782254606794533	0.13667541864163327	0.1986220166300432	0.0	0.09868661868731789	0.20328939667474039	0.4507067432571783	0.44951139543922924	0.47372107264967644	0.4876287719284914	0.45125984128065094	0.4304385133705225	0.5295928153655175	0.4506962704489058	0.511498371042936	0.5107433913659887
w3pp	0.4167306479780031	0.4278484846602668	0.5129787740524621	0.5190360617371552	0.43934524371078776	0.46144525307818157	0.16865879227442848	0.13128167250997472	0.19510097182748032	0.1454360483866649	0.15095844620628185	0.11656193129599215	0.08586969350633099	0.1120788745498142	0.11535091755855703	0.13927661149573706	0.11668253069337622	0.11553540326706416	0.1774820012554741	0.09868661868731789	0.0	0.18214938130017128	0.4295667278826092	0.42837138006466013	0.45258105727510733	0.4664887565539223	0.43011982590608183	0.4092984979959534	0.5084527999909484	0.4295562550743367	0.49035835566836694	0.48960337599141956
S10H1	0.3778009155758042	0.38891875225806793	0.47404904165026324	0.4801063293349563	0.4004155113085889	0.4225155206759827	0.17693938859483815	0.17342054447700816	0.2372398437945138	0.18757492035369833	0.19309731817331532	0.1587008032630256	0.1400981662554937	0.19018018133189363	0.19345222434063647	0.2173779182778165	0.1947838374754557	0.19363671004914362	0.2555833080375536	0.20328939667474039	0.18214938130017128	0.0	0.3906369954804103	0.38944164766246125	0.41365132487290845	0.4275590241517234	0.39119009350388295	0.37036876559375453	0.4695230675887495	0.3906265226721378	0.45142862326616806	0.4506736435892207
S11Hp	0.2838887822523011	0.2950066189345648	0.38013690832676006	0.3861941960114531	0.3065033779850857	0.3286033873524795	0.424356735177276	0.420837891059446	0.48465719037695165	0.43499226693613624	0.4405146647557532	0.40611814984546346	0.38751551283793156	0.4375975279143315	0.4408695709230743	0.46479526486025435	0.44220118405789355	0.4410540566315815	0.5030006546199914	0.4507067432571783	0.4295667278826092	0.3906369954804103	0.0	0.24707717979306976	0.3197391915494053	0.33364689082822024	0.2972779601803798	0.27645663227025136	0.37561093426524633	0.2967143893486347	0.35751648994266494	0.35676151026571756
S25Hp	0.282693434434352	0.29381127111661576	0.37894156050881106	0.3849988481935041	0.3053080301671367	0.3274080395345305	0.423161387359327	0.41964254324149697	0.4834618425590026	0.4337969191181872	0.4393193169378041	0.4049228020275144	0.38632016501998256	0.4364021800963825	0.4396742231051253	0.4635999170423053	0.4410058362399445	0.4398587088136324	0.5018053068020424	0.44951139543922924	0.42837138006466013	0.38944164766246125	0.24707717979306976	0.0	0.3185438437314563	0.33245154301027124	0.2960826123624308	0.27526128445230236	0.37441558644729733	0.29551904153068564	0.3563211421247159	0.3555661624477685
F7H1	0.2702630003493999	0.2813808370316636	0.36651112642385886	0.3725684141085519	0.2928775960821845	0.3247380044452409	0.44737106456977416	0.44385222045194417	0.5076715197694498	0.4580065963286344	0.4635289941482513	0.4291324792379616	0.41052984223042965	0.46061185730682963	0.4638839003155725	0.4878095942527525	0.4652155134503917	0.4640683860240796	0.5260149840124896	0.47372107264967644	0.45258105727510733	0.41365132487290845	0.3197391915494053	0.3185438437314563	0.0	0.24372403842688123	0.2435976794941119	0.22277635158398346	0.34732717374169814	0.2684306288250865	0.32923272941911674	0.32847774974216937
F14H1A	0.28417069962821484	0.2952885363104786	0.3804188257026738	0.38647611338736687	0.30678529536099947	0.3386457037240559	0.4612787638485891	0.45775991973075913	0.5215792190482648	0.47191429560744935	0.4774366934270663	0.4430401785167766	0.4244375415092446	0.4745195565856446	0.47779159959438744	0.5017172935315675	0.47912321272920666	0.4779760853028946	0.5399226832913046	0.4876287719284914	0.4664887565539223	0.4275590241517234	0.33364689082822024	0.33245154301027124	0.24372403842688123	0.0	0.2575053787729269	0.23668405086279842	0.3612348730205131	0.28233832810390147	0.3431404286979317	0.34238544902098433
S16H2	0.24780176898037437	0.25891960566263816	0.3440498950548334	0.35010718273952646	0.270416364713159	0.3022767730762155	0.4249098332007487	0.42139098908291867	0.4852102884004243	0.4355453649596089	0.4410677627792258	0.4066712478689361	0.3880686108614042	0.4381506259378042	0.44142266894654697	0.465348362883727	0.4427542820813662	0.4416071546550541	0.5035537526434641	0.45125984128065094	0.43011982590608183	0.39119009350388295	0.2972779601803798	0.2960826123624308	0.2435976794941119	0.2575053787729269	0.0	0.1795637961221022	0.32486594237267263	0.24596939745606103	0.3067714980500913	0.3060165183731439
S27H1	0.22698044107024593	0.2380982777525097	0.32322856714470494	0.329285854829398	0.24959503680303058	0.281455445166087	0.40408850529062024	0.40056966117279025	0.4643889604902959	0.41472403704948047	0.4202464348690974	0.3858499199588077	0.36724728295127573	0.4173292980276757	0.42060134103641855	0.4445270349735986	0.4219329541712378	0.4207858267449257	0.48273242473333566	0.4304385133705225	0.4092984979959534	0.37036876559375453	0.27645663227025136	0.27526128445230236	0.22277635158398346	0.23668405086279842	0.1795637961221022	0.0	0.3040446144625442	0.22514806954593258	0.2859501701399628	0.28519519046301545
S1Hp	0.32613474306524093	0.33725257974750467	0.4223828691396999	0.42844015682439296	0.34874933879802555	0.380609747161082	0.5032428072856152	0.4997239631677852	0.5635432624852909	0.5138783390444754	0.5194007368640924	0.48500422195380266	0.4664015849462707	0.5164836000226707	0.5197556430314135	0.5436813369685936	0.5210872561662327	0.5199401287399207	0.5818867267283306	0.5295928153655175	0.5084527999909484	0.4695230675887495	0.37561093426524633	0.37441558644729733	0.34732717374169814	0.3612348730205131	0.32486594237267263	0.3040446144625442	0.0	0.19619151701275583	0.33266550138603995	0.3512460355776682
S14Hp	0.24723819814862927	0.25835603483089303	0.34348632422308834	0.3495436119077814	0.2698527938814139	0.3017132022444704	0.42434626236900364	0.42082741825117354	0.48464671756867916	0.43498179412786375	0.4405041919474807	0.406107677037191	0.38750504002965913	0.4375870551060591	0.44085909811480184	0.46478479205198187	0.44219071124962106	0.441043583823309	0.502990181811719	0.4506962704489058	0.4295562550743367	0.3906265226721378	0.2967143893486347	0.29551904153068564	0.2684306288250865	0.28233832810390147	0.24596939745606103	0.22514806954593258	0.19619151701275583	0.0	0.2537689564694283	0.27234949066105657
S13Hp	0.3080402987426595	0.3191581354249233	0.4042884248171186	0.4103457125018116	0.33065489447544416	0.36251530283850064	0.4851483629630339	0.4816295188452038	0.5454488181627094	0.495783894721894	0.5013062925415109	0.4669097776312212	0.44830714062368937	0.49838915570008935	0.5016611987088321	0.5255868926460121	0.5029928118436513	0.5018456844173392	0.5637922824057492	0.511498371042936	0.49035835566836694	0.45142862326616806	0.35751648994266494	0.3563211421247159	0.32923272941911674	0.3431404286979317	0.3067714980500913	0.2859501701399628	0.33266550138603995	0.2537689564694283	0.0	0.3331515912550868
S8Hp	0.3072853190657121	0.3184031557479759	0.4035334451401712	0.40959073282486425	0.3298999147984968	0.36176032316155327	0.4843933832860865	0.4808745391682564	0.544693838485762	0.4950289150449466	0.5005513128645636	0.46615479795427384	0.447552160946742	0.49763417602314197	0.5009062190318847	0.5248319129690647	0.5022378321667039	0.5010907047403919	0.5630373027288018	0.5107433913659887	0.48960337599141956	0.4506736435892207	0.35676151026571756	0.3555661624477685	0.32847774974216937	0.34238544902098433	0.3060165183731439	0.28519519046301545	0.3512460355776682	0.27234949066105657	0.3331515912550868	0.0
