	w11pp	f22ppB	f11pp	f10pp	S13Hp	f28pp	w28pp	f14ppB	f26pp	S23Hp	S16H2	w3pp	f24pp	w9pp	w17pp	w19pp	f23ppB	f17ppB	w26pp	w27pp	w29pp	w24pp	S1Hp	S17H1	S15Hp	w2pp	S2Hp	f2pp	f32pp	S12Hp	F6H1	w13pp	w6pp	F3H1	w32pp	f6ppA	w8pp	w20pp	f20ppA	S11Hp	f12ppA	f9pp	w25pp	f31pp	f21pp	f18pp	w12pp	f14ppA	w18pp	f15pp	f13pp	f7pp	f17ppA	F22HpB	F16H1	w15pp	f16ppA	w31pp	f12ppB	w14pp	w1pp	f1pp	w21pp	S3Hp	w4pp	f4pp	S18H1	S22Hp	f22ppA	w22pp	F7H1	S20H1	f16ppB	f25pp	f30pp	f23ppA	S9H1	F14H1A	S14Hp	f20ppB	w16pp	w10pp	f8pp	530451	31160	f19pp	w23pp
w11pp	0.0	0.09904850994413741	0.019520897772980085	0.017998153146351004	14.05324092630213	0.04628128303326666	0.04060357491915892	0.0796859256072228	0.06385683070413463	0.1736020896990417	0.17605941946758807	0.049222328613835645	0.042685355675946585	0.05641281676060689	0.059651040449241285	0.04921517193599688	0.1031135163989211	0.041108855864557856	0.04263655184914711	0.05878134389692699	0.06095584058894746	0.05368272876579558	0.19087076274184125	0.17596244273278927	0.17784711994766758	0.048983024954169424	0.17435855446237175	0.05778111828435997	0.07608673468843939	0.19991834004429926	0.2030995778322551	0.08238105009028626	0.1672856132957073	0.26311016118807745	0.19974728347957565	0.1267455980672537	0.15489302683729544	0.10377469195146341	0.07605480899893821	0.21288084464341445	0.0894349007106468	0.14755088200980856	0.11347084606858171	0.12922867293973905	0.09100345796034684	0.11370421135599759	0.07447583308528283	0.06998029119806981	0.06148773800342783	0.0770517133043562	0.05440099575073179	0.11118392489288587	0.14555817405409566	0.2060692678466113	0.20470674036224715	0.07695196001260765	0.06348213294908837	0.05678744510793514	0.03856125365228295	0.06165710353381924	0.07861514323380833	0.11771249064070921	0.11973842166718371	0.2067112813109687	0.11182436193889525	0.11465224973502255	0.19629247569211972	0.20817753329425956	0.1545709974457193	0.08359850462101835	0.22423554834045234	0.2268942170389943	0.08303379854322201	0.09472895081330833	0.06423501581685094	0.116752678565854	0.20257510768977427	0.216930618451749	0.20463493908812208	0.12701364340065552	0.05270295747539529	0.08338378447040184	0.05735831048592628	0.18495466201732153	0.23819277508967682	0.0607872386998333	0.05987869303626956
f22ppB	0.09904850994413741	0.0	0.07952961217215739	0.10063548730102082	14.135878260456801	0.12891861718793646	0.12324090907382873	0.1623232597618926	0.14649416485880443	0.2562394238537115	0.25869675362225786	0.13185966276850544	0.1253226898306164	0.1390501509152767	0.14228837460391108	0.13185250609066668	0.18575085055359092	0.12374619001922765	0.12527388600381692	0.1414186780515968	0.14359317474361727	0.1363200629204654	0.27350809689651107	0.25859977688745905	0.2604844541023374	0.13162035910883924	0.2569958886170416	0.14041845243902978	0.15872406884310922	0.2825556741989691	0.2857369119869249	0.16501838424495607	0.2499229474503771	0.3457474953427473	0.2823846176342455	0.2093829322219235	0.23753036099196528	0.18641202610613322	0.15869214315360802	0.2955181787980843	0.17207223486531664	0.23018821616447838	0.19610818022325155	0.21186600709440886	0.17364079211501665	0.1963415455106674	0.15711316723995267	0.15261762535273965	0.14412507215809764	0.159689047459026	0.1370383299054016	0.1938212590475557	0.2281955082087655	0.2887066020012811	0.28734407451691696	0.15958929416727746	0.1461194671037582	0.13942477926260496	0.12119858780695277	0.14429443768848904	0.16125247738847814	0.20034982479537902	0.20237575582185352	0.2893486154656385	0.19446169609356506	0.19728958388969237	0.2789298098467895	0.29081486744892937	0.23720833160038912	0.16623583877568818	0.3068728824951221	0.3095315511936641	0.16567113269789183	0.17736628496797816	0.14687234997152077	0.1993900127205238	0.28521244184444405	0.2995679526064188	0.2872722732427919	0.20965097755532536	0.1353402916300651	0.16602111862507166	0.1399956446405961	0.26759199617199136	0.32083010924434663	0.14342457285450314	0.14251602719093936
f11pp	0.019520897772980085	0.07952961217215739	0.0	0.02110787512986349	14.056350648285644	0.04939100501677915	0.0437132969026714	0.0827956475907353	0.06696655268764712	0.17671181168255418	0.17916914145110058	0.052332050597348134	0.045795077659459074	0.05952253874411938	0.06276076243275377	0.05232489391950937	0.1062232383824336	0.04421857784807034	0.0457462738326596	0.06189106588043948	0.06406556257245995	0.05679245074930807	0.19398048472535373	0.17907216471630177	0.18095684193118006	0.052092746937681914	0.17746827644588425	0.06089084026787246	0.07919645667195188	0.20302806202781173	0.20620929981576758	0.08549077207379874	0.17039533527921977	0.26621988317158995	0.20285700546308813	0.1298553200507662	0.15800274882080795	0.10688441393497591	0.0791645309824507	0.21599056662692692	0.0925446226941593	0.15066060399332107	0.11658056805209421	0.13233839492325153	0.09411317994385933	0.11681393333951007	0.07758555506879533	0.07309001318158231	0.06459745998694032	0.08016143528786869	0.05751071773424428	0.11429364687639837	0.14866789603760816	0.20917898983012378	0.20781646234575962	0.08006168199612014	0.06659185493260086	0.05989716709144763	0.041670975635795436	0.06476682551733173	0.08172486521732081	0.12082221262422169	0.12284814365069618	0.20982100329448117	0.11493408392240773	0.11776197171853506	0.1994021976756322	0.21128725527777203	0.1576807194292318	0.08670822660453084	0.22734527032396482	0.23000393902250676	0.0861435205267345	0.09783867279682082	0.06734473780036343	0.1198624005493665	0.20568482967328675	0.22004034043526147	0.20774466107163456	0.13012336538416802	0.05581267945890778	0.08649350645391433	0.06046803246943877	0.188064384000834	0.2413024970731893	0.0638969606833458	0.06298841501978206
f10pp	0.017998153146351004	0.10063548730102082	0.02110787512986349	0.0	14.036570768142449	0.02961112487358429	0.023933416759476547	0.06301576744754044	0.04718667254445225	0.15693193153935933	0.1593892613079057	0.032552170454153276	0.026015197516264216	0.03974265860092452	0.04298088228955892	0.03254501377631451	0.08644335823923874	0.024438697704875483	0.02596639368946474	0.04211118573724462	0.04428568242926509	0.03701257060611321	0.17420060458215889	0.1592922845731069	0.1611769617879852	0.032312866794487055	0.15768839630268938	0.041110960124677604	0.05941657652875702	0.1832481818846169	0.18642941967257273	0.06571089193060389	0.15061545513602492	0.24644000302839508	0.18307712531989329	0.11007543990757132	0.13822286867761308	0.08710453379178104	0.05938465083925584	0.19621068648373208	0.07276474255096443	0.1308807238501262	0.09680068790889934	0.11255851478005668	0.07433329980066447	0.09703405319631522	0.057805674925600466	0.05331013303838745	0.04481757984374546	0.06038155514467383	0.03773083759104942	0.0945137667332035	0.1288880158944133	0.18939910968692894	0.18803658220256478	0.06028180185292528	0.046811974789406005	0.04011728694825277	0.021891095492600578	0.04498694537413687	0.061944985074125956	0.10104233248102684	0.10306826350750134	0.19004112315128632	0.09515420377921288	0.09798209157534019	0.17962231753243735	0.1915073751345772	0.13790083928603694	0.06692834646133598	0.20756539018076997	0.21022405887931192	0.06636364038353965	0.07805879265362596	0.04756485765716857	0.10008252040617163	0.1859049495300919	0.20026046029206662	0.1879647809284397	0.11034348524097315	0.03603279931571292	0.06671362631071948	0.04068815232624391	0.16828450385763916	0.22152261692999445	0.044117080540150934	0.04320853487658719
S13Hp	14.05324092630213	14.135878260456801	14.056350648285644	14.036570768142449	0.0	14.042122717041329	14.036445008927222	14.075527359615286	14.059698264712198	14.188800230591337	14.191257560359883	14.06442046950613	14.057883496568241	14.071610957652902	14.074849181341536	14.064413312828291	14.118311657291216	14.056306996756852	14.057834692741443	14.073979484789222	14.076153981481243	14.06888086965809	14.206068903634137	14.191160583625084	14.193045260839963	14.064181165846465	14.189556695354668	14.072979259176655	14.091284875580735	14.215116480936596	14.218297718724552	14.097579190982582	14.182483754188004	14.278308302080374	14.214945424371871	14.141943738959549	14.170091167729591	14.11897283284376	14.091252949891235	14.22807898553571	14.104633041602943	14.162749022902105	14.128668986960877	14.144426813832036	14.106201598852643	14.128902352248293	14.089673973977579	14.085178432090366	14.076685878895724	14.092249854196652	14.069599136643028	14.126382065785181	14.160756314946392	14.221267408738907	14.219904881254543	14.092150100904904	14.078680273841384	14.071985586000231	14.05375939454458	14.076855244426115	14.093813284126105	14.132910631533004	14.13493656255948	14.221909422203264	14.127022502831192	14.129850390627318	14.211490616584415	14.223375674186556	14.169769138338015	14.098796645513314	14.239433689232747	14.24209235793129	14.098231939435518	14.109927091705604	14.079433156709147	14.13195081945815	14.21777324858207	14.232128759344045	14.219833079980418	14.142211784292952	14.067901098367692	14.098581925362698	14.072556451378222	14.200152802909617	14.253390915981972	14.07598537959213	14.075076833928566
f28pp	0.04628128303326666	0.12891861718793646	0.04939100501677915	0.02961112487358429	14.042122717041329	0.0	0.0056797081151078056	0.06856571634542047	0.0527366214423323	0.18184058732247138	0.18429791709101773	0.05746082623726531	0.05092385329937625	0.06465131438403655	0.06788953807267095	0.057453669559426546	0.11135201402235077	0.049347353487987515	0.050875049472576775	0.06701984152035666	0.06919433821237712	0.061921226389225245	0.19910926036527093	0.18420094035621892	0.18608561757109726	0.05722152257759909	0.1825970520858014	0.06601961590778964	0.08432523231186906	0.2081568376677289	0.21133807545568475	0.09061954771371591	0.17552411091913694	0.2713486588115071	0.2079857811030053	0.13498409569068337	0.16313152446072512	0.11201318957489309	0.08429330662236788	0.2211193422668441	0.09767339833407648	0.15578937963323825	0.12170934369201139	0.1374671705631687	0.0992419555837765	0.12194270897942724	0.08271433070871251	0.07821878882149949	0.0697262356268575	0.08529021092778587	0.06263949337416146	0.11942242251631555	0.15379667167752534	0.21430776547004096	0.2129452379856768	0.08519045763603732	0.07172063057251804	0.0650259427313648	0.04679975127571261	0.06989560115724891	0.08685364085723798	0.12595098826413886	0.12797691929061336	0.21494977893439834	0.1200628595623249	0.12289074735845223	0.20453097331554937	0.2164160309176892	0.162809495069149	0.09183700224444802	0.232474045963882	0.23513271466242394	0.09127229616665168	0.102967448436738	0.0724735134402806	0.12499117618928368	0.21081360531320392	0.22516911607517864	0.21287343671155173	0.1352521410240852	0.060941455098824954	0.09162228209383151	0.06559680810935595	0.19319315964075118	0.24643127271310647	0.06902573632326298	0.06811719065969923
w28pp	0.04060357491915892	0.12324090907382873	0.0437132969026714	0.023933416759476547	14.036445008927222	0.0056797081151078056	0.0	0.06288800823131273	0.04705891332822455	0.17616287920836363	0.17862020897691	0.05178311812315756	0.045246145185268496	0.058973606269928806	0.0622118299585632	0.05177596144531879	0.10567430590824303	0.04366964537387977	0.04519734135846902	0.06134213340624891	0.06351663009826938	0.0562435182751175	0.19343155225116315	0.1785232322421112	0.18040790945698948	0.051543814463491336	0.17691934397169368	0.060341907793681884	0.0786475241977613	0.20247912955362116	0.205660367341577	0.08494183959960816	0.1698464028050292	0.2656709506973994	0.20230807298889755	0.12930638757657562	0.15745381634661737	0.10633548146078534	0.07861559850826012	0.21544163415273634	0.09199569021996873	0.1501116715191305	0.11603163557790364	0.13178946244906095	0.09356424746966875	0.11626500086531949	0.07703662259460475	0.07254108070739174	0.06404852751274974	0.07961250281367811	0.0569617852600537	0.11374471440220779	0.14811896356341758	0.2086300573559332	0.20726752987156905	0.07951274952192956	0.06604292245841029	0.05934823461725705	0.04112204316160486	0.06421789304314116	0.08117593274313023	0.12027328015003111	0.1222992111765056	0.2092720708202906	0.11438515144821715	0.11721303924434448	0.19885326520144161	0.21073832280358146	0.15713178695504124	0.08615929413034026	0.22679633784977424	0.2294550065483162	0.08559458805254393	0.09728974032263024	0.06679580532617285	0.11931346807517593	0.20513589719909617	0.2194914079610709	0.20719572859744398	0.12957443290997744	0.0552637469847172	0.08594457397972376	0.05991909999524819	0.18751545152664342	0.24075356459899871	0.06334802820915522	0.06243948254559147
f14ppB	0.0796859256072228	0.1623232597618926	0.0827956475907353	0.06301576744754044	14.075527359615286	0.06856571634542047	0.06288800823131273	0.0	0.0737757521161749	0.2152452298964275	0.21770255966497387	0.09086546881122144	0.08432849587333238	0.09805595695799268	0.10129418064662707	0.09085831213338268	0.1447566565963069	0.08275199606194364	0.0842796920465329	0.10042448409431279	0.10259898078633325	0.09532586896318138	0.23251390293922705	0.21760558293017507	0.21949026014505338	0.09062616515155522	0.21600169465975755	0.09942425848174577	0.1177298748858252	0.24156148024168506	0.2447427180296409	0.12402419028767206	0.2089287534930931	0.30475330138546325	0.24139042367696145	0.16838873826463951	0.19653616703468124	0.14541783214884924	0.11769794919632401	0.25452398484080024	0.1310780409080326	0.1891940222071944	0.1551139862659675	0.17087181313712485	0.13264659815773264	0.1553473515533834	0.11611897328266864	0.11162343139545562	0.10313087820081362	0.118694853501742	0.09604413594811759	0.15282706509027166	0.18720131425148145	0.2477124080439971	0.24634988055963294	0.11859510020999345	0.10512527314647419	0.09843058530532095	0.08020439384966875	0.10330024373120504	0.12025828343119413	0.159355630838095	0.1613815618645695	0.2483544215083545	0.15346750213628105	0.15629538993240838	0.23793561588950551	0.24982067349164536	0.19621413764310514	0.12524164481840416	0.26587868853783814	0.26853735723638006	0.12467693874060781	0.13637209101069414	0.10587815601423674	0.15839581876323983	0.24421824788716007	0.2585737586491348	0.24627807928550788	0.16865678359804132	0.09434609767278108	0.12502692466778764	0.09900145068331209	0.22659780221470732	0.27983591528706264	0.10243037889721911	0.10152183323365536
f26pp	0.06385683070413463	0.14649416485880443	0.06696655268764712	0.04718667254445225	14.059698264712198	0.0527366214423323	0.04705891332822455	0.0737757521161749	0.0	0.19941613499333932	0.2018734647618857	0.07503637390813327	0.0684994009702442	0.08222686205490451	0.08546508574353891	0.0750292172302945	0.12892756169321873	0.06692290115885548	0.06845059714344473	0.08459538919122461	0.08676988588324508	0.0794967740600932	0.21668480803613888	0.2017764880270869	0.2036611652419652	0.07479707024846705	0.20017259975666937	0.0835951635786576	0.10190077998273701	0.22573238533859688	0.22891362312655272	0.10819509538458388	0.1930996585900049	0.28892420648237505	0.22556132877387328	0.1525596433615513	0.18070707213159307	0.12958873724576103	0.10186885429323583	0.23869488993771207	0.11524894600494442	0.1733649273041062	0.13928489136287933	0.15504271823403667	0.11681750325464446	0.1395182566502952	0.10028987837958045	0.09579433649236743	0.08730178329772545	0.10286575859865382	0.08021504104502941	0.1369979701871835	0.17137221934839328	0.23188331314090893	0.23052078565654477	0.10276600530690527	0.089296178243386	0.08260149040223276	0.06437529894658058	0.08747114882811685	0.10442918852810595	0.14352653593500683	0.14555246696148133	0.2325253266052663	0.13763840723319287	0.14046629502932018	0.22210652098641734	0.23399157858855718	0.18038504274001693	0.10941254991531597	0.25004959363474993	0.2527082623332919	0.10884784383751964	0.12054299610760595	0.09004906111114856	0.14256672386015162	0.2283891529840719	0.2427446637460466	0.2304489843824197	0.15282768869495317	0.07851700276969291	0.10919782976469947	0.08317235578022392	0.21076870731161915	0.26400682038397444	0.08660128399413093	0.08569273833056719
S23Hp	0.1736020896990417	0.2562394238537115	0.17671181168255418	0.15693193153935933	14.188800230591337	0.18184058732247138	0.17616287920836363	0.2152452298964275	0.19941613499333932	0.0	0.24892464416524068	0.16290695792948964	0.1563699849916006	0.1700974460762609	0.17333566976489528	0.16289980125165088	0.21679814571457512	0.15479348518021185	0.15632118116480112	0.172465973212581	0.17464046990460147	0.1673673580814496	0.3120414768592773	0.29713315685022534	0.2990178340651036	0.17015373907160547	0.29552926857980777	0.17895183240179602	0.19725744880587545	0.3210890541617353	0.32427029194969115	0.2035517642077223	0.2884563274131433	0.38428087530551347	0.3209179975970117	0.24791631218468974	0.2760637409547315	0.22494540606889946	0.19722552311637426	0.33405155876085046	0.21060561482808288	0.2687215961272446	0.23464156018601778	0.2503993870571751	0.21217417207778289	0.23487492547343364	0.1956465472027189	0.19115100531550588	0.18265845212086387	0.19822242742179225	0.17557170986816784	0.23235463901032194	0.26672888817153173	0.32723998196404736	0.3258774544796832	0.1981226741300437	0.18465284706652443	0.1779581592253712	0.159731967769719	0.18282781765125528	0.19978585735124438	0.23888320475814526	0.24090913578461975	0.32788199542840474	0.2329950760563313	0.2358229638524586	0.3174631898095558	0.3293482474116956	0.27574171156315536	0.2047692187384544	0.3454062624578884	0.34806493115643033	0.20420451266065806	0.2158996649307444	0.185405729934287	0.23792339268329005	0.32374582180721034	0.33810133256918506	0.3258056532055581	0.2481843575180916	0.17387367159283135	0.2045544985878379	0.17852902460336234	0.30612537613475754	0.35936348920711286	0.18195795281726937	0.1810494071537056
