	w15pp	f32pp	f20ppB	f11pp	f17ppA	f14ppA	w1pp	w11pp	w20pp	f2pp	w2pp	f4pp	w13pp	f1pp	w26pp	w18pp	s23pp	s18pp	f25pp	w32pp	w7pp	w19pp	f6ppA	w23pp	w9pp	f10pp	f12ppA	f16ppB	w24pp	w6pp	f3pp	f12ppB	w14pp	f24pp	w10pp	f15pp	f20ppA	S14Hp	S18H1	S26Hp	S16H2	S20H1	S19H1	31300	f13pp	f14ppB	f16ppA	w3pp	f21pp	w17pp	f22ppB	f7pp	f30pp	w16pp	f19pp	f8pp	w25pp	w8pp	w12pp
w2pp	0.04694259281337534	0.043923575249250627	0.05001997999476138	0.05415584640052962	0.048081554026064476	0.04236778207446525	0.0469793445751155	0.04544769021204345	0.02430839287677486	0.020549738007621127	0.0	0.032019451508061736	0.03707007052482398	0.04920669797930634	0.05354247084679608	0.04613001298957747	0.0953767641637362	0.09638245092127369	0.03633076378910356	0.07294643135037043	0.06181169626187708	0.06341804750874108	0.06674680682726333	0.06847743043330853	0.06292647161603404	0.05384108753447599	0.04998858953103827	0.049670826129628386	0.06282032964618448	0.06616021466136524	0.06034728113654437	0.06152979841920401	0.05014566731590202	0.037599000791077294	0.062156271629601266	0.052648400042639834	0.04814202417640616	0.26924232712684587	0.2789423745438969	0.3760863634908799	0.8012253359156281	0.7979497638505428	0.8442249169115412	0.7884850001656042	0.07009214496474164	0.028312189368295104	0.040004301540638304	0.03969505639560916	0.04736918461153593	0.05435336121446152	0.043240005581667476	0.029367172003590337	0.05527169693786953	0.03665728413386643	0.03931844888490046	0.06143131587899852	0.05671671103064775	0.04370932727499527	0.059987304577456456
f4pp	0.05295710483910808	0.04993808727498336	0.056034492020494125	0.060170358426262366	0.05409606605179722	0.048382294100197995	0.05299385660084825	0.0514622022377762	0.030322904902507598	0.040626144846383744	0.032019451508061736	0.0	0.03887110631572442	0.05522121000503907	0.05955698287252882	0.05214452501531021	0.10139127618946893	0.10239696294700643	0.042345275814836304	0.07896094337610318	0.06782620828760982	0.06943255953447382	0.07276131885299608	0.07449194245904128	0.06894098364176679	0.05985559956020872	0.056003101556771004	0.05568533815536113	0.06883484167191722	0.07217472668709797	0.06636179316227711	0.06754431044493675	0.05616017934163475	0.04361351281681003	0.06817078365533401	0.05866291206837257	0.054156536202138894	0.2752568391525786	0.2849568865696297	0.3821008755166127	0.8072398479413607	0.8039642758762755	0.8502394289372739	0.7944995121913369	0.07610665699047438	0.03432670139402784	0.046018813566371046	0.0457095684213419	0.05338369663726866	0.060367873240194256	0.04925451760740022	0.03538168402932308	0.06128620896360227	0.04267179615959917	0.0453329609106332	0.06744582790473126	0.06273122305638049	0.04972383930072801	0.0660018166031892
w13pp	0.05800772385587032	0.05498870629174561	0.06108511103725636	0.0652209774430246	0.05914668506855946	0.05343291311696024	0.05804447561761049	0.05651282125453844	0.035373523919269845	0.04567676386314599	0.03707007052482398	0.03887110631572442	0.0	0.060271829021801324	0.06460760188929107	0.05719514403207245	0.10644189520623118	0.10744758196376868	0.04739589483159855	0.08401156239286542	0.07287682730437206	0.07448317855123607	0.07781193786975832	0.07954256147580352	0.07399160265852903	0.06490621857697097	0.061053720573533254	0.06073595717212337	0.07388546068867946	0.07722534570386022	0.07141241217903935	0.07259492946169899	0.061210798358397	0.04866413183357228	0.07322140267209626	0.06371353108513482	0.059207155218901145	0.28030745816934083	0.29000750558639193	0.38715149453337494	0.812290466958123	0.8090148948930378	0.8552900479540362	0.7995501312080991	0.08115727600723663	0.03937732041079009	0.05106943258313329	0.05076018743810415	0.05843431565403091	0.0654184922569565	0.05430513662416246	0.040432303046085326	0.06633682798036451	0.047722415176361416	0.05038357992739544	0.07249644692149351	0.06778184207314274	0.054774458317490254	0.07105243561995145
f1pp	0.056196393406695584	0.05317737584257087	0.05927378058808162	0.06340964699384986	0.05733535461938472	0.0516215826677855	0.05623314516843575	0.0547014908053637	0.0416367940089019	0.057813391317628346	0.04920669797930634	0.05522121000503907	0.060271829021801324	0.0	0.03209743301154717	0.03179514105574432	0.08104189222990303	0.08204757898744053	0.02859048976600355	0.06520615732727043	0.05407142223877706	0.055677773485641055	0.059006532804163334	0.060737156410208534	0.05518619759293403	0.046100813511375974	0.04224831550793825	0.041930552106528365	0.055080055623084476	0.05841994063826521	0.05260700711344435	0.05378952439610399	0.042405393292802004	0.036239590061712776	0.06079686090023674	0.051288989313275316	0.04678261344704164	0.26788291639748135	0.2775829638145324	0.3747269527615154	0.7998659251862635	0.7965903531211783	0.8428655061821767	0.7871255894362397	0.06873273423537711	0.026952778638930582	0.04475555657808843	0.044446311433059285	0.05212043964898605	0.05910461625191165	0.047991260619117605	0.03862097259691059	0.06452549753118977	0.04591108472718668	0.048572249478220704	0.07068511647231876	0.065970511623968	0.052963127868315515	0.0692411051707767
w26pp	0.060532166274185326	0.05751314871006061	0.06360955345557137	0.06774541986133961	0.061671127486874464	0.05595735553527524	0.0605689180359255	0.059037263672853446	0.04597256687639164	0.06214916418511809	0.05354247084679608	0.05955698287252882	0.06460760188929107	0.03209743301154717	0.0	0.036130913923234066	0.08537766509739278	0.08638335185493028	0.0329262626334933	0.06954193019476018	0.05840719510626681	0.0600135463531308	0.06334230567165308	0.06507292927769828	0.059521970460423776	0.05043658637886572	0.046584088375428	0.046266324974018114	0.059415828490574224	0.06275571350575496	0.0569427799809341	0.058125297263593736	0.04674116616029175	0.040575362929202524	0.06513263376772649	0.055624762180765064	0.05111838631453139	0.2722186892649711	0.28191873668202216	0.37906272562900517	0.8042016980537533	0.8009261259886681	0.8472012790496665	0.7914613623037294	0.07306850710286686	0.031288551506420334	0.04909132944557818	0.04878208430054903	0.0564562125164758	0.06344038911940139	0.052327033486607354	0.04295674546440033	0.06886127039867951	0.05024685759467642	0.052908022345710445	0.07502088933980851	0.07030628449145773	0.05729890073580526	0.07357687803826644
w18pp	0.05311970841696671	0.050100690852841995	0.05619709559835276	0.060332962004121	0.05425866962965585	0.04854489767805663	0.053156460178706885	0.05162480581563483	0.038560109019173026	0.054736706327899474	0.04613001298957747	0.05214452501531021	0.05719514403207245	0.03179514105574432	0.036130913923234066	0.0	0.06427256530941383	0.06527825206695134	0.025513804776274684	0.06212947233754156	0.0509947372490482	0.05260108849591219	0.05592984781443446	0.05766047142047966	0.05210951260320516	0.04302412852164711	0.03917163051820938	0.0388538671167995	0.052003370633355604	0.055343255648536344	0.049530322123715484	0.050712839406375124	0.03932870830307313	0.033162905071983904	0.057720175910507876	0.048212304323546444	0.04370592845731277	0.2648062314077525	0.27450627882480355	0.37165026777178656	0.7967892401965346	0.7935136681314494	0.8397888211924478	0.7840489044465108	0.06565604924564825	0.023876093649201714	0.04167887158835956	0.04136962644333042	0.049043754659257185	0.05602793126218278	0.044914575629388734	0.035544287607181715	0.0614488125414609	0.042834399737457805	0.04549556448849183	0.0676084314825899	0.06289382663423912	0.049886442878586644	0.06616442018104783
s23pp	0.10236645959112545	0.09934744202700073	0.1054438467725115	0.10957971317827973	0.10350542080381459	0.09779164885221536	0.10240321135286562	0.10087155698979357	0.08780686019333175	0.1039834575020582	0.0953767641637362	0.10139127618946893	0.10644189520623118	0.08104189222990303	0.08537766509739278	0.06427256530941383	0.0	0.003510115920330446	0.0747605559504334	0.11137622351170029	0.10024148842320692	0.10184783967007091	0.10517659898859319	0.10690722259463839	0.10135626377736388	0.09227087969580583	0.0884183816923681	0.08810061829095822	0.10125012180751433	0.10459000682269506	0.0987770732978742	0.09995959058053384	0.08857545947723186	0.08240965624614263	0.1069669270846666	0.09745905549770517	0.0929526796314715	0.3140529825819112	0.32375302999896227	0.4208970189459453	0.8460359913706934	0.8427604193056082	0.8890355723666066	0.8332956556206695	0.11490280041980697	0.07312284482336044	0.09092562276251828	0.09061637761748914	0.0982905058334159	0.1052746824363415	0.09416132680354747	0.08479103878134045	0.11069556371561964	0.09208115091161653	0.09474231566265058	0.11685518265674863	0.11214057780839787	0.09913319405274537	0.11541117135520657
s18pp	0.10337214634866294	0.10035312878453823	0.10644953353004899	0.11058539993581723	0.10451110756135208	0.09879733560975286	0.10340889811040312	0.10187724374733106	0.08881254695086925	0.1049891442595957	0.09638245092127369	0.10239696294700643	0.10744758196376868	0.08204757898744053	0.08638335185493028	0.06527825206695134	0.003510115920330446	0.0	0.0757662427079709	0.11238191026923777	0.10124717518074441	0.10285352642760841	0.10618228574613067	0.10791290935217587	0.10236195053490138	0.09327656645334333	0.0894240684499056	0.08910630504849572	0.10225580856505181	0.10559569358023256	0.0997827600554117	0.10096527733807134	0.08958114623476934	0.08341534300368011	0.1079726138422041	0.09846474225524265	0.09395836638900898	0.3150586693394487	0.32475871675649975	0.42190270570348276	0.8470416781282308	0.8437661060631456	0.890041259124144	0.8343013423782071	0.11590848717734446	0.07412853158089794	0.09193130952005579	0.09162206437502664	0.0992961925909534	0.10628036919387901	0.09516701356108495	0.08579672553887795	0.11170125047315713	0.09308683766915404	0.09574800242018808	0.11786086941428613	0.11314626456593535	0.10013888081028287	0.11641685811274406
f25pp	0.04332045921649281	0.0403014416523681	0.04639784639787886	0.0505337128036471	0.04445942042918195	0.03874564847758273	0.04335721097823299	0.041825556615160936	0.028760859818699126	0.04493745712742557	0.03633076378910356	0.042345275814836304	0.04739589483159855	0.02859048976600355	0.0329262626334933	0.025513804776274684	0.0747605559504334	0.0757662427079709	0.0	0.042790559085774255	0.03165582399728089	0.03326217524414488	0.036590934562667154	0.038321558168712355	0.032770599351437855	0.023685215269879798	0.02395680878353755	0.023639045382127674	0.03678854889868378	0.04012843391386452	0.03431550038904366	0.0354980176717033	0.024113886568401306	0.023363655871510007	0.04792092671003398	0.03841305512307255	0.03390667925683887	0.2550069822072786	0.2647070296243296	0.36185101857131263	0.7869899909960608	0.7837144189309756	0.829989571991974	0.774249655246037	0.05585680004517435	0.014076844448727817	0.031879622387885664	0.031570377242856516	0.03924450545878329	0.04622868206170888	0.035115326428914836	0.025745038406707815	0.051649563340987	0.0330351505369839	0.035696315288017935	0.057809182282116	0.05309457743376522	0.04008719367811274	0.05636517098057393
w32pp	0.07993612677775969	0.07691710921363497	0.08301351395914573	0.08714938036491397	0.08107508799044882	0.0753613160388496	0.07997287853949986	0.0784412241764278	0.06537652737996599	0.08155312468869244	0.07294643135037043	0.07896094337610318	0.08401156239286542	0.06520615732727043	0.06954193019476018	0.06212947233754156	0.11137622351170029	0.11238191026923777	0.042790559085774255	0.0	0.03245714492420613	0.053600083405699	0.06478776363093841	0.06651838723698361	0.06096742841970911	0.05188204433815105	0.060572476344804435	0.06025471294339455	0.07340421645995066	0.07674410147513139	0.07093116795031054	0.07211368523297018	0.060729554129668184	0.059979323432776885	0.08453659427130086	0.07502872268433942	0.07052234681810575	0.29162264976854546	0.3013226971855965	0.3984666861325795	0.8236056585573277	0.8203300864922425	0.8666052395532409	0.8108653228073038	0.09247246760644123	0.050692512009994695	0.06849528994915255	0.0681860448041234	0.07586017302005016	0.08284434962297577	0.07173099399018171	0.06236070596797469	0.08826523090225388	0.06965081809825077	0.07231198284928482	0.09442484984338287	0.0897102449950321	0.07670286123937961	0.0929808385418408
