	f12ppB	530394	f16ppB	f2pp	f16ppA	w16pp	f7pp	f14ppB	f4pp	w6pp	w21pp
f12ppB	0.0	1.126901505233168	0.7583055417452539	0.6503959735329614	0.8140531748690237	1.00637425258489	0.6580932268120656	0.5695990411900321	0.7931013484737746	1.1128122273683583	1.0978347684595577
530394	1.126901505233168	0.0	0.9706512309181081	0.9517381477307228	1.1153953490667852	1.3077164267826515	0.9594354010098272	0.9112423263814936	1.134744633665236	1.4544555125598198	1.4394780536510192
f16ppB	0.7583055417452539	0.9706512309181081	0.0	0.5831421842428088	0.7467993855788713	0.9391204632947374	0.590839437521913	0.5426463628935796	0.7661486701773221	1.0858595490719056	1.070882090163105
f2pp	0.6503959735329614	0.9517381477307228	0.5831421842428088	0.0	0.5343702189667582	0.7266912966826244	0.47212950172771995	0.434736794681287	0.6582391019650295	0.9779499808596133	0.9629725219508127
f16ppA	0.8140531748690237	1.1153953490667852	0.7467993855788713	0.5343702189667582	0.0	0.6948125957632407	0.6357867030637823	0.5983939960173494	0.821896303301092	1.1416071821956755	1.126629723286875
w16pp	1.00637425258489	1.3077164267826515	0.9391204632947374	0.7266912966826244	0.6948125957632407	0.0	0.8281077807796485	0.7907150737332156	1.0142173810169581	1.3339282599115416	1.318950801002741
f7pp	0.6580932268120656	0.9594354010098272	0.590839437521913	0.47212950172771995	0.6357867030637823	0.8281077807796485	0.0	0.4424340479603913	0.6659363552441337	0.9856472341387175	0.9706697752299169
f14ppB	0.5695990411900321	0.9112423263814936	0.5426463628935796	0.434736794681287	0.5983939960173494	0.7907150737332156	0.4424340479603913	0.0	0.5114996677138741	0.8312105466084576	0.8162330876996572
f4pp	0.7931013484737746	1.134744633665236	0.7661486701773221	0.6582391019650295	0.821896303301092	1.0142173810169581	0.6659363552441337	0.5114996677138741	0.0	0.8809143185981125	0.865936859689312
w6pp	1.1128122273683583	1.4544555125598198	1.0858595490719056	0.9779499808596133	1.1416071821956755	1.3339282599115416	0.9856472341387175	0.8312105466084576	0.8809143185981125	0.0	0.747024441916029
w21pp	1.0978347684595577	1.4394780536510192	1.070882090163105	0.9629725219508127	1.126629723286875	1.318950801002741	0.9706697752299169	0.8162330876996572	0.865936859689312	0.747024441916029	0.0
