	w16pp	w20pp	w26pp	f1pp	w13pp	f16ppB	w18pp	w8pp	f14ppB	w7pp	f20ppB	31333	530368	31219	31300	31267	31009	31160	w25pp	f12ppA	w11pp	f21pp	f23ppA	f11pp	w27pp	w9pp	w4pp	w15pp	w6pp	f6ppA	f14ppA	w1pp	f31pp	w17pp	f4pp	f7pp	w14pp	w19pp	f15pp	f12ppB	w32pp	w21pp	f16ppA	w3pp	w2pp	f2pp	f24pp	f19pp	w24pp	f25pp	w12pp	f32pp	w10pp
f20ppB	0.07958356141909742	0.05096334498670146	0.06937180325375382	0.07532885071380832	0.09098402454754118	0.07951009068106711	0.07955722012240181	0.07342767439654495	0.04191306033466416	0.048358564042237255	0.0	0.3814797261970769	0.558472266453411	0.5500686880823702	0.5343782780025912	0.5301056368296978	0.38898210652913334	0.40834932759906867	0.04898707085602669	0.06091852645905444	0.06676329629112751	0.07589523554356933	0.0965204836595997	0.0915505914987515	0.08159620260141515	0.07327782110217687	0.07971569276316537	0.05986412453995471	0.09374460651346818	0.0661161321127718	0.0960911347622562	0.07209625559767904	0.07994028283419985	0.06819442276977225	0.08473981062448954	0.05288949395823413	0.06491751988376274	0.09178700758995705	0.10665930743048327	0.11364106160738222	0.12343377551018206	0.09312855475979913	0.0744758174044361	0.07694551111058037	0.09870588994895485	0.07669057845984023	0.0835200413369376	0.1126417396312174	0.08228574286612464	0.061167987750123456	0.061353539802857696	0.09607595782684375	0.0900553203719737
31333	0.4185607436848869	0.38994052725249095	0.4083489855195433	0.41430603297959784	0.42996120681333067	0.4184872729468566	0.4185344023881913	0.41240485666233445	0.3808902426004536	0.38733574630802675	0.3814797261970769	0.0	0.5649297982840737	0.5565262199130329	0.540835809833254	0.5365631686603605	0.39543963835979606	0.4148068594297314	0.38796425312181615	0.3998957087248439	0.405740478556917	0.4148724178093588	0.4354976659253892	0.430527773764541	0.42057338486720464	0.4122550033679664	0.41869287502895486	0.3988413068057442	0.43272178877925765	0.4050933143785613	0.4350683170280457	0.41107343786346856	0.41891746509998934	0.4071716050355617	0.42371699289027903	0.3918666762240236	0.40389470214955225	0.43076418985574655	0.4456364896962728	0.45261824387317173	0.4624109577759715	0.43210573702558863	0.4134529996702256	0.4159226933763699	0.43768307221474434	0.4156677607256297	0.4224972236027271	0.4516189218970069	0.4212629251319141	0.40014517001591293	0.40033072206864717	0.43505314009263324	0.42903250263776316
530368	0.595553283941221	0.566933067508825	0.5853415257758774	0.5912985732359318	0.6069537470696648	0.5954798132031907	0.5955269426445253	0.5893973969186684	0.5578827828567876	0.5643282865643607	0.558472266453411	0.5649297982840737	0.0	0.04730247100016473	0.6665643569375708	0.6622917157646773	0.5677299939501108	0.5870972150200461	0.5649567933781502	0.576888248981178	0.582733018813251	0.5918649580656928	0.6124902061817232	0.607520314020875	0.5975659251235387	0.5892475436243004	0.595685415285289	0.5758338470620782	0.6097143290355918	0.5820858546348954	0.6120608572843798	0.5880659781198025	0.5959100053563234	0.5841641452918958	0.6007095331466131	0.5688592164803578	0.5808872424058863	0.6077567301120806	0.6226290299526068	0.6296107841295058	0.6394034980323057	0.6090982772819227	0.5904455399265597	0.5929152336327039	0.6146756124710785	0.5926603009819639	0.5994897638590612	0.628611462153341	0.5982554653882483	0.577137710272247	0.5773232623249813	0.6120456803489673	0.6060250428940973
31219	0.5871497055701802	0.5585294891377842	0.5769379474048366	0.582894994864891	0.598550168698624	0.5870762348321499	0.5871233642734845	0.5809938185476277	0.5494792044857468	0.55592470819332	0.5500686880823702	0.5565262199130329	0.04730247100016473	0.0	0.6581607785665299	0.6538881373936365	0.5593264155790698	0.5786936366490052	0.5565532150071094	0.5684846706101372	0.5743294404422102	0.5834613796946521	0.6040866278106825	0.5991167356498343	0.5891623467524979	0.5808439652532597	0.5872818369142482	0.5674302686910374	0.601310750664551	0.5736822762638546	0.603657278913339	0.5796623997487618	0.5875064269852827	0.575760566920855	0.5923059547755724	0.560455638109317	0.5724836640348455	0.5993531517410399	0.614225451581566	0.621207205758465	0.6309999196612649	0.6006946989108819	0.5820419615555189	0.5845116552616632	0.6062720341000377	0.5842567226109231	0.5910861854880204	0.6202078837823002	0.5898518870172075	0.5687341319012063	0.5689196839539405	0.6036421019779266	0.5976214645230565
31300	0.5714592954904012	0.5428390790580052	0.5612475373250576	0.567204584785112	0.582859758618845	0.5713858247523709	0.5714329541937055	0.5653034084678487	0.5337887944059678	0.540234298113541	0.5343782780025912	0.540835809833254	0.6665643569375708	0.6581607785665299	0.0	0.2584012562318737	0.543636005499291	0.5630032265692263	0.5408628049273304	0.5527942605303582	0.5586390303624312	0.5677709696148731	0.5883962177309034	0.5834263255700552	0.5734719366727189	0.5651535551734806	0.5715914268344692	0.5517398586112584	0.585620340584772	0.5579918661840756	0.58796686883356	0.5639719896689828	0.5718160169055037	0.560070156841076	0.5766155446957933	0.544765228029538	0.5567932539550665	0.5836627416612609	0.598535041501787	0.605516795678686	0.6153095095814859	0.5850042888311029	0.5663515514757399	0.5688212451818841	0.5905816240202587	0.5685663125311441	0.5753957754082414	0.6045174737025212	0.5741614769374285	0.5530437218214272	0.5532292738741615	0.5879516918981476	0.5819310544432775
31267	0.5671866543175078	0.5385664378851118	0.5569748961521642	0.5629319436122187	0.5785871174459516	0.5671131835794775	0.5671603130208122	0.5610307672949553	0.5295161532330744	0.5359616569406476	0.5301056368296978	0.5365631686603605	0.6622917157646773	0.6538881373936365	0.2584012562318737	0.0	0.5393633643263975	0.5587305853963329	0.536590163754437	0.5485216193574647	0.5543663891895378	0.5634983284419797	0.5841235765580101	0.5791536843971619	0.5691992954998255	0.5608809140005873	0.5673187856615758	0.547467217438365	0.5813476994118786	0.5537192250111822	0.5836942276606666	0.5596993484960894	0.5675433757326103	0.5557975156681826	0.5723429035229	0.5404925868566446	0.5525206127821731	0.5793901004883675	0.5942624003288937	0.6012441545057926	0.6110368684085925	0.5807316476582095	0.5620789103028465	0.5645486040089908	0.5863089828473653	0.5642936713582507	0.571123134235348	0.6002448325296278	0.5698888357645351	0.5487710806485339	0.5489566327012682	0.5836790507252542	0.5776584132703841
31009	0.42606312401694335	0.3974429075845474	0.41585136585159976	0.4218084133116543	0.43746358714538713	0.4259896532789131	0.42603678272024775	0.4199072369943909	0.3883926229325101	0.3948381266400832	0.38898210652913334	0.39543963835979606	0.5677299939501108	0.5593264155790698	0.543636005499291	0.5393633643263975	0.0	0.398185925461912	0.3954666334538726	0.4073980890569004	0.41324285888897344	0.42237479814141526	0.44300004625744566	0.43803015409659746	0.4280757651992611	0.4197573837000228	0.4261952553610113	0.40634368713780067	0.4402241691113141	0.41259569471061774	0.4425706973601022	0.41857581819552503	0.4264198454320458	0.4146739853676182	0.4312193732223355	0.39936905655608007	0.4113970824816087	0.438266570187803	0.4531388700283292	0.46012062420522815	0.46991333810802804	0.4396081173576451	0.42095538000228205	0.4234250737084263	0.4451854525468008	0.4231701410576862	0.42999960393478354	0.45912130222906333	0.4287653054639706	0.4076475503479694	0.40783310240070364	0.4425555204246897	0.4365348829698196
31160	0.4454303450868787	0.41681012865448275	0.4352185869215351	0.44117563438158963	0.45683080821532246	0.4453568743488484	0.4454040037901831	0.43927445806432625	0.4077598440024454	0.41420534771001855	0.40834932759906867	0.4148068594297314	0.5870972150200461	0.5786936366490052	0.5630032265692263	0.5587305853963329	0.398185925461912	0.0	0.41483385452380794	0.4267653101268357	0.43261007995890877	0.4417420192113506	0.462367267327381	0.4573973751665328	0.44744298626919643	0.4391246047699582	0.44556247643094665	0.425710908207736	0.45959139018124945	0.43196291578055307	0.4619379184300375	0.43794303926546035	0.44578706650198113	0.4340412064375535	0.4505865942922708	0.4187362776260154	0.43076430355154405	0.45763379125773834	0.4725060910982646	0.4794878452751635	0.4892805591779633	0.4589753384275804	0.4403226010722174	0.4427922947783617	0.46455267361673613	0.4425373621276215	0.4493668250047189	0.4784885232989987	0.4481325265339059	0.4270147714179047	0.42720032347063897	0.46192274149462503	0.45590210403975495
w25pp	0.0664793790218885	0.037859162589492526	0.056267620856544895	0.062224668316599396	0.07787984215033225	0.06640590828385817	0.06645303772519287	0.06032349199933602	0.028808877937455218	0.04591555225815919	0.04898707085602669	0.38796425312181615	0.5649567933781502	0.5565532150071094	0.5408628049273304	0.536590163754437	0.3954666334538726	0.41483385452380794	0.0	0.04090935374780188	0.05365911389391857	0.0627910531463604	0.08341630126239076	0.07844640910154256	0.06849202020420621	0.06017363870496793	0.06661151036595644	0.04675994214274577	0.08064042411625924	0.05301194971556286	0.08298695236504727	0.05899207320047012	0.06683610043699093	0.05509024037256331	0.07163562822728062	0.039785311561025195	0.05181333748655381	0.07868282519274811	0.09355512503327434	0.10053687921017329	0.11032959311297313	0.08002437236259019	0.06137163500722716	0.06384132871337145	0.08560170755174593	0.0635863960626313	0.07041585893972868	0.09953755723400848	0.06918156046891571	0.04806380535291453	0.04824935740564877	0.08297177542963484	0.07695113797476477
f12ppA	0.07841083462491624	0.04979061819252027	0.06819907645957264	0.07415612391962714	0.08981129775336	0.07833736388688592	0.07838449332822062	0.07225494760236376	0.040740333540482974	0.05784700786118694	0.06091852645905444	0.3998957087248439	0.576888248981178	0.5684846706101372	0.5527942605303582	0.5485216193574647	0.4073980890569004	0.4267653101268357	0.04090935374780188	0.0	0.06559056949694632	0.07472250874938814	0.09534775686541852	0.09037786470457031	0.08042347580723397	0.07210509430799569	0.07854296596898419	0.05869139774577352	0.09257187971928699	0.06494340531859061	0.09491840796807502	0.07092352880349787	0.07876755604001867	0.06702169597559106	0.08356708383030836	0.05171676716405294	0.06374479308958156	0.09061428079577585	0.10548658063630209	0.11246833481320104	0.12226104871600088	0.09195582796561794	0.0733030906102549	0.0757727843163992	0.09753316315477367	0.07551785166565905	0.08234731454275643	0.11146901283703622	0.08111301607194346	0.05999526095594228	0.06018081300867652	0.09490323103266259	0.08888259357779252
