	w31pp	w21pp	w15pp	w9pp	w4pp	w14pp	f4pp	w10pp	w7pp	w16pp	f32pp	f2pp	f19pp	f6ppA	w22pp	w28pp	w26pp	f12ppA	f10pp	f1pp	f15pp	f12ppB	w20pp	f20ppA	f18pp	w13pp	31021	31360	S14Hp	31300	31519	S4Hp	530364	S30H1	f26pp	f7pp	f6ppB	f24pp	w3pp	w27pp	w23pp	f14ppA	w18pp	f8pp	f30pp	f14ppB	f13pp	f23ppA	w8pp	w12pp	f17ppB	w17pp	w2pp	w1pp	f21pp	w32pp	w6pp	w11pp	f11pp	w24pp	w25pp	w19pp
f32pp	0.12277789694157323	0.12578726549735447	0.10730697664576724	0.08279001546875306	0.07203436242330397	0.08813378697019224	0.04917879475377224	0.04217505895783771	0.06516847585247082	0.022846758734714964	0.0	0.04225417435149531	0.06423694678974104	0.052396544601920815	0.07059544220973317	0.06191812633057831	0.04743109327534939	0.060692048135117985	0.04836485888675625	0.062312881134497074	0.04690453216483609	0.06088360852881826	0.03793664196209924	0.04196532549068159	0.07319764548950855	0.06408501192603608	0.7355264447183001	0.7141418394013335	0.7776750733827766	0.768354001334692	0.8051254329923602	0.7584453375868108	0.8247495083715206	0.782236257012479	0.09534327474654289	0.10201110305775737	0.1407826841722132	0.08314519259083406	0.07231194681310363	0.1226507947035434	0.05294280918395375	0.07280568643321549	0.05587383034150837	0.09123797614376346	0.052801559058068534	0.0844664602303659	0.040356691374234054	0.061596299353353715	0.042804164605777545	0.052430324009339405	0.0445638422990378	0.0490340547369743	0.08498798233746074	0.07872657743634534	0.05461523151649969	0.07399353827137475	0.09440334578474885	0.09752725551352392	0.09448354638812377	0.11301687081624975	0.10900445819605918	0.09481535997353907
f2pp	0.11441875496899359	0.11742812352477483	0.0989478346731876	0.07443087349617343	0.06367522045072434	0.07977464499761261	0.04081965278119261	0.033815916985258085	0.05680933387989119	0.02504300305671516	0.04225417435149531	0.0	0.04640874939594906	0.03456834720812883	0.05276724481594119	0.04408992893678633	0.029602895881557414	0.042863850741326	0.03053666149296427	0.04448468374070509	0.029076334771044106	0.04305541113502628	0.029577499989519616	0.03360618351810196	0.06483850351692892	0.055725869953456464	0.7271673027457205	0.7057826974287539	0.769315931410197	0.7599948593621124	0.7967662910197806	0.7500861956142312	0.816390366398941	0.7738771150398994	0.08698413277396327	0.09365196108517775	0.1324235421996336	0.07478605061825443	0.06395280484052401	0.11429165273096377	0.04458366721137413	0.06444654446063586	0.04751468836892875	0.08287883417118383	0.044442417085488906	0.07610731825778627	0.031997549401654425	0.053237157380774086	0.03444502263319792	0.044071182036759776	0.03620470032645818	0.04067491276439467	0.07662884036488113	0.0703674354637657	0.04625608954392006	0.06563439629879511	0.08604420381216922	0.0891681135409443	0.08612440441554414	0.10465772884367011	0.10064531622347954	0.08645621800095943
f19pp	0.13640152740723932	0.13941089596302056	0.12093060711143333	0.09641364593441916	0.08565799288897007	0.10175741743585834	0.06280242521943834	0.055798689423503814	0.0787921063181369	0.047025775494960884	0.06423694678974104	0.04640874939594906	0.0	0.022787409259520393	0.04098630686733275	0.03230899098817788	0.028856679987041684	0.04211763484681027	0.02979044559844854	0.052421213447853256	0.03701286447819227	0.05099194084217444	0.05156027242776534	0.05558895595634769	0.08682127595517465	0.07770864239170219	0.7491500751839661	0.7277654698669995	0.7912987038484427	0.7819776318003582	0.8187490634580263	0.7720689680524768	0.8383731388371867	0.7958598874781451	0.108966905212209	0.11563473352342347	0.1544063146378793	0.09676882305650014	0.08593557727876974	0.1362744251692095	0.06656643964961985	0.08642931689888159	0.06949746080717448	0.10486160660942956	0.06642518952373463	0.098090090696032	0.053980321839900154	0.07521992981901982	0.056427795071443645	0.0660539544750055	0.0581874727647039	0.0626576852026404	0.09861161280312686	0.09235020790201143	0.06823886198216579	0.08761716873704084	0.10802697625041495	0.11115088597919003	0.10810717685378987	0.12664050128191584	0.12262808866172527	0.10843899043920516
f6ppA	0.12456112521941912	0.12757049377520036	0.10909020492361313	0.08457324374659894	0.07381759070114985	0.08991701524803812	0.05096202303161811	0.04395828723568359	0.06695170413031669	0.03518537330714066	0.052396544601920815	0.03456834720812883	0.022787409259520393	0.0	0.018200897608812407	0.009523581729657551	0.017016277799221467	0.03027723265899005	0.017950043410628322	0.04058081126003304	0.025172462290372052	0.03915153865435422	0.03971987023994512	0.043748553768527466	0.07498087376735443	0.06586824020388196	0.737309672996146	0.7159250676791794	0.7794583016606226	0.7701372296125379	0.8069086612702061	0.7602285658646567	0.8265327366493666	0.784019485290325	0.09712650302438877	0.10379433133560326	0.1425659124500591	0.08492842086867992	0.07409517509094951	0.12443402298138928	0.05472603746179963	0.07458891471106135	0.057657058619354246	0.09302120442160933	0.05458478733591441	0.08624968850821177	0.04213991965207993	0.06337952763119958	0.04458739288362342	0.05421355228718528	0.046347070576883684	0.05081728301482018	0.08677121061530663	0.08050980571419121	0.056398459794345566	0.07577676654922062	0.09618657406259473	0.09931048379136981	0.09626677466596965	0.11480009909409564	0.11078768647390506	0.09659858825138495
w22pp	0.14276002282723146	0.1457693913830127	0.12728910253142547	0.10277214135441129	0.0920164883089622	0.10811591285585047	0.06916092063943047	0.062157184843495944	0.08515060173812905	0.053384270914953014	0.07059544220973317	0.05276724481594119	0.04098630686733275	0.018200897608812407	0.0	0.022778263309368954	0.03521517540703382	0.048476130266802406	0.03614894101844067	0.058779708867845386	0.0433713598981844	0.05735043626216657	0.05791876784775747	0.06194745137633982	0.09317977137516678	0.08406713781169431	0.7555085706039584	0.7341239652869918	0.7976571992684349	0.7883361272203503	0.8251075588780185	0.778427463472469	0.8447316342571789	0.8022183828981373	0.11532540063220112	0.1219932289434156	0.16076481005787144	0.10312731847649229	0.09229407269876186	0.14263292058920163	0.07292493506961198	0.09278781231887372	0.0758559562271666	0.11122010202942169	0.07278368494372676	0.10444858611602413	0.060338817259892284	0.08157842523901195	0.06278629049143578	0.07241244989499764	0.06454596818469603	0.06901618062263253	0.10497010822311897	0.09870870332200357	0.07459735740215792	0.09397566415703298	0.11438547167040708	0.11750938139918216	0.114465672273782	0.13299899670190798	0.12898658408171743	0.1147974858591973
w28pp	0.1340827069480766	0.13709207550385785	0.11861178665227062	0.09409482547525644	0.08333917242980735	0.09943859697669562	0.06048360476027561	0.053479868964341086	0.07647328585897419	0.044706955035798156	0.06191812633057831	0.04408992893678633	0.03230899098817788	0.009523581729657551	0.022778263309368954	0.0	0.02653785952787896	0.03979881438764754	0.027471625139285815	0.05010239298869053	0.03469404401902954	0.04867312038301171	0.04924145196860261	0.05327013549718496	0.08450245549601193	0.07538982193253946	0.7468312547248035	0.7254466494078369	0.78897988338928	0.7796588113411954	0.8164302429988636	0.7697501475933142	0.836054318378024	0.7935410670189824	0.10664808475304627	0.11331591306426075	0.1520874941787166	0.09445000259733742	0.08361675681960701	0.13395560471004678	0.06424761919045713	0.08411049643971885	0.06717864034801174	0.10254278615026682	0.0641063690645719	0.09577127023686927	0.051661501380737426	0.07290110935985708	0.05410897461228092	0.06373513401584277	0.05586865230554118	0.060338864743477674	0.09629279234396412	0.09003138744284872	0.06592004152300307	0.08529834827787813	0.10570815579125223	0.1088320655200273	0.10578835639462715	0.12432168082275313	0.12030926820256256	0.10612016998004245
w26pp	0.11959567389284767	0.12260504244862891	0.10412475359704168	0.07960779242002751	0.06885213937457842	0.08495156392146669	0.04599657170504669	0.038992835909112164	0.06198625280374527	0.03021992198056924	0.04743109327534939	0.029602895881557414	0.028856679987041684	0.017016277799221467	0.03521517540703382	0.02653785952787896	0.0	0.01953581767819673	0.007208628429834998	0.03561535993346161	0.020207010963800627	0.0341860873277828	0.03475441891337369	0.03878310244195604	0.070015422440783	0.06090278887731054	0.7323442216695746	0.710959616352608	0.7744928503340511	0.7651717782859665	0.8019432099436347	0.7552631145380853	0.8215672853227951	0.7790540339637535	0.09216105169781735	0.09882888000903182	0.13760046112348767	0.0799629695421085	0.06912972376437809	0.11946857165481785	0.049760586135228206	0.06962346338448994	0.05269160729278283	0.08805575309503791	0.049619336009342985	0.08128423718164035	0.037174468325508504	0.058414076304628165	0.039621941557052	0.049248100960613855	0.04138161925031226	0.04585183168824875	0.08180575928873521	0.07554435438761978	0.05143300846777414	0.07081131522264919	0.0912211227360233	0.09434503246479838	0.09130132333939822	0.10983464776752419	0.10582223514733362	0.09163313692481351
f12ppA	0.13285662875261628	0.13586599730839752	0.11738570845681029	0.0928687472797961	0.08211309423434701	0.09821251878123528	0.05925752656481528	0.05225379076888076	0.07524720766351387	0.04348087684033783	0.060692048135117985	0.042863850741326	0.04211763484681027	0.03027723265899005	0.048476130266802406	0.03979881438764754	0.01953581767819673	0.0	0.016523029021495623	0.0488763147932302	0.033467965823569215	0.047447042187551386	0.048015373773142286	0.052044057301724636	0.0832763773005516	0.07416374373707912	0.7456051765293431	0.7242205712123765	0.7877538051938197	0.778432733145735	0.8152041648034032	0.7685240693978538	0.8348282401825636	0.792314988823522	0.10542200655758593	0.11208983486880042	0.15086141598325625	0.0932239244018771	0.08239067862414667	0.13272952651458644	0.0630215409949968	0.08288441824425853	0.06595256215255141	0.1013167079548065	0.06288029086911158	0.09454519204140895	0.0504354231852771	0.07167503116439676	0.05288289641682059	0.06250905582038245	0.054642574110080847	0.05911278654801735	0.09506671414850379	0.08880530924738839	0.06469396332754274	0.0840722700824178	0.1044820775957919	0.10760598732456697	0.10456227819916682	0.1230956026272928	0.11908319000710223	0.10489409178458212
f10pp	0.12052943950425454	0.12353880806003578	0.10505851920844855	0.08054155803143437	0.06978590498598528	0.08588532953287355	0.046930337316453546	0.03992660152051902	0.06292001841515213	0.031153687591976092	0.04836485888675625	0.03053666149296427	0.02979044559844854	0.017950043410628322	0.03614894101844067	0.027471625139285815	0.007208628429834998	0.016523029021495623	0.0	0.03654912554486847	0.021140776575207486	0.03511985293918966	0.03568818452478055	0.0397168680533629	0.07094918805218986	0.061836554488717395	0.7332779872809814	0.7118933819640147	0.7754266159454579	0.7661055438973733	0.8028769755550414	0.756196880149492	0.8225010509342019	0.7799877995751603	0.0930948173092242	0.09976264562043868	0.13853422673489452	0.08089673515351536	0.07006348937578494	0.12040233726622471	0.05069435174663506	0.0705572289958968	0.05362537290418968	0.08898951870644477	0.050553101620749843	0.08221800279304721	0.03810823393691536	0.059347841916035024	0.040555707168458854	0.050181866572020714	0.04231538486171911	0.04678559729965561	0.08273952490014205	0.07647811999902665	0.052366774079181	0.07174508083405606	0.09215488834743016	0.09527879807620523	0.09223508895080508	0.11076841337893106	0.10675600075874049	0.09256690253622038
f1pp	0.13447746175199538	0.13748683030777661	0.11900654145618939	0.0944895802791752	0.08373392723372611	0.09983335178061438	0.06087835956419437	0.05387462376825985	0.07686804066289295	0.04510170983971692	0.062312881134497074	0.04448468374070509	0.052421213447853256	0.04058081126003304	0.058779708867845386	0.05010239298869053	0.03561535993346161	0.0488763147932302	0.03654912554486847	0.0	0.023304713661062414	0.03728379002504458	0.049636206772521375	0.053664890301103725	0.08489721029993069	0.07578457673645822	0.7472260095287222	0.7258414042117556	0.7893746381931988	0.7800535661451141	0.8168249978027823	0.7701449023972329	0.8364490731819427	0.7939358218229011	0.10704283955696503	0.11371066786817952	0.15248224898263535	0.09484475740125618	0.08401151162352577	0.13435035951396554	0.06464237399437589	0.08450525124363761	0.0675733951519305	0.10293754095418559	0.06450112386849066	0.09616602504078803	0.05205625618465619	0.07329586416377584	0.05450372941619968	0.06412988881976153	0.05626340710945994	0.060733619547396436	0.09668754714788289	0.09042614224676748	0.06631479632692183	0.0856931030817969	0.10610291059517099	0.10922682032394607	0.10618311119854591	0.1247164356266719	0.12070402300648132	0.10651492478396121
