	31160	F7H1	S31Hp	S4Hp	S7Hp	S29H1	s26pp	w9pp	S28Hp	S1Hp	S9H1	S18H1	31700	S15Hp	31300	S16H2	s24pp	S19H1	s24H1	S26Hp	F29H1	f14ppB	530295	530451	31600	S13Hp	F23HpA	S21H1	S17H1
S18H1	0.4059155119395081	0.49822161708391366	0.3882926314400312	0.4030919287233874	0.42181982817229113	0.41058658271997006	0.41478238629483566	0.37447725146238714	0.4427092047067489	0.32873936939677273	0.3887023546015598	0.0	0.3065050079480325	0.2981406552328384	0.34790786634623083	0.32787959193280786	0.44433492159103216	0.43705587705623394	0.4231422903634492	0.46228861502643714	0.4464156369977595	0.34958540711455266	0.40796636301458933	0.41321427882118406	0.44968840455690273	0.6383682910921116	0.7155007356382683	0.42064453040836586	0.41139056410907016
31700	0.4005384199283844	0.49284452507279	0.3829155394289075	0.3977148367122637	0.41644273616116745	0.4052094907088464	0.409405294283712	0.3691001594512634	0.43733211269562516	0.32336227738564893	0.38332526259043603	0.3065050079480325	0.0	0.06341361470298987	0.34253077433510704	0.3225024999216841	0.4389578295799085	0.4316787850451102	0.4177651983523255	0.45691152301531335	0.44103854498663575	0.3442083151034289	0.4025892710034656	0.4078371868100603	0.44431131254577905	0.6329911990809878	0.7101236436271445	0.4152674383972422	0.40601347209794647
S15Hp	0.3921740672131903	0.4844801723575959	0.3745511867137134	0.3893504839970696	0.40807838344597336	0.3968451379936523	0.4010409415685179	0.3607358067360693	0.4289677599804311	0.3149979246704549	0.374960909875242	0.2981406552328384	0.06341361470298987	0.0	0.334166421619913	0.31413814720649	0.4305934768647144	0.4233144323299161	0.4094008456371314	0.44854717030011926	0.43267419227144166	0.33584396238823483	0.3942249182882715	0.3994728340948662	0.43594695983058496	0.6246268463657937	0.7017592909119504	0.4069030856820481	0.3976491193827524
31300	0.40078133708611247	0.49308744223051804	0.38315845658663555	0.39795775386999177	0.4166856533188955	0.40545240786657444	0.40964821144144004	0.36934307660899146	0.4375750298533532	0.32360519454337705	0.38356817974816415	0.34790786634623083	0.34253077433510704	0.334166421619913	0.0	0.2979642705029322	0.43920074673763654	0.43192170220283826	0.41800811551005357	0.4571544401730414	0.4412814621443638	0.344451232261157	0.40283218816119365	0.4080801039677884	0.4445542297035071	0.6332341162387158	0.7103665607848726	0.41551035555497023	0.40625638925567453
S16H2	0.38075306267268944	0.473059167817095	0.3631301821732125	0.37792947945656874	0.3966573789054725	0.3854241334531514	0.389619937028017	0.3493148021955685	0.41754675543993025	0.3035769201299541	0.3635399053347411	0.32787959193280786	0.3225024999216841	0.31413814720649	0.2979642705029322	0.0	0.4191724723242135	0.4118934277894153	0.39797984109663054	0.4371261657596185	0.42125318773094084	0.324422957847734	0.3828039137477707	0.3880518295543654	0.4245259552900841	0.6132058418252928	0.6903382863714496	0.3954820811415472	0.3862281148422515
s24pp	0.279630928307726	0.3719370334521316	0.26200804780824916	0.2768073450916054	0.2955352445405091	0.28430199908818804	0.28849780266305364	0.2481926678306051	0.3164246210749668	0.2818849977356014	0.434988939779002	0.44433492159103216	0.4389578295799085	0.4305934768647144	0.43920074673763654	0.4191724723242135	0.0	0.014354138211146061	0.03888606925692392	0.10357220656928781	0.20294203622942725	0.16677197314640022	0.25055862660002864	0.25580654240662337	0.2922806681423421	0.5120837074603295	0.5892161520064862	0.2943599467765838	0.2851059804772881
S19H1	0.2723518837729278	0.36465798891733336	0.2547290032734509	0.26952830055680715	0.28825620000571084	0.2770229545533898	0.28121875812825536	0.24091362329580684	0.3091455765401686	0.2746059532008031	0.4277098952442038	0.43705587705623394	0.4316787850451102	0.4233144323299161	0.43192170220283826	0.4118934277894153	0.014354138211146061	0.0	0.0316070247221257	0.09629316203448957	0.19566299169462903	0.15949292861160197	0.2432795820652304	0.24852749787182515	0.2850016236075439	0.5048046629255312	0.5819371074716879	0.28708090224178556	0.27782693594248986
s24H1	0.25843829708014304	0.3507444022245486	0.2408154165806662	0.2556147138640224	0.27434261331292614	0.26310936786060507	0.26730517143547067	0.22700003660302212	0.29523198984738386	0.2606923665080184	0.413796308551419	0.4231422903634492	0.4177651983523255	0.4094008456371314	0.41800811551005357	0.39797984109663054	0.03888606925692392	0.0316070247221257	0.0	0.08237957534170484	0.1817494050018443	0.14557934191881725	0.22936599537244567	0.2346139111790404	0.27108803691475913	0.4908910762327465	0.5680235207789033	0.2731673155490008	0.2639133492497051
S26Hp	0.297584621743131	0.38989072688753657	0.2799617412436541	0.2947610385270103	0.31348893797591404	0.30225569252359297	0.30645149609845856	0.26614636126601005	0.3343783145103718	0.29983869117100626	0.452942633214407	0.46228861502643714	0.45691152301531335	0.44854717030011926	0.4571544401730414	0.4371261657596185	0.10357220656928781	0.09629316203448957	0.08237957534170484	0.0	0.2208957296648322	0.18472566658180514	0.26851232003543357	0.2737602358420283	0.31023436157774703	0.5300374008957344	0.6071698454418911	0.31231364021198876	0.30305967391269306
F29H1	0.28171164371445334	0.3740177488588589	0.26408876321497643	0.2788880604983327	0.29761595994723644	0.28638271449491537	0.2905785180697809	0.2502733832373324	0.31850533648169416	0.28396571314232866	0.4370696551857293	0.4464156369977595	0.44103854498663575	0.43267419227144166	0.4412814621443638	0.42125318773094084	0.20294203622942725	0.19566299169462903	0.1817494050018443	0.2208957296648322	0.0	0.16885268855312752	0.252639342006756	0.2578872578133507	0.2943613835490694	0.5141644228670568	0.5912968674132135	0.2964406621833111	0.2871866958840154
f14ppB	0.1848814138312465	0.2771875189756521	0.16725853333176965	0.18205783061512587	0.2007857300640296	0.18955248461170854	0.19374828818657414	0.1534431533541256	0.22167510659848733	0.18713548325912183	0.3402394253025225	0.34958540711455266	0.3442083151034289	0.33584396238823483	0.344451232261157	0.324422957847734	0.16677197314640022	0.15949292861160197	0.14557934191881725	0.18472566658180514	0.16885268855312752	0.0	0.15580911212354911	0.16105702793014387	0.19753115366586257	0.41733419298384994	0.4944666375300067	0.19961043230010428	0.1903564660008086
530295	0.24326236973128312	0.33556847487568875	0.22563948923180627	0.24043878651516248	0.2591666859640662	0.24793344051174515	0.25212924408661075	0.2118241092541622	0.280056062498524	0.2455164391591585	0.39862038120255916	0.40796636301458933	0.4025892710034656	0.3942249182882715	0.40283218816119365	0.3828039137477707	0.25055862660002864	0.2432795820652304	0.22936599537244567	0.26851232003543357	0.252639342006756	0.15580911212354911	0.0	0.09503996741438142	0.13151409315010015	0.47571514888388655	0.5528475934300433	0.2579913882001409	0.24873742190084522
530451	0.24851028553787788	0.3408163906822835	0.23088740503840102	0.24568670232175727	0.264414601770661	0.25318135631833993	0.2573771598932055	0.21707202506075696	0.2853039783051187	0.2507643549657532	0.4038682970091539	0.41321427882118406	0.4078371868100603	0.3994728340948662	0.4080801039677884	0.3880518295543654	0.25580654240662337	0.24852749787182515	0.2346139111790404	0.2737602358420283	0.2578872578133507	0.16105702793014387	0.09503996741438142	0.0	0.05094339864801976	0.48096306469048133	0.5580955092366381	0.2632393040067356	0.25398533770744
31600	0.2849844112735966	0.37729051641800215	0.2673615307741197	0.28216082805747594	0.3008887275063797	0.2896554820540586	0.2938512856289242	0.2535461507964757	0.3217781040408374	0.28723848070147195	0.44034242274487256	0.44968840455690273	0.44431131254577905	0.43594695983058496	0.4445542297035071	0.4245259552900841	0.2922806681423421	0.2850016236075439	0.27108803691475913	0.31023436157774703	0.2943613835490694	0.19753115366586257	0.13151409315010015	0.05094339864801976	0.0	0.5174371904262001	0.5945696349723568	0.29971342974245435	0.29045946344315865
S13Hp	0.4322772255628134	0.524583330707219	0.4146543450633365	0.4294536423466927	0.44818154179559644	0.43694829634327537	0.44114409991814096	0.4008389650856924	0.46907091833005415	0.4759183672366807	0.6290223092800813	0.6383682910921116	0.6329911990809878	0.6246268463657937	0.6332341162387158	0.6132058418252928	0.5120837074603295	0.5048046629255312	0.4908910762327465	0.5300374008957344	0.5141644228670568	0.41733419298384994	0.47571514888388655	0.48096306469048133	0.5174371904262001	0.0	0.4262544560056233	0.44700624403167116	0.43775227773237546
F23HpA	0.5094096701089701	0.6017157752533757	0.49178678960949324	0.5065860868928495	0.5253139863417532	0.5140807408894321	0.5182765444642977	0.47797140963184914	0.5462033628762109	0.5530508117828374	0.706154753826238	0.7155007356382683	0.7101236436271445	0.7017592909119504	0.7103665607848726	0.6903382863714496	0.5892161520064862	0.5819371074716879	0.5680235207789033	0.6071698454418911	0.5912968674132135	0.4944666375300067	0.5528475934300433	0.5580955092366381	0.5945696349723568	0.4262544560056233	0.0	0.5241386885778279	0.5148847222785322
S21H1	0.08958119625785838	0.21179239192472993	0.1018634062808475	0.11666270356420375	0.13539060301310746	0.12415735756078641	0.12835316113565198	0.1617655801646638	0.2299975334090255	0.25819460655293497	0.4112985485963357	0.42064453040836586	0.4152674383972422	0.4069030856820481	0.41551035555497023	0.3954820811415472	0.2943599467765838	0.28708090224178556	0.2731673155490008	0.31231364021198876	0.2964406621833111	0.19961043230010428	0.2579913882001409	0.2632393040067356	0.29971342974245435	0.44700624403167116	0.5241386885778279	0.0	0.04198187105733403
S17H1	0.0803272299585627	0.20253842562543428	0.09260943998155183	0.10740873726490807	0.1261366367138118	0.11490339126149074	0.11909919483635631	0.15251161386536813	0.22074356710972987	0.24894064025363932	0.40204458229704	0.41139056410907016	0.40601347209794647	0.3976491193827524	0.40625638925567453	0.3862281148422515	0.2851059804772881	0.27782693594248986	0.2639133492497051	0.30305967391269306	0.2871866958840154	0.1903564660008086	0.24873742190084522	0.25398533770744	0.29045946344315865	0.43775227773237546	0.5148847222785322	0.04198187105733403	0.0
