	S15Hp	530394	530451	S13Hp	S1Hp	S3Hp	31600	F7H1	S6Hp	530444	530075	530215	S26Hp	530331	31009	f7pp	f8pp	w9pp	f26pp	f32pp	f22ppA	w1pp	s26pp	S20H1	S31Hp	S25Hp	f14ppB	S22Hp	530295	s12pp	S21H1	F14H1B
530075	0.5292178527149394	0.5418280675780823	0.4780041496203464	0.31353619218953055	0.39722989086912613	0.32162169655443884	0.2467651160576952	0.28598494731435764	0.255379621655146	0.2237430492169995	0.0	0.3500431334293207	0.3720242225185457	0.41983280871392603	0.41378706351856126	0.3900266647228672	0.41387313557715627	0.41413170943155886	0.4151520480463236	0.4322875603671425	0.4302956776329962	0.40837513045606244	0.3652423849134616	0.4159328973738752	0.4152404715887327	0.3972920693889647	0.3586852310089812	0.5546225256933195	0.45067125364111177	0.49532792701472783	0.5070813853414702	0.5695302514247573
530215	0.49484396216223153	0.5074541770253744	0.44363025906763853	0.27916230163682265	0.36285600031641824	0.3288543571574639	0.2980710122413938	0.3702823383879196	0.33967701272870787	0.3484079878571883	0.3500431334293207	0.0	0.26868432070613296	0.38545891816121813	0.3794131729658534	0.3556527741701593	0.37949924502444843	0.379757818878851	0.38077815749361577	0.39791366981443466	0.39592178708028836	0.3740012399033546	0.3308684943607538	0.38155900682116733	0.38086658103602483	0.3629181788362569	0.32431134045627336	0.5202486351406117	0.4162973630884039	0.46095403646202	0.47270749478876234	0.5351563608720494
S26Hp	0.5168250512514565	0.5294352661145995	0.46561134815686356	0.30114339072604773	0.3848370894056433	0.35083544624668894	0.3200521013306189	0.3922634274771446	0.361658101817933	0.3703890769464134	0.3720242225185457	0.26868432070613296	0.0	0.4074400072504432	0.40139426205507844	0.3776338632593843	0.40148033411367345	0.40173890796807604	0.4027592465828408	0.4198947589036597	0.4179028761695134	0.3959823289925796	0.3528495834499788	0.40354009591039236	0.40284767012524986	0.3848992679254819	0.3462924295454984	0.5422297242298366	0.43827845217762895	0.482935125551245	0.49468858387798736	0.5571374499612745
530331	0.4191290987234347	0.4317393135865776	0.3679153956288417	0.25139940560185803	0.3901727083305637	0.39864403244206925	0.3678606875259992	0.44007201367252496	0.40946668801331326	0.41819766314179363	0.41983280871392603	0.38545891816121813	0.4074400072504432	0.0	0.26191578130877524	0.27993791073136254	0.30378438158565163	0.3040429554400542	0.30506329405481897	0.32219880637563786	0.32020692364149156	0.2982863764645578	0.255153630921957	0.30584414338237054	0.30515171759722803	0.2872033153974601	0.24859647701747659	0.44453377170181485	0.3405824996496071	0.38523917302322314	0.3969926313499655	0.4594414974332526
31009	0.41308335352806996	0.42569356839121286	0.36186965043347696	0.24535366040649323	0.3841269631351989	0.39259828724670454	0.3618149423306344	0.4340262684771602	0.4034209428179485	0.41215191794642886	0.41378706351856126	0.3794131729658534	0.40139426205507844	0.26191578130877524	0.0	0.2738921655359977	0.29773863639028686	0.29799721024468945	0.2990175488594542	0.3161530611802731	0.3141611784461268	0.29224063126919303	0.2491078857265922	0.29979839818700577	0.29910597240186326	0.2811575702020953	0.24255073182211181	0.43848802650645	0.33453675445424236	0.3791934278278584	0.39094688615460077	0.45339575223788786
f7pp	0.30183467351938204	0.31444488838252493	0.25062097042478904	0.22159326161079915	0.36036656433950487	0.3688378884510104	0.33805454353494035	0.41026586968146606	0.37966054402225435	0.3883915191507348	0.3900266647228672	0.3556527741701593	0.3776338632593843	0.27993791073136254	0.2738921655359977	0.0	0.08665739797783129	0.08691597183223387	0.08793631044699858	0.10507182276781751	0.10307994003367119	0.08115939285673746	0.07772198105311723	0.14103605864248875	0.14034363285734625	0.12239523065757826	0.10305384528379144	0.32723934649776215	0.22328807444555443	0.26794474781917044	0.27969820614591284	0.34214707222919993
f8pp	0.3256811443736712	0.3382913592368141	0.2744674412790782	0.24543973246508827	0.38421303519379396	0.39268435930529955	0.36190101438922945	0.4341123405357552	0.4035070148765435	0.41223799000502387	0.41387313557715627	0.37949924502444843	0.40148033411367345	0.30378438158565163	0.29773863639028686	0.08665739797783129	0.0	0.10322915551570144	0.10424949413046615	0.12138500645128508	0.11939312371713877	0.09747257654020502	0.10156845190740636	0.1648825294967779	0.1641901037116354	0.1462417015118674	0.12690031613808056	0.3510858173520513	0.24713454529984358	0.2917912186734596	0.303544677000202	0.3659935430834891
w9pp	0.32593971822807377	0.3385499330912167	0.27472601513348077	0.24569830631949086	0.38447160904819655	0.39294293315970213	0.36215958824363204	0.4343709143901578	0.4037655887309461	0.41249656385942646	0.41413170943155886	0.379757818878851	0.40173890796807604	0.3040429554400542	0.29799721024468945	0.08691597183223387	0.10322915551570144	0.0	0.08053151368399487	0.0976670260048138	0.09567514327066749	0.07375459609373375	0.10182702576180895	0.16514110335118048	0.16444867756603798	0.14650027536627	0.12715888999248315	0.3513443912064539	0.24739311915424617	0.2920497925278622	0.3038032508546046	0.36625211693789167
f26pp	0.3269600568428385	0.3395702717059814	0.27574635374824547	0.2467186449342556	0.3854919476629613	0.3939632717744669	0.3631799268583968	0.43539125300492254	0.40478592734571084	0.4135169024741912	0.4151520480463236	0.38077815749361577	0.4027592465828408	0.30506329405481897	0.2990175488594542	0.08793631044699858	0.10424949413046615	0.08053151368399487	0.0	0.06929138796179038	0.06729950522764408	0.06230683772901651	0.10284736437657366	0.16616144196594518	0.16546901618080267	0.14752061398103472	0.12817922860724787	0.3523647298212186	0.2484134577690109	0.2930701311426269	0.30482358946936927	0.3672724555526564
f32pp	0.3440955691636574	0.3567057840268003	0.2928818660690644	0.2638541572550745	0.4026274599837802	0.4110987840952858	0.3803154391792157	0.45252676532574143	0.42192143966652973	0.4306524147950101	0.4322875603671425	0.39791366981443466	0.4198947589036597	0.32219880637563786	0.3161530611802731	0.10507182276781751	0.12138500645128508	0.0976670260048138	0.06929138796179038	0.0	0.05800086804270124	0.07944235004983544	0.11998287669739258	0.18329695428676412	0.18260452850162162	0.1646561263018536	0.1453147409280668	0.3695002421420375	0.2655489700898298	0.3102056434634458	0.3219591017901882	0.3844079678734753
