	31766	31267	S3Hp	S23Hp	S13Hp	S7Hp	S11Hp	S4Hp	530451	S19H1	F3H1	S30H1	31328	F14H1B	31300	S18H1	S28Hp	530177	S2Hp	530444	S26Hp
F3H1	0.5300617053938919	0.544182352957975	0.5390200272306916	0.5474507888556313	0.5851367193829461	0.4786423997047482	0.43269592244699057	0.43333321256287904	0.4610561325947178	0.44818122767019297	0.0	0.310185654063822	0.35527795116926775	0.3973042886517327	0.36976374153567815	0.4439995400308072	0.45405124479441056	0.43400261707277615	0.49065119101262367	0.5091702053122882	0.5979829682927817
S30H1	0.47127972580558586	0.48540037336966907	0.48023804764238565	0.48866880926732525	0.5263547397946402	0.41986042011644226	0.3739139428586846	0.37455123297457305	0.4022741530064119	0.3893992480818871	0.310185654063822	0.0	0.29649597158096186	0.3385223090634268	0.31098176194737226	0.38521756044250133	0.3952692652061046	0.3752206374844702	0.4318692114243177	0.4503882257239822	0.5392009887044757
31328	0.4815310005174003	0.4956516480814835	0.49048932235420006	0.4989200839791397	0.5366060145064546	0.4301116948282567	0.38416521757049904	0.38480250768638746	0.41252542771822626	0.3996505227937015	0.35527795116926775	0.29649597158096186	0.0	0.1418184735213773	0.30713594330674077	0.3954688351543157	0.40552053991791903	0.3854719121962846	0.44212048613613214	0.4606395004357966	0.5494522634162902
F14H1B	0.5235573379998651	0.5376779855639484	0.5325156598366649	0.5409464214616045	0.5786323519889194	0.47213803231072154	0.4261915550529639	0.42682884516885233	0.4545517652006912	0.44167686027616637	0.3973042886517327	0.3385223090634268	0.1418184735213773	0.0	0.3491622807892057	0.4374951726367806	0.4475468774003839	0.4274982496787495	0.484146823618597	0.5026658379182615	0.591478600898755
31300	0.4960167908838107	0.5101374384478938	0.5049751127206105	0.5134058743455501	0.5510918048728649	0.444597485194667	0.3986510079369094	0.39928829805279786	0.4270112180846366	0.41413631316011185	0.36976374153567815	0.31098176194737226	0.30713594330674077	0.3491622807892057	0.0	0.40995462552072603	0.4200063302843294	0.39995770256269497	0.4566062765025425	0.475125290802207	0.5639380537827006
S18H1	0.439720403796229	0.4538410513603122	0.4486787256330288	0.4571094872579684	0.4947954177852833	0.3883010981070854	0.3423546208493278	0.3429919109652162	0.3969284479937466	0.3840535430692218	0.4439995400308072	0.38521756044250133	0.3954688351543157	0.4374951726367806	0.40995462552072603	0.0	0.2672627464698005	0.30825317876418235	0.4003098894149609	0.41882890371462533	0.5076416666951189
S28Hp	0.4497721085598323	0.4638927561239155	0.4587304303966321	0.4671611920215717	0.5048471225488866	0.3983528028706887	0.35240632561293106	0.3530436157288195	0.4069801527573499	0.39410524783282513	0.45405124479441056	0.3952692652061046	0.40552053991791903	0.4475468774003839	0.4200063302843294	0.2672627464698005	0.0	0.3183048835277857	0.41036159417856416	0.4288806084782286	0.5176933714587222
530177	0.4297234808381979	0.4438441284022811	0.4386818026749977	0.4471125642999373	0.4847984948272522	0.3783041751490543	0.33235769789129666	0.3329949880071851	0.3869315250357155	0.37405662011119073	0.43400261707277615	0.3752206374844702	0.3854719121962846	0.4274982496787495	0.39995770256269497	0.30825317876418235	0.3183048835277857	0.0	0.39031296645692976	0.4088319807565942	0.4976447437370878
S2Hp	0.3872993317739237	0.4014199793380069	0.3962576536107235	0.40468841523566307	0.44237434576297796	0.33588002608478007	0.3181896263633382	0.3188269164792267	0.44358009897556305	0.43070519405103824	0.49065119101262367	0.4318692114243177	0.44212048613613214	0.484146823618597	0.4566062765025425	0.4003098894149609	0.41036159417856416	0.39031296645692976	0.0	0.36640783169232005	0.4552205946728135
530444	0.17323792326668322	0.3122486903847446	0.3070863646574612	0.37824290858014453	0.4159288391074595	0.3094345194292616	0.33670864066300266	0.3373459307788912	0.46209911327522757	0.44922420835070276	0.5091702053122882	0.4503882257239822	0.4606395004357966	0.5026658379182615	0.475125290802207	0.41882890371462533	0.4288806084782286	0.4088319807565942	0.36640783169232005	0.0	0.24115918616557305
S26Hp	0.1835646267098251	0.40106145336523813	0.39589912763795476	0.4670556715606381	0.504741602087953	0.39824728240975504	0.4255214036434962	0.42615869375938464	0.5509118762557211	0.5380369713311963	0.5979829682927817	0.5392009887044757	0.5494522634162902	0.591478600898755	0.5639380537827006	0.5076416666951189	0.5176933714587222	0.4976447437370878	0.4552205946728135	0.24115918616557305	0.0
