	F22HpB	S17H1	530055	531424	S27H1	530451	31236	S15Hp	S3Hp	S21H1	31232	S28Hp	F22H1A	530050	S30H1	S31Hp	S7Hp	F8H1	S29H1	S19H1	w11pp	w2pp	s24H1	S10H1	F23HpA	F1H1	530394	S1Hp	F32H1	S9H1	F6H1	S22Hp	31328	S16H2	F14H1A	530075	31071	F3H1	S26Hp
31232	0.2787614189467419	0.27789583833264886	0.28819958369831555	0.34919985550098054	0.2986724066390797	0.34562163881394287	0.31756732694528855	0.2421999244950872	0.23002230480789698	0.21558173837317382	0.0	0.18382874756263162	0.535730799967908	0.4912159315092052	0.5296479734622042	0.25088747735709194	0.2613315998346773	0.2699632181084288	0.329282186102515	0.3437631387653187	0.33180197448303295	0.37957565477822525	0.30723876073317735	0.3459816903699924	0.3471003361570255	0.30608474621678816	0.3211763645465816	0.29719420167444893	0.30706901009515764	0.29839001885239935	0.3085655147016389	0.3017272312109404	0.34214715883599517	0.2881873599747632	0.2640454308010652	0.2697198770355674	0.3217179199986083	0.2299938885909771	0.27044564388413533
S28Hp	0.2421887222436706	0.24132314162957763	0.2516268869952443	0.31262715879790925	0.26209970993600845	0.30904894211087164	0.2809946302422173	0.20562722779201592	0.1934496081048257	0.17900904167010254	0.18382874756263162	0.0	0.49915810326483673	0.4546432348061339	0.49307527675913293	0.21431478065402065	0.22475890313160607	0.23339052140535754	0.29270948939944375	0.30719044206224744	0.2952292777799617	0.343002958075154	0.2706660640301061	0.30940899366692115	0.31052763945395423	0.2695120495137169	0.2846036678435103	0.2606215049713777	0.27049631339208635	0.2618173221493281	0.27199281799856767	0.2651545345078692	0.30557446213292394	0.2516146632716919	0.22747273409799396	0.23314718033249612	0.28514522329553704	0.19342119188790585	0.2338729471810641
F22H1A	0.47810983312482136	0.47724425251072833	0.487547997876395	0.54854826967906	0.49802082081715915	0.5449700529920223	0.5415162410412215	0.4661488385910202	0.4867171945218187	0.47227662808709553	0.535730799967908	0.49915810326483673	0.0	0.48168448897512656	0.5201165309281256	0.4356990822224344	0.44614320470001984	0.4547748229737713	0.5140937909678575	0.5285747436306611	0.5166135793483755	0.5643872596435677	0.4920503655985199	0.5307932952353349	0.531911941022368	0.5054331603948676	0.5205247787246611	0.4965426158525284	0.5064174242732371	0.4977384330304788	0.5079139288797183	0.5010756453890199	0.5414955730140747	0.48753577415284266	0.4633938449791447	0.4690682912136469	0.5210663341766878	0.4293423027690566	0.46979405806221486
530050	0.4335949646661185	0.4327293840520255	0.4430331294176922	0.5040334012203571	0.4535059523584563	0.5004551845333195	0.4970013725825187	0.4216339701323173	0.4422023260631159	0.4277617596283927	0.4912159315092052	0.4546432348061339	0.48168448897512656	0.0	0.3942908153225402	0.3911842137637316	0.401628336241317	0.41025995451506847	0.4695789225091547	0.48405987517195836	0.47209871088967265	0.519872391184865	0.44753549713981705	0.4862784267766321	0.48739707256366516	0.4609182919361648	0.4760099102659582	0.45202774739382556	0.46190255581453427	0.45322356457177604	0.46339906042101553	0.45656077693031705	0.4969807045553718	0.4430209056941399	0.41887897652044187	0.424553422754944	0.476551465717985	0.38482743431035377	0.425279189603512
S30H1	0.47202700661911756	0.47116142600502453	0.4814651713706912	0.5424654431733562	0.49193799431145535	0.5388872264863185	0.5354334145355177	0.4600660120853164	0.4806343680161149	0.46619380158139173	0.5296479734622042	0.49307527675913293	0.5201165309281256	0.3942908153225402	0.0	0.4296162557167306	0.44006037819431604	0.4486919964680675	0.5080109644621537	0.5224919171249574	0.5105307528426717	0.5583044331378639	0.4859675390928161	0.5247104687296311	0.5258291145166643	0.49935033388916383	0.5144419522189573	0.4904597893468246	0.5003345977675333	0.491655606524775	0.5018311023740145	0.4949928188833161	0.5354127465083709	0.48145294764713886	0.4573110184734409	0.4629854647079431	0.514983507670984	0.4232594762633528	0.46371123155651106
S31Hp	0.19326651051400529	0.19240092989991228	0.20270467526557898	0.2637049470682439	0.2131774982063431	0.26012673038120626	0.25667291843040546	0.1813055159802041	0.20187387191100264	0.18743330547627948	0.25088747735709194	0.21431478065402065	0.4356990822224344	0.3911842137637316	0.4296162557167306	0.0	0.13178298883927833	0.1404146071130298	0.19973357510711598	0.2142145277699197	0.20225336348763398	0.25002704378282625	0.17769014973777839	0.2164330793745934	0.2175517251616265	0.22058983778405156	0.23568145611384497	0.21169929324171233	0.22157410166242103	0.21289511041966278	0.2230706062689023	0.2162323227782038	0.25665225040325856	0.20269245154202659	0.17855052236832858	0.18422496860283077	0.23622301156587172	0.1444989801582405	0.18495073545139876
S7Hp	0.20371063299159065	0.20284505237749767	0.21314879774316436	0.2741490695458293	0.2236216206839285	0.2705708528587917	0.2671170409079909	0.19174963845778947	0.21231799438858806	0.19787742795386487	0.2613315998346773	0.22475890313160607	0.44614320470001984	0.401628336241317	0.44006037819431604	0.13178298883927833	0.0	0.1165346592166037	0.17585362721068987	0.19033457987349361	0.1783734155912079	0.22614709588640014	0.1538102018413523	0.19255313147816733	0.1936717772652004	0.23103396026163692	0.24612557859143036	0.22214341571929774	0.2320182241400064	0.22333923289724816	0.23351472874648768	0.22667644525578923	0.267096372880844	0.21313657401961197	0.188994644845914	0.19466909108041616	0.2466671340434571	0.1549431026358259	0.19539485792898414
F8H1	0.21234225126534217	0.21147667065124914	0.22178041601691584	0.28278068781958077	0.23225323895767996	0.27920247113254315	0.27574865918174235	0.20038125673154097	0.22094961266233953	0.20650904622761634	0.2699632181084288	0.23339052140535754	0.4547748229737713	0.41025995451506847	0.4486919964680675	0.1404146071130298	0.1165346592166037	0.0	0.09876264496251337	0.11324359762531709	0.10128243334303136	0.14905611363822363	0.07671921959317576	0.1154621492299908	0.11658079501702387	0.23966557853538842	0.25475719686518183	0.23077503399304922	0.24064984241375792	0.23197085117099966	0.24214634702023918	0.2353080635295407	0.27572799115459545	0.22176819229336348	0.19762626311966547	0.20330070935416766	0.2552987523172086	0.1635747209095774	0.20402647620273565
S29H1	0.2716612192594283	0.2707956386453353	0.281099384011002	0.34209965581366697	0.2915722069517661	0.3385214391266293	0.3350676271758285	0.25970022472562715	0.2802685806564257	0.26582801422170255	0.329282186102515	0.29270948939944375	0.5140937909678575	0.4695789225091547	0.5080109644621537	0.19973357510711598	0.17585362721068987	0.09876264496251337	0.0	0.08200166061294145	0.07004049633065572	0.11781417662584799	0.07940138332493267	0.11814431296174771	0.11926295874878078	0.2989845465294746	0.31407616485926804	0.29009400198713536	0.29996881040784407	0.2912898191650858	0.30146531501432533	0.29462703152362685	0.3350469591486816	0.2810871602874496	0.2569452311137516	0.2626196773482538	0.31461772031129476	0.22289368890366354	0.26334544419682177
S19H1	0.286142171922232	0.28527659130813904	0.29558033667380573	0.35658060847647066	0.30605315961456986	0.35300239178943305	0.34954857983863225	0.27418117738843084	0.29474953331922943	0.28030896688450624	0.3437631387653187	0.30719044206224744	0.5285747436306611	0.48405987517195836	0.5224919171249574	0.2142145277699197	0.19033457987349361	0.11324359762531709	0.08200166061294145	0.0	0.03691706545707321	0.08469074575226548	0.09388233598773639	0.13262526562455143	0.13374391141158448	0.3134654991922783	0.32855711752207173	0.3045749546499391	0.31444976307064776	0.30577077182788953	0.3159462676771291	0.3091079841864306	0.34952791181148535	0.2955681129502533	0.27142618377655536	0.27710063001105756	0.32909867297409845	0.23737464156646726	0.2778263968596255
