	31452	S25Hp	S3Hp	S7Hp	S18H1	31219	530451	S28Hp	530394	S23Hp	31300	31160	s24H1	F14H1B	S26Hp	31328	S13Hp	S20H1	S1Hp	S4Hp
31300	0.38939164026976536	0.37968261743283527	0.3653519502857496	0.43114877341696267	0.4515137388212873	0.3893278107610873	0.44103127067271153	0.4525764016689511	0.39199498715648573	0.3937582311992375	0.0	0.31535817928972026	0.6953915842297802	0.5569435315161846	0.3138188669702936	0.36091184252405356	0.40947960966914126	0.43716359521323817	0.3595548631730552	0.3706006461821256
31160	0.3735746528915391	0.36386563005460903	0.3495349629075234	0.41533178603873644	0.4356967514430611	0.37351082338286107	0.4252142832944853	0.43675941429072485	0.3761779997782595	0.3779412438210112	0.31535817928972026	0.0	0.6795745968515539	0.5411265441379582	0.2980018795920673	0.3450948551458273	0.393662622290915	0.4213466078350119	0.3437378757948289	0.3547836588038994
s24H1	0.6924823843775201	0.68277336154059	0.6684426943935043	0.7342395175247174	0.754604482929042	0.692418554868842	0.7441220147804662	0.7556671457767058	0.6950857312642404	0.6968489753069922	0.6953915842297802	0.6795745968515539	0.0	0.768824055939699	0.6169096110780483	0.6640025866318083	0.7125703537768959	0.7402543393209928	0.6626456072808099	0.6736913902898803
F14H1B	0.5540343316639246	0.5443253088269944	0.5299946416799087	0.5957914648111219	0.6161564302154464	0.5539705021552465	0.6056739620668707	0.6172190930631103	0.5566376785506449	0.5584009225933966	0.5569435315161846	0.5411265441379582	0.768824055939699	0.0	0.47846155836445275	0.5255545339182127	0.5741223010633004	0.6018062866073973	0.5241975545672143	0.5352433375762847
S26Hp	0.21757195146729597	0.20786292863036585	0.19353226148328018	0.2593290846144933	0.27969405001881786	0.21750812195861788	0.2692115818702421	0.28075671286648163	0.22017529835401634	0.2527804503470431	0.3138188669702936	0.2980018795920673	0.6169096110780483	0.47846155836445275	0.0	0.16614861233899647	0.23765992086667181	0.2653439064107687	0.1877351743705857	0.19878095737965618
31328	0.26466492702105593	0.25495590418412584	0.2406252370370402	0.30642206016825324	0.3267870255725779	0.26460109751237787	0.3163045574240021	0.32784968842024165	0.2672682739077763	0.29987342590080307	0.36091184252405356	0.3450948551458273	0.6640025866318083	0.5255545339182127	0.16614861233899647	0.0	0.2847528964204318	0.3124368819645287	0.2348281499243457	0.24587393293341617
S13Hp	0.29366093591148246	0.28395191307455236	0.2696212459274667	0.33541806905867977	0.3557830344630044	0.2935971064028044	0.3453005663144286	0.3568456973106682	0.2962642827982028	0.3484411930458908	0.40947960966914126	0.393662622290915	0.7125703537768959	0.5741223010633004	0.23765992086667181	0.2847528964204318	0.0	0.2444417827994611	0.22517096842647347	0.2748699418238427
S20H1	0.32134492145557936	0.31163589861864927	0.2973052314715636	0.36310205460277667	0.3834670200071013	0.3212810919469013	0.3729845518585255	0.3845296828547651	0.32394826834229973	0.3761251785899877	0.43716359521323817	0.4213466078350119	0.7402543393209928	0.6018062866073973	0.2653439064107687	0.3124368819645287	0.2444417827994611	0.0	0.25285495397057034	0.3025539273679396
S1Hp	0.24373618941539638	0.23402716657846626	0.2196964994313806	0.2854933225625937	0.3058582879669183	0.2436723599067183	0.2953758198183425	0.30692095081458204	0.24633953630211675	0.2985164465498047	0.3595548631730552	0.3437378757948289	0.6626456072808099	0.5241975545672143	0.1877351743705857	0.2348281499243457	0.22517096842647347	0.25285495397057034	0.0	0.2249451953277566
S4Hp	0.1865468936253295	0.17683787078839938	0.1625072036413137	0.2283040267725268	0.2486689921768514	0.18648306411665141	0.2841718618900628	0.2957169928863024	0.23513557837383706	0.30956222955887513	0.3706006461821256	0.3547836588038994	0.6736913902898803	0.5352433375762847	0.19878095737965618	0.24587393293341617	0.2748699418238427	0.3025539273679396	0.2249451953277566	0.0
