	31557	31112	530227	31129	530163	530251	s21pp	31711	31416	31450	530154	31428	s20pp
31557	0.0	0.4286045399094467	0.4224443491128701	0.5573140496901086	0.5966871170833894	0.3352165801361333	0.48853188912110274	0.41575685020431735	0.47564639948183907	0.3784108087643424	0.3546948306654202	0.37697192773505367	0.44835783036212007
31112	0.4286045399094467	0.0	0.43043067383624545	0.5653003744134839	0.6046734418067647	0.34320290485950866	0.4965182138444781	0.4237431749276927	0.4836327242052144	0.38639713348771776	0.36268115538879553	0.384958252458429	0.4563441550854954
530227	0.4224443491128701	0.43043067383624545	0.0	0.42715120324338485	0.4665242706366657	0.24222598312746296	0.3955412921124324	0.322766253195647	0.3826558024731687	0.31124034819346896	0.28752437009454673	0.3098014671641802	0.4257487258428826
31129	0.5573140496901086	0.5653003744134839	0.42715120324338485	0.0	0.0915454136424367	0.3770956837047014	0.5304109926896708	0.45763595377288546	0.5175255030504071	0.4461100487707074	0.4223940706717852	0.4446711677414187	0.560618426420121
530163	0.5966871170833894	0.6046734418067647	0.4665242706366657	0.0915454136424367	0.0	0.4164687510979822	0.5697840600829516	0.4970090211661663	0.556898570443688	0.4854831161639882	0.461767138065066	0.4840442351346995	0.5999914938134019
530251	0.3352165801361333	0.34320290485950866	0.24222598312746296	0.3770956837047014	0.4164687510979822	0.0	0.23455177643543376	0.1832695137428547	0.2913352187397555	0.22401257921673212	0.2002966011178099	0.22257369818744344	0.3385209568661458
s21pp	0.48853188912110274	0.4965182138444781	0.3955412921124324	0.5304109926896708	0.5697840600829516	0.23455177643543376	0.0	0.3365848227278241	0.4446505277247249	0.37732788820170154	0.3536119101027793	0.3758890071724128	0.49183626585111523
31711	0.41575685020431735	0.4237431749276927	0.322766253195647	0.45763595377288546	0.4970090211661663	0.1832695137428547	0.3365848227278241	0.0	0.3718754888079395	0.3045528492849162	0.28083687118599393	0.3031139682556275	0.41906122693432984
31416	0.47564639948183907	0.4836327242052144	0.3826558024731687	0.5175255030504071	0.556898570443688	0.2913352187397555	0.4446505277247249	0.3718754888079395	0.0	0.3644423985624379	0.34072642046351564	0.3630035175331492	0.47895077621185156
31450	0.3784108087643424	0.38639713348771776	0.31124034819346896	0.4461100487707074	0.4854831161639882	0.22401257921673212	0.37732788820170154	0.3045528492849162	0.3644423985624379	0.0	0.22532972815852997	0.2476068252281635	0.3817151854943549
530154	0.3546948306654202	0.36268115538879553	0.28752437009454673	0.4223940706717852	0.461767138065066	0.2002966011178099	0.3536119101027793	0.28083687118599393	0.34072642046351564	0.22532972815852997	0.0	0.1325330411861035	0.3579992073954327
31428	0.37697192773505367	0.384958252458429	0.3098014671641802	0.4446711677414187	0.4840442351346995	0.22257369818744344	0.3758890071724128	0.3031139682556275	0.3630035175331492	0.2476068252281635	0.1325330411861035	0.0	0.38027630446506616
s20pp	0.44835783036212007	0.4563441550854954	0.4257487258428826	0.560618426420121	0.5999914938134019	0.3385209568661458	0.49183626585111523	0.41906122693432984	0.47895077621185156	0.3817151854943549	0.3579992073954327	0.38027630446506616	0.0
