	S2Hp	S16H2	F6H1	S26Hp	w7pp	S19H1	S12Hp	f14ppB	S22Hp	F7H1	F14H1A	w9pp
S2Hp	0.0	0.49993614158024546	0.4895732429979905	0.4713888926250982	0.46927209583728535	0.6084224438492662	0.7213072787891587	0.5019168758762067	1.1864028795255894	1.018823993772056	0.5609530152137202	0.4696317357870323
S16H2	0.49993614158024546	0.0	0.7117892720878503	0.6936049217149579	0.6914881249271452	0.8306384729391261	0.9435233078790184	0.7241329049660664	1.4086189086154493	1.2410400228619158	0.7831690443035799	0.691847764876892
F6H1	0.4895732429979905	0.7117892720878503	0.0	0.35704009911103873	0.43515978096651065	0.5743101289784915	0.6871949639183839	0.4678045610054319	1.1522905646548147	0.9847116789012812	0.5268407003429454	0.4355194209162575
S26Hp	0.4713888926250982	0.6936049217149579	0.35704009911103873	0.0	0.4169754305936183	0.5561257786055992	0.6690106135454916	0.4496202106325396	1.1341062142819225	0.9665273285283889	0.5086563499700532	0.41733507054336527
w7pp	0.46927209583728535	0.6914881249271452	0.43515978096651065	0.4169754305936183	0.0	0.4048407603606248	0.5177255953005172	0.2983351923875651	0.982821196036948	0.8152423102834144	0.35737133172507873	0.3246892219487817
S19H1	0.6084224438492662	0.8306384729391261	0.5743101289784915	0.5561257786055992	0.4048407603606248	0.0	0.5264772823549934	0.3070868794420413	1.0775938945546644	0.9100150088011308	0.45214403024279515	0.4638395699607626
S12Hp	0.7213072787891587	0.9435233078790184	0.6871949639183839	0.6690106135454916	0.5177255953005172	0.5264772823549934	0.0	0.3769755432676076	1.190478729494557	1.0228998437410233	0.5650288651826876	0.576724404900655
f14ppB	0.5019168758762067	0.7241329049660664	0.4678045610054319	0.4496202106325396	0.2983351923875651	0.3070868794420413	0.3769755432676076	0.0	0.9710883265816047	0.8035094408280712	0.3456384622697355	0.35733400198770293
S22Hp	1.1864028795255894	1.4086189086154493	1.1522905646548147	1.1341062142819225	0.982821196036948	1.0775938945546644	1.190478729494557	0.9710883265816047	0.0	0.2820242501824909	0.6813014408014199	1.0418200056370859
F7H1	1.018823993772056	1.2410400228619158	0.9847116789012812	0.9665273285283889	0.8152423102834144	0.9100150088011308	1.0228998437410233	0.8035094408280712	0.2820242501824909	0.0	0.5137225550478863	0.8742411198835522
F14H1A	0.5609530152137202	0.7831690443035799	0.5268407003429454	0.5086563499700532	0.35737133172507873	0.45214403024279515	0.5650288651826876	0.3456384622697355	0.6813014408014199	0.5137225550478863	0.0	0.41637014132521655
w9pp	0.4696317357870323	0.691847764876892	0.4355194209162575	0.41733507054336527	0.3246892219487817	0.4638395699607626	0.576724404900655	0.35733400198770293	1.0418200056370859	0.8742411198835522	0.41637014132521655	0.0
